Phylum,Class,Order,Family,Genus,Species
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,fibrisolvens
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,ruminicola
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,flavefaciens
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,gnavus
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacillota,Clostridia,Eubacteriales,Peptostreptococcaceae,Terrisporobacter,glycolicus
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,lavalensis
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,thetaiotaomicron
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,NA
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,equinus
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,clostridioformis
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,ruminicola
Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcus,luteus
Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Kandleria,vitulina
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,clostridioformis
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnobacterium,bovis
Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Kandleria,vitulina
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,ruminantium
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,NA,NA
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,boum
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Pseudobutyrivibrio,NA
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,dextrinosolvens
Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,dextrinosolvens
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,merycicum
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,NA
Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,desulfuricans
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,NA,NA
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,equinus
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,ruminicola
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,albus
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Pseudobutyrivibrio,NA
Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Parafannyhessea,umbonata
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Oscillibacter,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium,aminophilum
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,flavefaciens
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,flavefaciens
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,ruminicola
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,equinus
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnobacterium,bovis
Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,elsdenii
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Anaerovibrio,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Pseudobutyrivibrio,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,NA
Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,pyruvativorans
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Pseudobutyrivibrio,ruminis
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,adolescentis
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,equinus
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,fibrisolvens
Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,NA
Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,dextrinosolvens
Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,mundtii
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,gallolyticus
Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Sharpea,azabuensis
Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,cellulosolvens
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,fibrisolvens
Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,ruminicola
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,henryi
Actinomycetota,Actinomycetes,Micrococcales,Ruaniaceae,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Morganella,morganii
