Taxonomy
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Kocuria
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__?; g__?
k__Bacteria; p__Bacteroidetes; c__?; o__?; f__?; g__?
k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Sphingobacterium
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Flavonifractor
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales; f__Veillonellaceae; g__Veillonella
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Alloprevotella
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Flavonifractor
k__Bacteria; p__Candidatus Saccharibacteria; c__Saccharibacteria_genera_incertae_sedis; o__Saccharibacteria_genera_incertae_sedis; f__Saccharibacteria_genera_incertae_sedis; g__Saccharibacteria_genera_incertae_sedis
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Cloacibacterium
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__?
k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__?
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Atopostipes
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__Sutterella
k__Bacteria; p__Firmicutes; c__?; o__?; f__?; g__?
k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Chitinophagaceae; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae 1; g__Clostridium sensu stricto
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__?
k__Bacteria; p__Bacteroidetes; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales; f__Veillonellaceae; g__Megamonas
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Phyllobacteriaceae; g__Phyllobacterium
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardiaceae; g__Gordonia
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Butyricicoccus
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales; f__Veillonellaceae; g__Dialister
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Proteus
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae 1; g__Cohnella
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__?
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Luteimonas
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae 1; g__Clostridium sensu stricto
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Bacteroidetes; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__?; g__?
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Gelidibacter
k__Bacteria; p__Acidobacteria; c__Acidobacteria_Gp3; o__Gp3; f__Gp3; g__Gp3
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__?; g__?
k__Bacteria; p__Firmicutes; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerostipes
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__?; g__?
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Ureibacillus
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__?
k__Bacteria; p__Acidobacteria; c__Acidobacteria_Gp6; o__Gp6; f__Gp6; g__Gp6
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Coriobacteriales; f__Coriobacteriaceae; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__?
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Klebsiella
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__?; g__?
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Coriobacteriales; f__Coriobacteriaceae; g__Olsenella
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Erysipelothrix
k__Bacteria; p__Bacteroidetes; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales; f__Veillonellaceae; g__Megasphaera
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__?
k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Chitinophagaceae; g__Terrimonas
k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Erysipelotrichaceae_incertae_sedis
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__?; f__?; g__?
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Phyllobacteriaceae; g__Pseudaminobacter
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__?
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rubellimicrobium
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae 1; g__Paenibacillus
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Acidimicrobiales; f__?; g__?
