ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,species_epithet,Antibiotic resistance,Metabolite (antibiotic)
170905,UR159,"CIP 111616, DSM 105483",1,1,Avrilella dinanensis,Avrilella,dinanensis,1,aminoglycoside antibiotic
,,,,,,,,1,cefepime
,,,,,,,,1,cefotaxime
,,,,,,,,1,ceftazidime
,,,,,,,,1,colistin
,,,,,,,,1,fosfomycin
17440,,"DSM 5975, ATCC 43989, CCUG 26647, LMG 6465, ORS 571, JCM 20966, IAM 13624, IFO 14845, LMG 8557, NBRC 14845, CIP 107330",1,1,Azorhizobium caulinodans,Azorhizobium,caulinodans,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
137718,,"CCUG 56042, NCIMB 11861, LMG 13128, CCM 3863, JCM 1247, CIP 106280, ATCC 29707, DSM 1691, NCAIM B.01801, BCRC 12213, IAM 12399, ICMP 15216, NBRC 102290, NRRL B-14654, VKM B-1519",1,1,Azospirillum lipoferum,Azospirillum,lipoferum,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
166141,L461,"KCTC 62195, GDMCC 1.1250",1,1,Azotobacter bryophylli,Azotobacter,bryophylli,1,cefotaxime sodium
,,,,,,,,1,chloramphenicol
,,,,,,,,1,spectinomycin
,,,,,,,,1,streptomycin
,,,,,,,,1,tetracycline
1263,41KF2b,"DSM 21631, JCM 13350, MTCC 7306, BCRC 17879",1,1,Bacillus altitudinis,Bacillus,altitudinis,1,amikacin
,,,,,,,,1,ampicillin
,,,,,,,,1,ciprofloxacin
,,,,,,,,1,lincomycin
,,,,,,,,1,novobiocin
1290,B8W22,"DSM 21047, JCM 13839, MTCC 7755",1,1,Priestia aryabhattai,Priestia,aryabhattai,1,colistin
,,,,,,,,1,penicillin
158629,Ma50-5,"KCTC 33881, CCTCC AB 2017020",1,1,Bacillus kexueae,Bacillus,kexueae,1,ceftazidime
,,,,,,,,1,polymyxin b
158731,AK74,"MTCC 12638, KCTC 33946, JCM 32185",1,1,Metabacillus lacus,Metabacillus,lacus,1,ceftazidime
,,,,,,,,1,penicillin g
140556,AK61,"JCM 31087, MTCC 12015, KCTC 33872",1,1,Metabacillus mangrovi,Metabacillus,mangrovi,1,amoxicillin
,,,,,,,,1,cefadroxil
,,,,,,,,1,ceftazidime
,,,,,,,,1,cephalexin
,,,,,,,,1,cephalosporin
,,,,,,,,1,chlortetracyclin
,,,,,,,,1,enrofloxacin
,,,,,,,,1,lincomycin
,,,,,,,,1,optochin
,,,,,,,,1,sulfamethizole
158585,NC2-31,"KCTC 33721, MCCC 1K01239",1,1,Bacillus marinisedimentorum,Bacillus,marinisedimentorum,1,gentamicin
,,,,,,,,1,kanamycin
,,,,,,,,1,streptomycin
,,,,,,,,1,tetracycline
159795,AK72,"MTCC 12636, KCTC 33981, JCM 32183",1,1,Bacillus shivajii,Bacillus,shivajii,1,amoxicillin
,,,,,,,,1,ceftazidime
,,,,,,,,1,penicillin
164466,FJAT-46582,"JCM 33155, CCTCC AB 2017047",1,1,Bacillus xiapuensis,Bacillus,xiapuensis,1,azithromycin
,,,,,,,,1,clindamycin
,,,,,,,,1,streptomycin
1640,AUST/NH20,"DSM 23499, CCUG 52174, CIP 109064, CSUR B619",1,1,Bartonella coopersplainsensis,Bartonella,coopersplainsensis,1,imipenem
,,,,,,,,1,vancomycin
1641,AUST/NH12,"DSM 23498, CCUG 52167, CIP 109057, CSUR B617",1,1,Bartonella queenslandensis,Bartonella,queenslandensis,1,vancomycin
1642,AUST/NH4,"DSM 23500, CCUG 52161, CIP 109051, CSUR B609",1,1,Bartonella rattaustraliani,Bartonella,rattaustraliani,1,vancomycin
133124,D-402,"DSM 14946, UNIQEM U 779",1,1,Beggiatoa leptomitoformis,Beggiatoa,leptomitoformis,1,neomycin
,,,,,,,,1,rifampicin
140946,5C,"VKM B-2724, KCTC 32194",1,1,Belliella buryatensis,Belliella,buryatensis,1,amikacin
38,CP2C,"DSM 16746, ATCC BAA-1043, CIP 109215",1,1,Belnapia moabensis,Belnapia,moabensis,1,aztreonam
,,,,,,,,1,bacitracin
,,,,,,,,1,cephalothin
,,,,,,,,1,colistin
,,,,,,,,1,ethambutol
,,,,,,,,1,ethionamide
,,,,,,,,1,nitrofurantoin
,,,,,,,,1,polymyxin b
,,,,,,,,1,tetracycline
,,,,,,,,1,trimethoprim
1678,2163-026,"DSM 12333, ATCC BAA-8, IFO 16432, NBRC 16432, CCUG 43141, HKI 0122, JCM 11478, CIP 106362, NCIMB 13614",1,1,Beutenbergia cavernae,Beutenbergia,cavernae,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
1693,"Ti, Tissier","DSM 20456, ATCC 29521, JCM 1255, BCRC 11845, BCRC 14615, CCUG 18364, CCUG 45217, CECT 870, CGMCC 1.2212, CIP 56.7, HAMBI 1380, IFO 14252, KCTC 3202, KCTC 3281, LMG 11041, LMG 8810, NBRC 100015, NBRC 14252, NCAIM B.02021, NCFB 2715, NCIMB 702715, NCTC 13001, VTT E-97795, NCDO 2715",1,1,Bifidobacterium bifidum,Bifidobacterium,bifidum,1,metronidazole
1695,S1,"DSM 20213, ATCC 15700, NCTC 11815, JCM 1192, BCRC 11846, CCUG 18365, CCUG 30511, CECT 4839, CGMCC 1.2213, CIP 64.69, KCTC 3220, LMG 10501, LMG 11042, NCFB 2257, NCDO 2257, WDCM 00224",1,1,Bifidobacterium breve,Bifidobacterium,breve,1,metronidazole
1718,1145,"CCUG 35235, CIP 107006, DSM 20433, ATCC 27685, JCM 1214, BCRC 14678, CGMCC 1.2240, KCTC 3274, LMG 11572, LMG 21816, NCFB 2260, CUETM 89/17",1,1,Bifidobacterium pullorum,Bifidobacterium,pullorum,1,metronidazole
158654,RA3-3-1,"KCTC 62140, NBRC 113024",1,1,Bizionia berychis,Bizionia,berychis,1,ampicillin
,,,,,,,,1,gentamicin
,,,,,,,,1,kanamycin
,,,,,,,,1,penicillin g
,,,,,,,,1,polymyxin b
,,,,,,,,1,streptomycin
140551,P131,"MCCC 1H00124, KCTC 42587",1,1,Bizionia sediminis,Bizionia,sediminis,1,gentamicin
,,,,,,,,1,kanamycin
,,,,,,,,1,nalidixic acid
,,,,,,,,1,neomycin
,,,,,,,,1,norfloxacin
,,,,,,,,1,ofloxacin
,,,,,,,,1,streptomycin
,,,,,,,,1,sulfamethoxydiazine
,,,,,,,,1,tetracycline
,,,,,,,,1,tobramycin
14142,"KR-99, EY 4250","DSM 9006, JCM 13370, CIP 106843, JCM 10397",1,1,Blastomonas ursincola,Blastomonas,ursincola,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
158642,KB1,"KCTC 15618, JCM 32276",1,1,Blautia hominis,Blautia,hominis,1,gentamicin
,,,,,,,,1,neomycin
1770,2017-12,"DSM 11294, CCUG 39178, HKI 88, JCM 11479, ATCC 700413, CIP 105404, NBRC 106158, HKI 0088",1,1,Bogoriella caseilytica,Bogoriella,caseilytica,1,nitrofurantoin
,,,,,,,,1,sulfonamide
377,,"DSM 11332, ATCC 35086, CCUG 13726, LMG 1852, Hinz 591-77, CIP 103348, NCTC 12033",1,1,Bordetella avium,Bordetella,avium,1,penicillin g
376,,"DSM 13414, ATCC 19395, CCUG 219, CIP 55.110, LMG 1232, NCTC 452, CCM 6082",1,1,Bordetella bronchiseptica,Bordetella,bronchiseptica,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
368,522,"DSM 13415, ATCC 15311, CCUG 413, LMG 14449, NCTC 5952, CIP 64.11, LMG 1831",1,1,Bordetella parapertussis,Bordetella,parapertussis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
374,"18323, 18323 (P. Kendrick)","DSM 5571, ATCC 9797, CCUG 30873, CCUG 17764, NCTC 10739, LMG 14455, CIP 63.1",1,1,Bordetella pertussis,Bordetella,pertussis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
382,Se-1111R,"DSM 12804, CCUG 43448, CIP 107267, ATCC BAA-461, CCM 7166",1,1,Bordetella petrii,Bordetella,petrii,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
379,"1779, 22-93","DSM 11334, CCUG 32381, LMG 13506, CIP 105351",1,1,Bordetella trematum,Bordetella,trematum,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
166197,,"LMG 31125, RCAM 04680",1,1,Bosea caraganae,Bosea,caraganae,1,potassium tellurite
,,,,,,,,1,tetrazolium violet
1788,34614,"DSM 21596, CCUG 43111, CIP 106338",1,1,Bosea eneae,Bosea,eneae,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
1791,R-46060,"DSM 26656, CCUG 61247, LMG 26379",1,1,Bosea lathyri,Bosea,lathyri,1,amoxicillin
,,,,,,,,1,penicillin
1792,R-45681,"DSM 26673, CCUG 61248, LMG 26383",1,1,Bosea lupini,Bosea,lupini,1,amoxicillin
,,,,,,,,1,penicillin
1787,,"CCUG 55772, DSM 13099, ATCC 700918, CIP 106457, AMX 51",1,1,Bosea minatitlanensis,Bosea,minatitlanensis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
,,,,,,,,1,ceftazidime
,,,,,,,,1,ciprofloxacin
,,,,,,,,1,ofloxacin
1793,R-46070,"DSM 26672, CCUG 61249, LMG 26381",1,1,Bosea robiniae,Bosea,robiniae,1,amoxicillin
,,,,,,,,1,penicillin
1786,BI-42,"DSM 9653, CCUG 55771, ATCC 700366",1,1,Bosea thiooxidans,Bosea,thiooxidans,1,ampicillin
1790,34635,"DSM 21229, CCUG 43114, CIP 106340, CCUG 43114 T",1,1,Bosea vestrisii,Bosea,vestrisii,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
159799,M1HQ-2,"KCTC 49087, CGMCC 1.16391, JCM 33403",1,1,Brachybacterium endophyticum,Brachybacterium,endophyticum,1,1 % sodium lactate
,,,,,,,,1,aztreonam
,,,,,,,,1,lithium chloride
,,,,,,,,1,nalidixic acid
,,,,,,,,1,potassium tellurite
,,,,,,,,1,sodium bromate
,,,,,,,,1,sodium butyrate
,,,,,,,,1,tetrazolium violet
3914,"C3H-21, C3H 21-2","DSM 15460, CCM 7047, JCM 14117, CCUG 50159, CCUG 50352, CIP 108210, DSM 14560",1,1,Brachybacterium muris,Brachybacterium,muris,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
3903,"35, IMV-Ac 752","DSM 9573, IMV Ac-752, JCM 11648, CIP 104813, IAM 14582, IFO 15384, LMG 19549, NBRC 15384",1,1,Brachybacterium nesterenkovii,Brachybacterium,nesterenkovii,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
343,LGM 19451,"DSM 13743, LMG 19451, NCIMB 13739, CCUG 47103, RKI 99-01984, CIP 107426",1,1,Brackiella oedipodis,Brackiella,oedipodis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
166188,39S1MB,"LMG 29934, HAMBI 3680",1,1,Bradyrhizobium amphicarpaeae,Bradyrhizobium,amphicarpaeae,1,aztreonam
,,,,,,,,1,minocycline
,,,,,,,,1,rifamycin sv
,,,,,,,,1,troleandomycin
,,,,,,,,1,vancomycin
1813,"P17Hg1, PL7HG1","DSM 17288, CECT 5829, LMG 21987, NBRC 103048, CCUG 55850",1,1,Bradyrhizobium betae,Bradyrhizobium,betae,1,amoxicillin
,,,,,,,,1,cloxacillin
,,,,,,,,1,gentamicin
,,,,,,,,1,oxytetracycline
,,,,,,,,1,penicillin
,,,,,,,,1,polymyxin b
140541,AMBPC1011,"CECT 9227, LMG 29967",1,1,Bradyrhizobium cajani,Bradyrhizobium,cajani,1,ampicillin
,,,,,,,,1,cefuroxime
,,,,,,,,1,cloxacillin
,,,,,,,,1,erythromycin
,,,,,,,,1,penicillin
,,,,,,,,1,polymyxin b
1817,CTAW11,"DSM 23720, CECT 7749, LMG 25866",1,1,Bradyrhizobium cytisi,Bradyrhizobium,cytisi,1,ampicillin
,,,,,,,,1,ciprofloxacin
,,,,,,,,1,cloxacillin
,,,,,,,,1,erythromycin
,,,,,,,,1,penicillin
,,,,,,,,1,polymyxin b
1805,3I1b6,"DSM 30131, ATCC 10324, CCUG 27876, LMG 6138, CECT 530, JCM 20679, BCRC 13518, BCRC 80814, CCTM La 3681, CIP 106093, HAMBI 2314, IAM 12608, ICMP 2864, NBRC 14783, NCIMB 11477, NRRL B-4507, NRRL L-241, NZP 5549, OUT 30002, USDA 505, VKM B-1967",1,1,Bradyrhizobium japonicum,Bradyrhizobium,japonicum,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
1816,PAC68,"DSM 19632, CECT 7395, LMG 24556",1,1,Bradyrhizobium jicamae,Bradyrhizobium,jicamae,1,cloxacillin
,,,,,,,,1,penicillin
1814,2281,"DSM 24092, CECT 4845, USDA 3622",1,1,Bradyrhizobium liaoningense,Bradyrhizobium,liaoningense,1,chlortetracyclin
,,,,,,,,1,doxycycline
,,,,,,,,1,oxytetracycline
173145,ESG 2281,"CIP 104858, NBRC 100396",1,1,Bradyrhizobium liaoningense,Bradyrhizobium,liaoningense,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
140478,U675,"LMG 30031, BR 6010, CNPSo 1165, SEMIA 6399",1,1,Bradyrhizobium mercantei,Bradyrhizobium,mercantei,1,ampicillin
,,,,,,,,1,bacitracin
,,,,,,,,1,cefuroxime
,,,,,,,,1,chloramphenicol
,,,,,,,,1,erythromycin
,,,,,,,,1,nalidixic acid
,,,,,,,,1,neomycin
,,,,,,,,1,penicillin
,,,,,,,,1,streptomycin
,,,,,,,,1,tetracycline
141148,10-May,"LMG 28789, DSM 100300, NTCCM 0017",1,1,Bradyrhizobium namibiense,Bradyrhizobium,namibiense,1,ampicillin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,kanamycin
,,,,,,,,1,streptomycin
1815,PAC48,"DSM 19631, CECT 7396, LMG 24246",1,1,Bradyrhizobium pachyrhizi,Bradyrhizobium,pachyrhizi,1,cefuroxime
,,,,,,,,1,ciprofloxacin
,,,,,,,,1,erythromycin
,,,,,,,,1,penicillin
,,,,,,,,1,polymyxin b
,,,,,,,,1,tetracycline
159767,,"LMG 30283, DSM 105795, NTCCM 0019, WR 4",1,1,Bradyrhizobium ripae,Bradyrhizobium,ripae,1,ampicillin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,erythromycin
,,,,,,,,1,kanamycin
,,,,,,,,1,streptomycin
140809,H-8,"CNPSo 2823, HAMBI 3668, BR 446",1,1,Bradyrhizobium stylosanthis,Bradyrhizobium,stylosanthis,1,bacitracin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,erythromycin
,,,,,,,,1,penicillin g
168996,85S1MB,"LMG 29937, HAMBI 3684",1,1,Bradyrhizobium symbiodeficiens,Bradyrhizobium,symbiodeficiens,1,aztreonam
,,,,,,,,1,minocycline
,,,,,,,,1,potassium tellurite
,,,,,,,,1,rifamycin sv
,,,,,,,,1,tetrazolium blue
,,,,,,,,1,tetrazolium violet
,,,,,,,,1,troleandomycin
,,,,,,,,1,vancomycin
166133,UFLA03-164,LMG 31509,1,1,Bradyrhizobium uaiense,Bradyrhizobium,uaiense,1,amoxicillin
,,,,,,,,1,ampicillin
,,,,,,,,1,azithromycin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,clarithromycin
,,,,,,,,1,erythromycin
,,,,,,,,1,gentamicin
,,,,,,,,1,kanamycin
,,,,,,,,1,nalidixic acid
,,,,,,,,1,streptomycin
132365,2-Jul,"DSM 100297, LMG 28791, NTCCM 0018, DSMZ 100297",1,1,Bradyrhizobium vignae,Bradyrhizobium,vignae,1,chloramphenicol
,,,,,,,,1,streptomycin
,,,,,,,,1,tetracycline
134681,,"CIP 108027, CFNEB 101, CCBAU 10071",1,1,Bradyrhizobium yuanmingense,Bradyrhizobium,yuanmingense,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
4309,,"CCUG 48887, ICMP 12481, ATCC 700181, CIP 104916, DSM 11811, NCPPB 3934, PVFi 20",1,1,Brenneria alni,Brenneria,alni,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
1855,280/80,"DSM 15880, CCUG 43455, CIP 106532, JCM 11680, NCIMB 703055, BCRC 16989, NCFB 3055",1,1,Brevibacterium avium,Brevibacterium,avium,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
1834,CMD1,"DSM 20657, ATCC 35513, NCDO 2048, CCUG 29001, JCM 2594, BCRC 12214, CCM 4100, CECT 4161, CGMCC 1.1930, CIP 102111, IFO 14812, IMET 10997, KCTC 3082, KCTC 3085, NBRC 14812, NCIMB 702048, VKM Ac-2114, IAM 2594",1,1,Brevibacterium casei,Brevibacterium,casei,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
1838,C705,"DSM 20660, ATCC 35514, NCDO 2286, CCUG 30540, NCTC 11083, JCM 2593, BCRC 12215, CCM 4098, CECT 4162, CGMCC 1.1929, CIP 102110, IFO 14811, IMET 10998, KCTC 3090, LMG 21455, NBRC 14811, NCIMB 702286, VKM Ac-2108, VTT E-032416",1,1,Brevibacterium epidermidis,Brevibacterium,epidermidis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
1842,"56b, 56-B","DSM 20425, ATCC 9172, NCIB 9909, CCUG 47677, CIP 101125, IMET 11075, JCM 1327, NCIMB 9909, BCRC 10631, CECT 69, CGMCC 1.1890, HAMBI 2038, IAM 12437, IFO 12142, IMSNU 12001, KCTC 9099, LMG 21451, MTCC 268, NBRC 12142, NRRL B-4210, VKM Ac-2112, VTT E-94529",1,1,Brevibacterium linens,Brevibacterium,linens,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
1856,CF87,"DSM 15022, CCUG 46604, CIP 108129, JCM 12367, CCM 7149",1,1,Brevibacterium luteolum,Brevibacterium,luteolum,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
1848,"E2cr, 669","DSM 9583, ATCC 49030, CCUG 37313, JCM 11682, CIP 104342",1,1,Brevibacterium mcbrellneri,Brevibacterium,mcbrellneri,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
1851,"CF62, CF 62","CCUG 45688, DSM 13657, LMG 19814, JCM 11567, ATCC BAA-616, IFM 10521, CIP 107270",1,1,Brevibacterium paucivorans,Brevibacterium,paucivorans,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
1852,"CF63, CF 63","DSM 15677, CCUG 47857, CIP 108479, JCM 13386, LMG 23173",1,1,Brevibacterium sanguinis,Brevibacterium,sanguinis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
133018,FXJ8.269,"DSM 102229, CGMCC 1.15472, JCM 32488",1,1,Brevibacterium sediminis,Brevibacterium,sediminis,1,aztreonam
,,,,,,,,1,guanidinium chloride
,,,,,,,,1,lithium chloride
,,,,,,,,1,nalidixic acid
,,,,,,,,1,sodium bromate
,,,,,,,,1,sodium butyrate
,,,,,,,,1,sodium lactate
140885,NHI-13,"KEME 9005-016, KACC 18249, JCM 30385",1,1,Brevundimonas albigilva,Brevundimonas,albigilva,1,novobiocin
,,,,,,,,1,penicillin g
133379,FDRGB2b,"DSM 29841, NCAIM B.02621",1,1,Brevundimonas balnearis,Brevundimonas,balnearis,1,amoxicillin
,,,,,,,,1,clindamycin
,,,,,,,,1,penicillin g
,,,,,,,,1,polymyxin b
133414,GTAE24,"LMG 29500, CECT 9126",1,1,Brevundimonas canariensis,Brevundimonas,canariensis,1,ampicillin
,,,,,,,,1,cloxacillin
,,,,,,,,1,penicillin
2298,Pickett K-248,"DSM 7234, ATCC 11568, CCEB 513, CCEB 516, CCM 2657, CCTM 1850, CCUG 1187, CCUG 1256, CCUG 1427, CECT 317, CIP 63.27, CNCTC Ps170/79, HNCMB 173005, IAM 1513, IMET 10409, JCM 2788, LMG 2088, LMG 2089, NCIB 9393, NCTC 8545, NRRL B-1496, USCC 1337, VKM B-893, AJ 2067, Hugh 342, Komagata KS 0016, BCRC 11894, CGMCC 1.1798, IAM 12691, IFO 12697, KCTC 12488, LMG 1793, NBRC 12697, NCIMB 9393, VKM B-1297",1,1,Brevundimonas diminuta,Brevundimonas,diminuta,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
2304,,"DSM 4732, ATCC 15262, CB 63, CIP 106444, KCTC 12440",1,1,Brevundimonas intermedia,Brevundimonas,intermedia,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
166488,NS26,"CGMCC 1.13680, NBRC 113554",1,1,Brevundimonas lutea,Brevundimonas,lutea,1,ampicillin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,neomycin
,,,,,,,,1,penicillin g
,,,,,,,,1,streptomycin
2311,"V4.30.10, V4.BO.10","DSM 14878, CIP 107934, LMG 21911, KCTC 12441",1,1,Brevundimonas mediterranea,Brevundimonas,mediterranea,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
2310,W1-2B,"DSM 14572, GTC 1043, JCM 11415, CGMCC 1.7035, CIP 108442, KCTC 12493",1,1,Brevundimonas nasdae,Brevundimonas,nasdae,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
2306,,"CCUG 48882, CIP 106445, DSM 4737, ATCC 15255, CB 17, KCTC 12443",1,1,Brevundimonas variabilis,Brevundimonas,variabilis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
2302,"13alt, Kosako 85012, Otto A117","DSM 7233, ATCC 11426, CCEB 857, CCM 3398, CCUG 2032, CECT 327, IAM 12105, JCM 1477, NCMB 1945, NCTC 10900, Stanier 500, BCRC 11012, CGMCC 1.7034, CIP 101035, DSM 7226, IFO 12165, LMG 2350, NBRC 12165, NCIMB 1945, VKM B-974, VTT E-981070",1,1,Brevundimonas vesicularis,Brevundimonas,vesicularis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
1897,CA-34,"DSM 22292, CCUG 57879",1,1,Brucella ciceri,Brucella,ciceri,1,ampicillin
,,,,,,,,1,aztreonam
,,,,,,,,1,cefixime
,,,,,,,,1,cephradine
1886,Iso-196,"DSM 15295, CCUG 48291, CIP 107753, ISO Iso196, ISO 196",1,1,Brucella gallinifaecis,Brucella,gallinifaecis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
1882,OgA9a,"DSM 13338, NBRC 102586, CCUG 46362, CIP 107373, LMG 18954",1,1,Brucella grignonensis,Brucella,grignonensis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
,,,,,,,,1,colistin
,,,,,,,,1,polymyxin b
1888,,"DSM 17986, CIP 105838, LMG 3301, NCTC 12171, CCUG 24694, CNS 2-75",1,1,Brucella intermedia,Brucella,intermedia,1,colistin
1891,,"CCUG 55422, DSM 17490, CIP 109116, KCTC 22760, ADV 31",1,1,Brucella pseudintermedia,Brucella,pseudintermedia,1,chloramphenicol
,,,,,,,,1,colistin
,,,,,,,,1,fosfomycin
,,,,,,,,1,tetracycline
1884,SCII24,"DSM 13340, NBRC 102585, CCUG 47104, LMG 18957, UCCCB44",1,1,Brucella tritici,Brucella,tritici,1,chloramphenicol
140708,N62,"KCTC 42589, MCCC 1H00117",1,1,Brumimicrobium aurantiacum,Brumimicrobium,aurantiacum,1,gentamicin
,,,,,,,,1,kanamycin
,,,,,,,,1,neomycin
,,,,,,,,1,norfloxacin
,,,,,,,,1,ofloxacin
,,,,,,,,1,streptomycin
,,,,,,,,1,sulfamethoxydiazine
,,,,,,,,1,tetracycline
,,,,,,,,1,tobramycin
141,,"DSM 22489, LMG 25276, SN 10",1,1,Bryocella elongata,Bryocella,elongata,1,ampicillin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,gentamicin
,,,,,,,,1,neomycin
,,,,,,,,1,streptomycin
5365,W1219,"DSM 13220, ATCC BAA-170, CIP 108362",1,1,Bulleidia extructa,Bulleidia,extructa,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
159029,NM-380-WT-3C1,"DSM 105750, JCM 34393",1,1,Bullifex porci,Bullifex,porci,1,ampicillin
,,,,,,,,1,penicillin
1946,,"DSM 16087, CCUG 44356, CIP 107266, LMG 19182",1,1,Burkholderia ambifaria,Burkholderia,ambifaria,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
1952,"CF5610, J2315","CIP 108255, DSM 16553, ATCC BAA-245, CCM 4899, CCUG 48434, LMG 16656, NCTC 13227",1,1,Burkholderia cenocepacia,Burkholderia,cenocepacia,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
1906,717,"DSM 7288, ATCC 25416, DSM 9897, ICPB PC25, NCTC 10743, JCM 5964, BCRC 13208, CCUG 12691, CCUG 13226, CECT 4137, CGMCC 1.1813, CGMCC 1.3393, CIP 80.24, IFO 14074, KCTC 2966, LMG 1222, NBRC 14074, NRRL B-14810, VTT E-94512, ACM 1771",1,1,Burkholderia cepacia,Burkholderia,cepacia,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
1947,"AU0645, R-5670","DSM 16088, CCUG 47727, LMG 18943, CIP 108406",1,1,Burkholderia dolosa,Burkholderia,dolosa,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
1911,PM 107,"DSM 4285, ATCC 10248, CIP 105410, ICPB PM 107, IFO 13700, NBRC 13700, NCPPB 1891, NRRL B-793, PDDCC 3950, CCUG 1782, LMG 2216, ICMP 3950",1,1,Burkholderia gladioli,Burkholderia,gladioli,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
1919,"MD1, P1-22-1","DSM 9512, ATCC 33617, DSM 7169, NCPPB 2981, PDDCC 3655, CCUG 20835, LMG 2196, CIP 106418, CFBP 4900",1,1,Burkholderia glumae,Burkholderia,glumae,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
1941,Cepa 002,"DSM 13243, CIP 105495, LMG 13010, NCTC 13007, CCUG 34080, CCM 4863",1,1,Burkholderia multivorans,Burkholderia,multivorans,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
1917,AZ 8201,"DSM 9509, ATCC 43733, ICMP 9424, JCM 5492, LMG 9035, CCUG 23368, NIAES 1723, CIP 105769, KACC 10679, KCTC 2972, NBRC 104884, NCCB 95038, NCPPB 3590, CFBP 3997",1,1,Burkholderia plantarii,Burkholderia,plantarii,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
1938,2327,"DSM 10685, ATCC 15958, CCUG 41877, NCIMB 13695, LMG 14191, CIP 105874, CCRC 14939, CFBP 4794",1,1,Burkholderia pyrrocinia,Burkholderia,pyrrocinia,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
1951,E3P,"DSM 16586, CCM 4900, LMG 14294, NCTC 13011, CCUG 34168, ATCC BAA-67, CIP 106845",1,1,Burkholderia stabilis,Burkholderia,stabilis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
1942,E264,"CCUG 48851, CIP 106301, DSM 13276, ATCC 700388",1,1,Burkholderia thailandensis,Burkholderia,thailandensis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
