ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,species_epithet,"Colony size"
158495,M6.X9,"DSM 29873, CCUG 66799",1,1,"Citroniella saccharovorans",Citroniella,saccharovorans,1
2817,P7,"DSM 15243, ATCC BAA-624, KCTC 15178",1,1,"Clostridium carboxidivorans",Clostridium,carboxidivorans,2-4
2568,743B,"DSM 3052, ATCC 35296, OCM 3",1,1,"Clostridium cellulovorans",Clostridium,cellulovorans,1-2
159814,YH-tan31,"KCTC 15630, JCM 32793",1,1,"Clostridium composti",Clostridium,composti,1
133372,ZGM211,"CICC 24070, BCRC 80950",1,1,"Clostridium guangxiense",Clostridium,guangxiense,2
132388,BEY10,"DSM 100320, ACCC 00785",1,1,"Clostridium liquoris",Clostridium,liquoris,1
166338,"CSURP1360, ND2","DSM 27309",1,1,"Clostridium massiliamazoniense",Clostridium,massiliamazoniense,0.6-1
5434,2055,"DSM 3984, ATCC 25546, CCUG 28088, JCM 9990, VPI 0142B",1,1,"Clostridium moniliforme",Clostridium,moniliforme,2-8
158307,MJC39,"DSM 103944, JCM 31506",1,1,"Clostridium pabulibutyricum",Clostridium,pabulibutyricum,0.6-1.9
2841,ISDg,"DSM 18823, ATCC 700394",1,1,"Clostridium phytofermentans",Clostridium,phytofermentans,2-5
5445,87,"DSM 3997, ATCC 29255",1,1,"Clostridium tarantellae",Clostridium,tarantellae,2-5
132376,XA,"DSM 29843, CGMCC 1.15041, JCM 33035",1,1,"Cnuibacter physcomitrellae",Cnuibacter,physcomitrellae,1.5-2
166223,YE-B6,"MCCC 1A13131, KCTC 62716",1,1,"Cohaesibacter intestini",Cohaesibacter,intestini,1-2
158570,Pch-40,"KACC 19279, JCM 32033",1,1,"Cohnella algarum",Cohnella,algarum,1-1.5
158415,20.16T,"DSM 104983, VKM B-2846",1,1,"Cohnella kolymensis",Cohnella,kolymensis,1-1.5
133405,MTCD1,"ATCC TSD-5, JCM 30270",1,1,"Colwellia marinimaniae",Colwellia,marinimaniae,0.5-1.0
133324,RA2-7,"KCTC 52417, NBRC 112381",1,1,"Colwellia mytili",Colwellia,mytili,0.8-1.5
166230,OISW-25,"KCTC 62426, NBRC 113187",1,1,"Colwellia ponticola",Colwellia,ponticola,0.5-1.0
140622,YSM-23,"KCTC 52213, NBRC 111994",1,1,"Colwellia sediminilitoris",Colwellia,sediminilitoris,0.5-1.0
2928,,"DSM 9155, ATCC 11330, CCUG 17395, LMG 2370, CIP 107986, CCUG 15845",1,1,"Comamonas aquatica",Comamonas,aquatica,1.0-1.5
2937,YY287,"DSM 21721, BCRC 17659, LMG 24008",1,1,"Comamonas composti",Comamonas,composti,3.0
166302,NLF-7-7,"KCTC 62943",1,1,"Comamonas flocculans",Comamonas,flocculans,0.5-1.0
2930,AFG1,"CIP 107987, DSM 16026, CCUG 15333, LMG 3475",1,1,"Comamonas kerstersii",Comamonas,kerstersii,1.5-2.0
2936,,"DSM 22023, BCRC 17576, LMG 23579, Dant 3-8",1,1,"Comamonas odontotermitis",Comamonas,odontotermitis,1.5-3.0
2927,,"DSM 7099, ATCC 8461, CCUG 15327, CIP 63.44, LMG 5929, NCIB 8193, NCTC 1937, NRRL B-1055, JCM 6230, BCRC 10911, CCM 2409, CCUG 2185, IAM 12052, IAM 12421, IFO 12685, IFO 13299, IMET 10768, LMG 1253, NBRC 12685, NBRC 13299, NCIMB 8193, NRRL B-781",1,1,"Comamonas terrigena",Comamonas,terrigena,1.0
2938,BF-3,"DSM 22523, CCTCC AB 209170, CIP 110332",1,1,"Comamonas zonglianii",Comamonas,zonglianii,2.0
164661,184-8,"JCM 33821, CCM 8895, KCTC 21131, LMG 31050, NCIMB 15152",1,1,"Companilactobacillus baiquanensis",Companilactobacillus,baiquanensis,1.5
164659,8-1(1),"JCM 33819, CCM 8898, KCTC 21115, LMG 31047, NCIMB 15156",1,1,"Companilactobacillus hulinensis",Companilactobacillus,hulinensis,2
132362,TMW1.2011,"DSM 29801, CECT 8802",1,1,"Companilactobacillus insicii",Companilactobacillus,insicii,1
164663,204-8,"JCM 33823, CCM 8900, KCTC 21133, LMG 31054, NCIMB 15159",1,1,"Companilactobacillus jidongensis",Companilactobacillus,jidongensis,1.5
164662,116-2,"JCM 33822, CCM 8899, KCTC 21124, LMG 31051, NCIMB 15158",1,1,"Companilactobacillus kedongensis",Companilactobacillus,kedongensis,1-1.5
164665,33-7,"JCM 33825, CCM 8936, KCTC 21118, LMG 31166, NCIMB 15153",1,1,"Companilactobacillus keshanensis",Companilactobacillus,keshanensis,1
158793,Hime5-1,"JCM 31635, DSM 103730, Hime 5-1",1,1,"Companilactobacillus metriopterae",Companilactobacillus,metriopterae,1-2
164660,256-3,"JCM 33820, CCM 8901, LMG 31048, NCIMB 15160",1,1,"Companilactobacillus mishanensis",Companilactobacillus,mishanensis,0.5
164658,M1575,"JCM 33818, CCM 8892, LMG 31045, NCIMB 15149",1,1,"Companilactobacillus zhongbaensis",Companilactobacillus,zhongbaensis,1
140749,XJNY,"KCTC 52638, MCCC 1H00183",1,1,"Confluentibacter citreus",Confluentibacter,citreus,0.5-1.5
140916,,"KCTC 42777, NBRC 111588, HJM 3",1,1,"Confluentibacter lentus",Confluentibacter,lentus,0.7-1
166258,DSL-48,"KCTC 62648, MCCC 1K03537",1,1,"Confluentibacter sediminis",Confluentibacter,sediminis,0.5-1.0
17910,KT71,"DSM 17192, CECT 7588, NBRC 104960",1,1,"Congregibacter litoralis",Congregibacter,litoralis,1-2
158349,7.4,"DSM 105479, CCUG 24852, HIM 794-7",1,1,"Conservatibacter flavescens",Conservatibacter,flavescens,1.0-1.5
166126,176GS2-150,"KACC 19890, LMG 31317",1,1,"Corallincola spongiicola",Corallincola,spongiicola,0.5-2.0
140818,16B10-2-7,"CFCC 12884, KCTC 42249",1,1,"Corticibacterium populi",Corticibacterium,populi,1-2
133399,26D10-3-4,"CFCC 12725, KCTC 33575",1,1,"Corticicoccus populi",Corticicoccus,populi,1.0-2.0
166222,3d-2-2,"CFCC 11891, KCTC 52807",1,1,"Corticimicrobacter populi",Corticimicrobacter,populi,1-2
3167,,"DSM 44280, ATCC 51403, CCUG 32103, CIP 103499, LCDC 88199, JCM 10390, LMG 19062",1,1,"Corynebacterium afermentans",Corynebacterium,afermentans,1-2
,,,,,,,,2
3169,"T 18502","DSM 44282, ATCC 51404, CCUG 32105, CIP 103500, JCM 10391, LMG 19063",1,1,"Corynebacterium afermentans subsp. lipophilum",Corynebacterium,afermentans,2
3198,,"DSM 44531, JCM 11765, NRRL B-24151, CCUG 48298, IMMIB R-3491, CIP 107643",1,1,"Corynebacterium appendicis",Corynebacterium,appendicis,<0.5
3211,S613,"DSM 44791, CCUG 46511, CECT 5993, CIP 108096, JCM 12268",1,1,"Corynebacterium aquilae",Corynebacterium,aquilae,1-2
3161,,"DSM 44202, CIP 104296, CCUG 34893, IBS B10697, JCM 10392, ATCC 51927, LMG 19064, IBS 10697",1,1,"Corynebacterium argentoratense",Corynebacterium,argentoratense,2
3202,CRS-51,"DSM 44610, CCUG 39412, CECT 4897, JCM 11664, ATCC BAA-77, CIP 105508, LMG 19039",1,1,"Corynebacterium camporealense",Corynebacterium,camporealense,1-2
3203,"S108/98/2, 980914, S108/98/2*","DSM 44611, CCUG 39779, CIP 106739, JCM 12101, KCTC 19913",1,1,"Corynebacterium capitovis",Corynebacterium,capitovis,0.5
3207,,"CCUG 57201, CIP 107182, DSM 44701, DPC 5298, LMG S-19264, NCIMB 30130, JCM 12072, LMG 19264",1,1,"Corynebacterium casei",Corynebacterium,casei,1
3214,M106/00/5,"DSM 44850, CCUG 44566, CIP 107965, JCM 13387",1,1,"Corynebacterium caspium",Corynebacterium,caspium,0.5-2
166191,200CH,"CCM 8831, LMG 30628, CCUG 72166",1,1,"Corynebacterium choanae",Corynebacterium,choanae,0.5
3216,"BIST 13, BS 13, BS13","DSM 44920, CCUG 47525, CECT 5779, CIP 108588, JCM 13388",1,1,"Corynebacterium ciconiae",Corynebacterium,ciconiae,1-2
3183,,"JCM 12102, DSM 44384, CCUG 38267, DMMZ 2439, CIP 105403, LMG 19073",1,1,"Corynebacterium confusum",Corynebacterium,confusum,1.5
3159,,"CCUG 38194, LMG 19044, CIP 104919, JCM 10381, DSM 44184, CCUG 35014, DMMZ 214, ATCC 700219, CCM 4669",1,1,"Corynebacterium coyleae",Corynebacterium,coyleae,1
131684,JZ16,"DSM 100882, CCUG 69192, LMG 29813",1,1,"Corynebacterium crudilactis",Corynebacterium,crudilactis,3
3181,,"IFO 16161, LMG 19045, CIP 105490, CCM 4727, DSM 45333, CCUG 37331, DSM 44351, JCM 11948, NBRC 16161",1,1,"Corynebacterium durum",Corynebacterium,durum,0.5-1.0
3195,"AJ-12310, YS-314","DSM 44549, JCM 11189, FERM 9246, AJ 12310, CCM 7123, CCUG 47130, CCUG 48037, CIP 107632, NBRC 100395",1,1,"Corynebacterium efficiens",Corynebacterium,efficiens,2-3
132560,,"DSM 45971, CCTCC AB 2013226, YIM 101506, JCM 31743",1,1,"Corynebacterium faecale",Corynebacterium,faecale,1-3
3180,"BL 8171","DSM 44353, CCUG 33651, LMG 19046, CCM 4913, CIP 105466, JCM 11949, ATCC BAA-596, DMMZ 2537",1,1,"Corynebacterium falsenii",Corynebacterium,falsenii,2
3190,6695110,"CCUG 45704, CIP 106767, JCM 45704, DSM 44506, JCM 12104",1,1,"Corynebacterium freneyi",Corynebacterium,freneyi,0.5-1.0
166189,W8,"CCM 8833, LMG 30629, CCUG 72165",1,1,"Corynebacterium gerontici",Corynebacterium,gerontici,3
140638,S01,"KCTC 39608, CCTCC AB 2015423, GDMCC 1.1022, DSM 107476",1,1,"Corynebacterium guangdongense",Corynebacterium,guangdongense,1.0-1.5
3209,,"CCUG 54529, DSM 44683, CCTCC AA 001024, CIP 108972, JCM 12676, YIM 70093, KCTC 19015",1,1,"Corynebacterium halotolerans",Corynebacterium,halotolerans,0.5-1.5
3171,"JCP 2, JCL-2","DSM 44284, ATCC 51787, CCUG 32361, CIP 104099, JCM 11684, JCL 2, JCM 10393, LMG 19066",1,1,"Corynebacterium macginleyi",Corynebacterium,macginleyi,2-4
3223,"7015, D7015","DSM 44953, CGMCC 1.6998, NRRL B-24779, JCM 17491, CIP 110199",1,1,"Corynebacterium marinum",Corynebacterium,marinum,0.5-1.5
3178,S-8,"DSM 44356, CCUG 38654, CECT 4843, CIP 105509, IFO (NBRC) 16160, JCM 12269, IFO 16160, LMG 19040, NBRC 16160",1,1,"Corynebacterium mastitidis",Corynebacterium,mastitidis,0.5-1.0
,,,,,,,,<1
3163,,"DSM 44265, CCUG 36878, CIP 105129, DMMZ 2278, JCM 10384, ATCC 700355, CCM 4678, LMG 19067",1,1,"Corynebacterium mucifaciens",Corynebacterium,mucifaciens,1.0-1.5
3245,"GF 234/92","CCUG 32254, DSM 8821, ATCC 51513, JCM 12146, CCM 4568, CIP 104075, IFM 10650, LMG 19071, NBRC 106139",1,1,"Corynebacterium otitidis",Corynebacterium,otitidis,1.0-2.0
3187,"Co 553","DSM 44415, ATCC BAA-15, CCUG 43305, LMG 19516, JCM 12107, CIP 106488, CCM 4908, UCL 553",1,1,"Corynebacterium simulans",Corynebacterium,simulans,1-2
3182,,"DSM 44357, CCUG 37330, CIP 105491, IBS B52218, IFO 16162, NBRC 16162, LMG 19056, CCM 4729, JCM 10385",1,1,"Corynebacterium singulare",Corynebacterium,singulare,1-2
3212,"38, Garayzabal 38","DSM 44792, CCUG 46398, CECT 5990, CIP 108094, JCM 12270",1,1,"Corynebacterium sphenisci",Corynebacterium,sphenisci,1-2
3210,"J11, PG 39","DSM 44757, CCUG 45512, CECT 5986, CIP 107875, JCM 12271",1,1,"Corynebacterium spheniscorum",Corynebacterium,spheniscorum,1-2
3215,P81/02,"DSM 44851, DSM 45110, CCUG 46963, CECT 5724, CIP 108201, JCM 12370",1,1,"Corynebacterium suicordis",Corynebacterium,suicordis,1-2
3164,"96-649, Tho 218/95","DSM 44276, CCUG 38516, JCM 12109, CIP 105597",1,1,"Corynebacterium thomssenii",Corynebacterium,thomssenii,<0.5
3221,LDC-20,"DSM 44922, ATCC 35529, ATCC 35692, CCUG 45418, CIP 107291, JCM 13389, Medalle X",1,1,"Corynebacterium tuberculostearicum",Corynebacterium,tuberculostearicum,1
3224,,"DSM 45051, CCUG 53377, CIP 109611, JCM 15295, IMMIB RIV-2301",1,1,"Corynebacterium ureicelerivorans",Corynebacterium,ureicelerivorans,0.1-0.3
133014,Ery22,"DSM 101481, CGMCC 1.15360",1,1,"Croceicoccus mobilis",Croceicoccus,mobilis,1.0-2.0
133013,Ery9,"DSM 101479, CGMCC 1.15358",1,1,"Croceicoccus pelagius",Croceicoccus,pelagius,1.0-2.0
166514,GM-16,"KACC 19611, KCTC 62423, NBRC 113192",1,1,"Croceicoccus ponticola",Croceicoccus,ponticola,0.5-1
140751,H01-35,"MCCC 1K03229, KCTC 52368",1,1,"Croceitalea marina",Croceitalea,marina,1-2.5
140753,"182, 0182","KCTC 42868, MCCC 1H00128",1,1,"Crocinitomix algicola",Crocinitomix,algicola,0.5-1.5
158651,Hh31,"NBRC 107882, CGMCC 1.11213",1,1,"Cryobacterium aureum",Cryobacterium,aureum,2
166224,Hh39,"NBRC 107884, CGMCC 1.11212",1,1,"Cryobacterium melibiosiphilum",Cryobacterium,melibiosiphilum,2
164251,GCJ02,"JCM 32391, CCTCC M 2016604, MCCC 1K03549",1,1,"Cryobacterium soli",Cryobacterium,soli,2-3
3053,12-3,"DSM 15641, ATCC 700683, CCUG 55773",1,1,"Cryptobacterium curtum",Cryptobacterium,curtum,<1.0
140833,X1,"KCTC 42909, LMG 29218",1,1,"Cupriavidus nantongensis",Cupriavidus,nantongensis,0.5-1
12636,,"LMG 16711, DSM 1897, ATCC 6919, CCUG 1794, JCM 6425, KCTC 3314, NCTC 737, BCRC 10723, CECT 5684, CGMCC 1.5003, CIP 53.117, KCTC 5008, LMG 3591, NBRC 107605, NRRL B-4224, VKM Ac-1450, VPI 0389",1,1,"Cutibacterium acnes",Cutibacterium,acnes,<4.0
,,,,,,,,<5.0
133242,,"ATCC 11828, JCM 6473, CCUG 6369, BCRC 16146, KCTC 3320, VPI 0391",1,1,"Cutibacterium acnes subsp. defendens",Cutibacterium,acnes,<4.0
,,,,,,,,<5.0
132605,,"DSM 29427, CCUG 66358, NTS 31307302",1,1,"Cutibacterium namnetense",Cutibacterium,namnetense,2
134150,,"KCTC 12363, LMG 23026, KMM 6143, CIP 108848",1,1,"Cyclobacterium amurskyense",Cyclobacterium,amurskyense,1-3
140355,FJAT-25547,"DSM 101002, CCTCC AB 2015208",1,1,"Cytobacillus praedii",Cytobacillus,praedii,2-3
1904,K107,"DSM 21779, CCUG 54520, KCTC 12981",1,1,"Daeguia caeni",Daeguia,caeni,1.0-1.5
140990,DL5-4,"MCCC 1A06955, LMG 29616",1,1,"Defluviimonas nitratireducens",Defluviimonas,nitratireducens,0.5-1.0
158779,PrR001,"CICC 24263, KCTC 62192",1,1,"Acidimangrovimonas pyrenivorans",Acidimangrovimonas,pyrenivorans,0.5-1.0
158664,ID0501,"KACC 19286, NBRC 112889",1,1,"Deinococcus aluminii",Deinococcus,aluminii,1-2
133034,FeSTC15-38,"DSM 101791, NCAIM B.02630",1,1,"Deinococcus budaensis",Deinococcus,budaensis,1.0-2.0
158506,FeSDHB5-19,"DSM 106917, NCAIM B.02639",1,1,"Deinococcus fonticola",Deinococcus,fonticola,4.0-5.0
3855,AG-3a,"DSM 11300, CIP 105573",1,1,"Deinococcus geothermalis",Deinococcus,geothermalis,0.2
158579,THG-AG1.5,"KACC 18850, CCTCC AB 2016078",1,1,"Deinococcus hibisci",Deinococcus,hibisci,0.5-0.8
159872,SJW1-2,"KACC 19332, NBRC 112908",1,1,"Deinococcus koreensis",Deinococcus,koreensis,1
166303,"HUT-8138, KR-1","KCTC 33977",1,1,"Deinococcus kurensis",Deinococcus,kurensis,1-2
3858,ALT-1b,"DSM 11303, CCUG 50777, CIP 105574",1,1,"Deinococcus murrayi",Deinococcus,murrayi,0.2
158571,X-121,"CCTCC AB 207228, KCTC 33842",1,1,"Deinococcus taklimakanensis",Deinococcus,taklimakanensis,1
140487,RA6,"LMG 29737, CECT 9171",1,1,"Delftia rhizosphaerae",Delftia,rhizosphaerae,1-3
133136,GHD-1,"KCTC 52260, NBRC 112299",1,1,"Demequina litorisediminis",Demequina,litorisediminis,0.5-1.0
132563,32,"DSM 101003, NCCP 16133",1,1,"Dermabacter jinjuensis",Dermabacter,jinjuensis,0.5-1.0
132483,AD1-86,"DSM 100050, KCTC 39585",1,1,"Dermabacter vaginalis",Dermabacter,vaginalis,1-2
158572,KJ1-10-99,"LMG 29918, KCTC 33878",1,1,"Desertibacillus haloalkaliphilus",Desertibacillus,haloalkaliphilus,1-3
160770,,"DSM 105431, KCTC 39977, CPCC 204711",1,1,"Desertihabitans aurantiacus",Desertihabitans,aurantiacus,1.1-1.8
133072,Prop6,"DSM 103420, JCM 31535",1,1,"Desulfobulbus oligotrophicus",Desulfobulbus,oligotrophicus,0.5-1.0
158350,P1BSR,"DSM 101510, JCM 31065",1,1,"Maridesulfovibrio salinus",Maridesulfovibrio,salinus,1-2
132457,TR1,"DSM 29984, JCM 30680",1,1,"Desulfurella amilsii",Desulfurella,amilsii,0.5-1
133163,HJR-2,"KCTC 52211, NBRC 112271",1,1,"Devosia confluentis",Devosia,confluentis,0.5-1.0
133408,S37,"TBRC 5145, LMG 29420",1,1,"Devosia elaeis",Devosia,elaeis,0.5-2.0
141130,THG-MM1,"KACC 18281, CCTCC AB 2015121",1,1,"Devosia humi",Devosia,humi,0.5-2.0
158927,5BBH33,"DSM 109768, JCM 33369",1,1,"Dialister hominis",Dialister,hominis,0.5-1.0
132585,JS5,"DSM 101947, CGMCC 1.15464",1,1,"Dickeya fangzhongdai",Dickeya,fangzhongdai,2
166447,S29,"CFBP 8647, LMG 30899",1,1,"Dickeya lacustris",Dickeya,lacustris,1-2
4239,H-6-12,"DSM 3960, ATCC 35947",1,1,"Dictyoglomus thermophilum",Dictyoglomus,thermophilum,2-4
158805,ZOW29,"KCTC 52956, JCM 32295",1,1,"Dokdonia aurantiaca",Dokdonia,aurantiaca,1.5-2
158637,ZODW10,"KCTC 52953, JCM 32293",1,1,"Dokdonia flava",Dokdonia,flava,1-2
158740,SFD34,"KCTC 52269, JCM 31795",1,1,"Dokdonia lutea",Dokdonia,lutea,1.5-2.0
167968,SH27,"MCCC 1H00358, KCTC 62962, CCTCC AB 2018323",1,1,"Dokdonia sinensis",Dokdonia,sinensis,1.0-1.5
141063,XD80,"CCTCC AB 2015053, KCTC 33636, DSM 104295",1,1,"Domibacillus antri",Domibacillus,antri,2-3
140687,,"KCTC 33820, MTCC 12571, DSM 100930, SAOS 44, JCM 32631",1,1,"Domibacillus mangrovi",Domibacillus,mangrovi,1
164191,DM2,"JCM 32096, BCRC 81069",1,1,"Dongshaea marina",Dongshaea,marina,2-4
140270,NYU-BL-A4,"DSM 103457, ATCC TSD-64",1,1,"Dubosiella newyorkensis",Dubosiella,newyorkensis,0.5
,,,,,,,,2-3
141131,,"KCTC 42409, JCM 30745, DCY 83",1,1,"Massilia ginsengisoli",Massilia,ginsengisoli,0.3-1.5
132636,65,"DSM 100786, CGMCC 1.15288",1,1,"Dyadobacter endophyticus",Dyadobacter,endophyticus,1.0-1.5
168496,NS28,"MCCC 1K03764, NBRC 113854",1,1,"Dyadobacter flavalbus",Dyadobacter,flavalbus,3-4
167837,AR-3-8,"NBRC 113791, KACC 21173, KEMB 9005-744",1,1,"Dyadobacter frigoris",Dyadobacter,frigoris,1-2
164417,RS19,"JCM 32940, ACCC 60381, CGMCC 1.13719",1,1,"Dyadobacter luteus",Dyadobacter,luteus,1-2
167791,AR-3-6,"KEMB 9005-743, KACC 21172, NBRC 113790",1,1,"Dyadobacter psychrotolerans",Dyadobacter,psychrotolerans,1-2
133376,4M-Z03,"NBRC 111980, KCTC 52131",1,1,"Dyella acidisoli",Dyella,acidisoli,1.0-1.5
140754,DKC-1,"KEMB 9005-571, KACC 19176, JCM 31925",1,1,"Dyella agri",Dyella,agri,1-2
166261,DHC06,"GDMCC 1.1186, LMG 30090",1,1,"Dyella amyloliquefaciens",Dyella,amyloliquefaciens,1.0-1.8
141034,DHOB09,"CGMCC 1.15434, LMG 29202",1,1,"Dyella caseinilytica",Dyella,caseinilytica,0.7-1.2
133377,4M-K16,"NBRC 111981, KCTC 52130",1,1,"Dyella flagellata",Dyella,flagellata,0.5-1.0
141035,DHOC52,"NBRC 111979, KCTC 52128",1,1,"Dyella flava",Dyella,flava,1.0-1.5
133215,DHG40,"KCTC 42629, LMG 28842",1,1,"Dyella humi",Dyella,humi,1.0-2.5
140577,DHOB07,"NBRC 111473, KCTC 52132",1,1,"Dyella lipolytica",Dyella,lipolytica,1.2-1.7
141036,DHON07,"CGMCC 1.15400, NBRC 111475",1,1,"Dyella mobilis",Dyella,mobilis,0.8-1.4
133378,DHG59,"NBRC 111472, LMG 29201, CGMCC 1.15439",1,1,"Dyella nitratireducens",Dyella,nitratireducens,1.0-1.5
17719,,"DSM 19836, KCTC 12368, KMM 6172, LMG 23350",1,1,"Echinicola pacifica",Echinicola,pacifica,2-3
140384,001-Na2,"DSM 103729, KCTC 52495, JCM 31786",1,1,"Echinicola sediminis",Echinicola,sediminis,1.5
17718,,"DSM 17526, CIP 109902, LMG 23754, KMM 6221",1,1,"Echinicola vietnamensis",Echinicola,vietnamensis,2-3
132350,DHF9,"DSM 29920, CGMCC 1.12997",1,1,"Edaphobacter dinghuensis",Edaphobacter,dinghuensis,1.0-3.0
166115,HME-24,"KCTC 62977, CGMCC 1.13935",1,1,"Edaphocola flava",Edaphocola,flava,1.0-2.0
166207,MRS2,"KCTC 62904, NBRC 113550",1,1,"Empedobacter tilapiae",Empedobacter,tilapiae,1.0-1.5
164447,17J42-9,"JCM 33056, KCTC 62270",1,1,"Emticicia agri",Emticicia,agri,2
168208,THG-DN6.14,"KACC 18540, CGMCC 1.15958",1,1,"Emticicia aquatilis",Emticicia,aquatilis,0.5-1.5
140503,HMF3850,"CECT 9087, KCTC 42851",1,1,"Emticicia paludis",Emticicia,paludis,0.9
140681,ZZ-4,"KCTC 52344, CCTCC AB 2016137",1,1,"Emticicia soli",Emticicia,soli,1.5
140757,Acr-14,"BCRC 80922, LMG 29482, KCTC 42901",1,1,"Endozoicomonas acroporae",Endozoicomonas,acroporae,0.8-2.2
133290,,"YIC 4027, HAMBI 3655, LMG 29286",1,1,"Ensifer alkalisoli",Ensifer,alkalisoli,1.0-3.0
166119,LMR001,"LMG 31426, HAMBI 3707",1,1,"Ensifer aridi",Ensifer,aridi,1-3
140805,,"LMG 29231, HAMBI 3645, CCBAU 23380",1,1,"Ensifer glycinis",Ensifer,glycinis,1-2
132404,"247, 247BMC, EB-247","DSM 29888, NCCB 100573",1,1,"Enterobacter bugandensis",Enterobacter,bugandensis,1-2
170909,E1,"DSM 111347, LMG 31875",1,1,"Enterobacter dykesii",Enterobacter,dykesii,2-3
170910,E13,"DSM 110788, LMG 31764",1,1,"Enterobacter vonholyi",Enterobacter,vonholyi,2-3
140476,ETRF1,"LMG 28312, CCUG 65857",1,1,"Enterococcus crotali",Enterococcus,crotali,1
166242,63-4,"NCIMB 15178, CCM 8922",1,1,"Enterococcus dongliensis",Enterococcus,dongliensis,1-1.5
166174,Gos25-1,"CIP 110956, LMG 29007, NBRC 111461, TISTR 2382",1,1,"Enterococcus florum",Enterococcus,florum,0.6-0.7
166241,190-7,"NCIMB 15200, CCM 8949",1,1,"Enterococcus hulanensis",Enterococcus,hulanensis,0.5-1
166240,94-2,"NCIMB 15180, CCM 8920, LMG 31180",1,1,"Enterococcus nangangensis",Enterococcus,nangangensis,0.5-1
164673,241-2-2,"JCM 33833, CCM 8921, LMG 31181, NCIMB 15185",1,1,"Enterococcus pingfangensis",Enterococcus,pingfangensis,0.5-1
133150,VE80,"JCM 31193, CCUG 68827, CCM 8834",1,1,"Enterococcus saigonensis",Enterococcus,saigonensis,2-3
164674,85-4,"JCM 33834, CCM 8923, LMG 31183, NCIMB 15179",1,1,"Enterococcus songbeiensis",Enterococcus,songbeiensis,0.5-1
158309,MN05,"DSM 104047, CGMCC 1.15942",1,1,"Enterococcus wangshanyuanii",Enterococcus,wangshanyuanii,1
132372,SW014,"DSM 25033, KCTC 42425, MCCC 1K00500, CAIM 1920, JCM 17855",1,1,"Veronia pacifica",Veronia,pacifica,2-3
164343,F02,"JCM 32722, FBCC 500047, KCTC 62567",1,1,"Ephemeroptericola cinctiostellae",Ephemeroptericola,cinctiostellae,1-1.5
140918,BSTT30,"LMG 28457, CECT 8692",1,1,"Erwinia endophytica",Erwinia,endophytica,2-2.5
140998,JSSK-14,"KCTC 52764, NBRC 112765",1,1,"Aurantiacibacter aquimixticola",Aurantiacibacter,aquimixticola,0.7-1.0
166688,JBTF-M21,"KACC 19864, NBRC 113584",1,1,"Erythrobacter insulae",Erythrobacter,insulae,0.5-1.0
166340,EB310,"KCTC 72109, MCCC 1K03690",1,1,"Erythrobacter mangrovi",Erythrobacter,mangrovi,0.5-1.5
166195,KEM-5,"KACC 19865, KCTC 62896, NBRC 113546",1,1,"Qipengyuania marisflavi",Qipengyuania,marisflavi,0.5-1.0
159886,,"DSM 104446, MCCC 1k03290, DSW 09",1,1,"Euzebya rosea",Euzebya,rosea,1
133394,,"CCTCC AB 2014348, KCTC 42440, CY 01",1,1,"Euzebyella marina",Euzebyella,marina,1.2-2.0
164230,SNUG30370,"JCM 32257, KCTC 15632",1,1,"Faecalibacillus faecis",Faecalibacillus,faecis,1-2
164229,SNUG30099,"JCM 32256, KCTC 15631",1,1,"Faecalibacillus intestinalis",Faecalibacillus,intestinalis,1-2
167635,"YIM 102668","KCTC 52109, CCTCC AB 2016016, YIM 102668",1,1,"Faecalibacter macacae",Faecalibacter,macacae,1-8
5422,"113 VI","DSM 3982, ATCC 25540, CCUG 52236, JCM 6483, VPI 0119",1,1,"Faecalicatena contorta",Faecalicatena,contorta,1-3
5426,AzA,"DSM 3598, ATCC 33661, JCM 31501, NCIB 10446, NCIMB 10446, JCM 9983",1,1,"Faecalicatena fissicatena",Faecalicatena,fissicatena,1-3
2621,,"DSM 1287, ATCC 13619, ATCC 25750, JCM 1429, NCIB 10650, BCRC 14529, LMG 3286, NCCB 73016, NCIMB 10650, VPI 0565",1,1,"Faecalicatena orotica",Faecalicatena,orotica,1-3
140268,EGH7,"DSM 103426, JCM 30896",1,1,"Faecalimonas umbilicata",Faecalimonas,umbilicata,1-3
132681,WN011,"DSM 22923, JCM 16476",1,1,"Falcatimonas natans",Falcatimonas,natans,0.5-1.0
166490,"GY 10110","CGMCC 1.13648, NBRC 113502",1,1,"Falsibacillus albus",Falsibacillus,albus,0.5-1
166344,,"KCTC 52106, CCTCC AB 2016031, YIM 102744-1",1,1,"Falsigemmobacter faecalis",Falsigemmobacter,faecalis,1-3
141069,IEB3,"JCM 30817, NCIMB 14984",1,1,"Fermentibacillus polygoni",Fermentibacillus,polygoni,0.5-2.0
140144,ING2-E5B,"DSM 28696, CECT 8609, LMG 28429",1,1,"Fermentimonas caenicola",Fermentimonas,caenicola,0.8
,,,,,,,,1
108,T23,"DSM 19497, ATCC BAA-1647, DSM 11138",1,1,"Ferrimicrobium acidiphilum",Ferrimicrobium,acidiphilum,1.0-3.0
109,Y005,"DSM 19514, ATCC BAA-1645",1,1,"Ferrithrix thermotolerans",Ferrithrix,thermotolerans,1.0-2.0
158602,A15,"KEMB 9005-522, KACC 19102, NBRC 112682",1,1,"Ferrovibrio soli",Ferrovibrio,soli,1-2
