"","ID","designation_header","strain_number_header","is_type_strain_header","is_type_strain","species","Temperature_for_growth"
"6662",140959,"NP5","KACC 18626, LMG 29198",1,1,"Daejeonia ginsenosidivorans","18-37"
"6663",163835,"","JCM 30602, KACC 18533",1,1,"Dankookia rubra","30"
"6664",17908,"SE12","DSM 21967, JCM 13441, KCTC 12566, KOPRI 20902",1,1,"Dasania marina","10-20"
"6665",NA,"","",NA,NA,"","20"
"6666",13894,"CKB","DSM 13637, ATCC 700666",1,1,"Dechloromonas agitata","30"
"6667",13895,"ED1","DSM 15892, ATCC BAA-841, CIP 109443",1,1,"Dechloromonas denitrificans","30"
"6668",NA,"","",NA,NA,"","5.0-36"
"6669",13896,"MA-1","DSM 15637, ATCC BAA-776",1,1,"Dechloromonas hortensis","30"
"6670",10516,"Nsw-4","DSM 24713, BCRC 17934, LMG 24817",1,1,"Deefgea chitinilytica","15-37"
"6671",NA,"","",NA,NA,"","28"
"6672",10515,"","DSM 18356, WB 3.4-79, CIP 109326",1,1,"Deefgea rivuli","04-32"
"6673",NA,"","",NA,NA,"","25"
"6674",NA,"","",NA,NA,"","28"
"6675",3844,"JR","DSM 14873, JCM 11955",1,1,"Deferribacter abyssi","60"
"6676",3845,"SL50","DSM 21529, VKPM B-10097",1,1,"Deferribacter autotrophicus","25-75"
"6677",NA,"","",NA,NA,"","60"
"6678",3841,"SSM1","DSM 14783, JCM 11476, NBRC 101012",1,1,"Deferribacter desulfuricans","40.0-70.0"
"6679",NA,"","",NA,NA,"","62"
"6680",3842,"BMA","DSM 14813, ACM 5093",1,1,"Deferribacter thermophilus","60"
"6681",18151,"S3R1","DSM 24185, VKM B-2672",1,1,"Deferrisoma camini","36-62"
"6682",NA,"","",NA,NA,"","50"
"6683",132415,"MAG-PB1","DSM 29363, JCM 30394",1,1,"Deferrisoma palaeochoriense","30-70"
"6684",NA,"","",NA,NA,"","60"
"6685",133635,"","CIP 107350, NCIMB 13612, Ben 114",1,1,"Defluviicoccus vanus","20-30"
"6686",NA,"","",NA,NA,"","25"
"6687",133959,"BS14","KACC 16442, JCM 18630",1,1,"Defluviimonas aestuarii","05-40"
"6688",NA,"","",NA,NA,"","30"
"6689",13862,"D9-3","DSM 18921, ATCC BAA-1447",1,1,"Defluviimonas denitrificans","30"
"6690",140990,"DL5-4","MCCC 1A06955, LMG 29616",1,1,"Defluviimonas nitratireducens","8-40"
"6691",158779,"PrR001","CICC 24263, KCTC 62192",1,1,"Acidimangrovimonas pyrenivorans","10-40"
"6692",NA,"","",NA,NA,"","30"
"6693",163810,"","JCM 30481, CGMCC 1.5199",1,1,"Defluviitalea phaphyphila","55"
"6694",140265,"A6","DSM 28090, ACCC 19951",1,1,"Defluviitalea raffinosedens","40-65"
"6695",NA,"","",NA,NA,"","50"
"6696",17884,"6LT2, LIND6LT2","DSM 22681, JCM 16312",1,1,"Defluviitalea saccharophila","45-60"
"6697",NA,"","",NA,NA,"","50"
"6698",17074,"Rsulflac1, Sulflac1","DSM 23805, JCM 17210",1,1,"Defluviitoga tunisiensis","37-65"
"6699",NA,"","",NA,NA,"","55"
"6700",11761,"PER-K23","DSM 9455",1,1,"Dehalobacter restrictus","30"
"6701",133751,"195","ATCC BAA-2266, KCTC 15142",1,1,"Dehalococcoides mccartyi","15-35"
"6702",NA,"","",NA,NA,"","30-35"
"6703",133898,"IP3-3","JCM 17062, NRRL B-59545",1,1,"Dehalogenimonas alkenigignens","18-42"
"6704",140462,"NSZ-14","HAMBI 3672, JCM 19277, VKM B-3058",1,1,"Dehalogenimonas formicexedens","20-37"
"6705",133531,"BL-DC-9","ATCC BAA-1523, JCM 15061",1,1,"Dehalogenimonas lykanthroporepellens","20-34"
"6706",3901,"K-bf-PMWA-4.1, K4.1","DSM 21458, HAMBI 2721",1,1,"Deinobacterium chartae","37"
"6707",141115,"BM2","KEMB 5401-184, JCM 30700",1,1,"Deinococcus actinosclerus","25"
"6708",NA,"","",NA,NA,"","25-37"
"6709",NA,"","",NA,NA,"","42"
"6710",3894,"TR0125","DSM 21212, CIP 110035, JCM 11750",1,1,"Deinococcus aerius","28"
"6711",NA,"","",NA,NA,"","30"
"6712",3897,"5516T-9","DSM 24781, JCM 15442, KACC 12745, CIP 110188",1,1,"Deinococcus aerolatus","05-40"
"6713",NA,"","",NA,NA,"","28"
"6714",NA,"","",NA,NA,"","30"
"6715",3898,"5516T-11","DSM 24869, JCM 15443, KACC 12746, CIP 110189",1,1,"Deinococcus aerophilus","05-45"
"6716",NA,"","",NA,NA,"","28"
"6717",NA,"","",NA,NA,"","30"
"6718",3896,"ST0316","DSM 21230, JCM 11751",1,1,"Deinococcus aetherius","25-30"
"6719",NA,"","",NA,NA,"","28"
"6720",NA,"","",NA,NA,"","30"
"6721",134316,"ME-04-04-52","LMG 24283, NRRL B-41948",1,1,"Deinococcus alpinitundrae","05-25"
"6722",134315,"ME-04-01-32","LMG 24022, NRRL B-41947",1,1,"Deinococcus altitudinis","05-25"
"6723",158664,"ID0501","KACC 19286, NBRC 112889",1,1,"Deinococcus aluminii","15-40"
"6724",132941,"G3-6-20","DSM 27864, CCTCC AB 2013263",1,1,"Deinococcus antarcticus","28"
"6725",3873,"KR-36","DSM 19763, LMG 22135, NRRL B-23948, CCUG 56028",1,1,"Deinococcus apachensis","28"
"6726",NA,"","",NA,NA,"","28-30"
"6727",3882,"PB314","DSM 18376, KCTC 12552, NBRC 101311",1,1,"Deinococcus aquaticus","20-37"
"6728",NA,"","",NA,NA,"","28"
"6729",NA,"","",NA,NA,"","30"
"6730",3891,"MIFE 35041/06","DSM 23025, CCM 7524, CCUG 53370",1,1,"Deinococcus aquatilis","15-36"
"6731",NA,"","",NA,NA,"","28"
"6732",NA,"","",NA,NA,"","30"
"6733",154434,"","CCUG 53612, JCM 14371, NBRC 102118",1,1,"Deinococcus aquiradiocola","37"
"6734",166257,"OD32","KCTC 33972, CICC 24671",1,1,"Deinococcus arcticus","15-37"
"6735",163938,"","JCM 31047, KCTC 33741",1,1,"Deinococcus arenae","30"
"6736",133034,"FeSTC15-38","DSM 101791, NCAIM B.02630",1,1,"Deinococcus budaensis","20.0-37.0"
"6737",NA,"","",NA,NA,"","28"
"6738",3881,"Ho-08","DSM 18373, KCTC 12553, NBRC 101312",1,1,"Deinococcus caeni","20-37"
"6739",NA,"","",NA,NA,"","28"
"6740",NA,"","",NA,NA,"","30"
"6741",140103,"MA1003","DSM 105435, KACC 17965, NBRC 110142",1,1,"Deinococcus carri","28"
"6742",3888,"5516J-15","DSM 18568, CIP 109796, KACC 11606",1,1,"Deinococcus cellulosilyticus","28"
"6743",NA,"","",NA,NA,"","30"
"6744",NA,"","",NA,NA,"","5.0-45"
"6745",130276,"","DSM 24791, KCTC 13793, NCCP 154, JCM 19024",1,1,"Deinococcus citri","28"
"6746",NA,"","",NA,NA,"","30"
"6747",134314,"PO-04-19-125","LMG 24282, NRRL B-41949",1,1,"Deinococcus claudionis","05-25"
"6748",3900,"MJ27, B-17D","DSM 26465, JCM 16918, KCTC 13751",1,1,"Deinococcus daejeonensis","15-37"
"6749",NA,"","",NA,NA,"","28"
"6750",NA,"","",NA,NA,"","30"
"6751",22984,"TDMA-24","DSM 27395, CCUG 53609, JCM 14368, NBRC 102115",1,1,"Deinococcus depolymerans","28"
"6752",NA,"","",NA,NA,"","30"
"6753",3863,"VCD115","DSM 17065, CIP 109153, LMG 22923",1,1,"Deinococcus deserti","23-37"
"6754",NA,"","",NA,NA,"","28"
"6755",166403,"H1","CGMCC 1.13938, JCM 33291",1,1,"Deinococcus detaillensis","4-25"
"6756",3885,"CC-FR2-10","DSM 19119, CCUG 51391, CIP 108832, CCUG 53391",1,1,"Deinococcus ficus","10-40"
"6757",NA,"","",NA,NA,"","22-37"
"6758",NA,"","",NA,NA,"","28"
"6759",NA,"","",NA,NA,"","30"
"6760",158506,"FeSDHB5-19","DSM 106917, NCAIM B.02639",1,1,"Deinococcus fonticola","10-32"
"6761",NA,"","",NA,NA,"","28"
"6762",3866,"AA-692","DSM 12807, CIP 109230, NRRL B-41046",1,1,"Deinococcus frigens","15"
"6763",3855,"AG-3a","DSM 11300, CIP 105573",1,1,"Deinococcus geothermalis","30-45"
"6764",NA,"","",NA,NA,"","30-55"
"6765",NA,"","",NA,NA,"","45"
"6766",NA,"","",NA,NA,"","45-50"
"6767",3893,"I-0","DSM 21396, CGMCC 1.7299, JCM 16679",1,1,"Deinococcus gobiensis","15-35"
"6768",NA,"","",NA,NA,"","28"
"6769",NA,"","",NA,NA,"","30"
"6770",3847,"KS 0485","DSM 3963, ATCC 43672, IAM 13005, JCM 6269, CCM 3997, NBRC 101905, NCIMB 13225",1,1,"Deinococcus grandis","26"
"6771",NA,"","",NA,NA,"","30"
"6772",161567,"","JCM 15082, CGMCC 1.7045, CICC 10360",1,1,"Deinococcus guangxiensis","37"
"6773",158579,"THG-AG1.5","KACC 18850, CCTCC AB 2016078",1,1,"Deinococcus hibisci","15-38"
"6774",3876,"KR-140","DSM 18049, LMG 22133, NRRL B-23943, CCUG 55996",1,1,"Deinococcus hopiensis","28"
"6775",NA,"","",NA,NA,"","28-30"
"6776",23889,"MK03","DSM 27939, JCM 17915, KCTC 13619",1,1,"Deinococcus humi","20-37"
"6777",NA,"","",NA,NA,"","28"
"6778",NA,"","",NA,NA,"","30"
"6779",3862,"Wt/1a","DSM 15307, MTCC 4913, CIP 108415",1,1,"Deinococcus indicus","20-37"
"6780",NA,"","",NA,NA,"","25-37"
"6781",NA,"","",NA,NA,"","30"
"6782",159760,"17bor-2","KCTC 33907, NBRC 113037",1,1,"Deinococcus irradiatisoli","18-37"
"6783",NA,"","",NA,NA,"","25"
"6784",164050,"","JCM 31406, KCTC 33794",1,1,"Deinococcus knuensis","25"
"6785",159872,"SJW1-2","KACC 19332, NBRC 112908",1,1,"Deinococcus koreensis","10-37"
"6786",166303,"HUT-8138, KR-1","KCTC 33977",1,1,"Deinococcus kurensis","10-40"
"6787",158716,"","KCTC 52494, KACC 18979, NBRC 112440, IMCC 1711",1,1,"Deinococcus lacus","10-30"
"6788",NA,"","",NA,NA,"","20"
"6789",163764,"","JCM 30331, KCTC 33563",1,1,"Deinococcus malanensis","30"
"6790",3874,"LB-34","DSM 21211, LMG 22137, NRRL B-23946",1,1,"Deinococcus maricopensis","28"
"6791",3869,"AA-63","DSM 12784, CIP 109039, NRRL B-41042",1,1,"Deinococcus marmoris","15"
"6792",NA,"","",NA,NA,"","4-25"
"6793",131460,"1PNM-19","DSM 27521, GIMCC 1.654, GIMCC 1.660",1,1,"Deinococcus metalli","28"
"6794",140102,"MA1002","DSM 105434, KACC 17964, NBRC 11041",1,1,"Deinococcus metallilatus","28"
"6795",3889,"TDMA-25","DSM 22328, CCUG 53610, JCM 14369, NBRC 102116",1,1,"Deinococcus misasensis","37"
"6796",NA,"","",NA,NA,"","40"
"6797",3858,"ALT-1b","DSM 11303, CCUG 50777, CIP 105574",1,1,"Deinococcus murrayi","30-45"
"6798",NA,"","",NA,NA,"","30-52.5"
"6799",NA,"","",NA,NA,"","37"
"6800",NA,"","",NA,NA,"","45"
"6801",NA,"","",NA,NA,"","45-50"
"6802",154995,"","CCUG 56010, NRRL B-23961, LMG 22139",1,1,"Deinococcus papagonensis","28-30"
"6803",3887,"KR-200","DSM 19664, CIP 109416, LMG 22246, CCUG 58334",1,1,"Deinococcus peraridilitoris","10-37"
"6804",NA,"","",NA,NA,"","28"
"6805",NA,"","",NA,NA,"","30"
"6806",133269,"KSY3-6","KCTC 33787, JCM 31313",1,1,"Deinococcus persicinus","20"
"6807",NA,"","",NA,NA,"","25"
"6808",NA,"","",NA,NA,"","30"
"6809",130275,"1P10ME","DSM 27173, NRRL B-59546",1,1,"Deinococcus phoenicis","28"
"6810",3880,"KR-235","DSM 21231, LMG 22244, NRRL B-23994",1,1,"Deinococcus pimensis","28"
"6811",3895,"3aX","DSM 19767, MTCC 9123",1,1,"Deinococcus piscis","20-42"
"6812",NA,"","",NA,NA,"","28"
"6813",3851,"MRP","DSM 20540, ATCC 35074, CCM 2703, CCUG 50161, IFO 15345, NCIMB 13154, UWO 1056, JCM 6276, BCRC 17377, HAMBI 2066, IAM 12141, NBRC 101906, NBRC 15345, VKM Ac-1939",1,1,"Deinococcus proteolyticus","30"
"6814",159403,"S14-83","DSM 105285, CCTCC AB 2015449",1,1,"Deinococcus psychrotolerans","20"
"6815",NA,"","",NA,NA,"","4-30"
"6816",162266,"","JCM 18576, KCTC 33027",1,1,"Deinococcus puniceus","30"
"6817",3852,"R1, R<SUB>1</SUB>","CCUG 27074, DSM 20539, ATCC 13939, CCM 1700, JCM 16871, NCIB 9279, CIP 104750, HAMBI 1924, IFO 15346, LMG 4051, NBRC 15346, NCIMB 9279, UWO 288, VKM B-1422",1,1,"Deinococcus radiodurans","15-30"
"6818",NA,"","",NA,NA,"","30"
"6819",134313,"PO-04-20-132","LMG 24019, NRRL B-41950",1,1,"Deinococcus radiomollis","05-25"
"6820",3854,"RBD","DSM 20551, ATCC 27603, CCM 2564, NCIB 10648, NCTC 10785, JCM 21311, CCTM La 3467, IAM 14779, IFO 15347, NBRC 15347, NCIMB 10648, NCMB 1878, VKM B-1468",1,1,"Deinococcus radiophilus","30"
"6821",3861,"","DSM 12027, ATCC 19172, JCM 16872, UWO 293, MIT 248, CCM 2785, IFO 15348, JCM 21312, NBRC 15348, NCIMB 13155",1,1,"Deinococcus radiopugnans","30"
"6822",162609,"","JCM 19777, KEMB 9004-109",1,1,"Deinococcus radioresistens","30"
"6823",162419,"","JCM 19173, KCTC 33150",1,1,"Deinococcus radiotolerans","30"
"6824",3899,"TM-1","DSM 25938, CGMCC 1.10218, NBRC 106334",1,1,"Deinococcus reticulitermitis","20-40"
"6825",NA,"","",NA,NA,"","28"
"6826",3890,"TDMA-uv51","DSM 22367, CCUG 53611, JCM 14370, NBRC 102117",1,1,"Deinococcus roseus","20-40"
"6827",NA,"","",NA,NA,"","28"
"6828",NA,"","",NA,NA,"","30"
"6829",164059,"","JCM 31434, KEMB 9004-169",1,1,"Deinococcus rubellus","25"
"6830",133314,"JSH3-1","KCTC 33790, JCM 31311",1,1,"Deinococcus ruber","25"
"6831",NA,"","",NA,NA,"","4.0-37.0"
"6832",164061,"","JCM 31436, KEMB 9004-167",1,1,"Deinococcus rubrus","25"
"6833",158723,"W37","KCTC 33913, CCTCC AB 2017081",1,1,"Deinococcus rufus","28"
"6834",133032,"","DSM 29933, CGMCC 1.15089, YIM F302",1,1,"Deinococcus saudiensis","15.0-45.0"
"6835",NA,"","",NA,NA,"","28"
"6836",3865,"AA-1444","DSM 15974, CIP 109040, NRRL B-41043",1,1,"Deinococcus saxicola","15"
"6837",164049,"","JCM 31405, KCTC 33796",1,1,"Deinococcus sedimenti","25"
"6838",164048,"","JCM 31404, KCTC 33793",1,1,"Deinococcus seoulensis","25"
"6839",162421,"","JCM 19176, KCTC 33153",1,1,"Deinococcus soli","30"
"6840",3878,"KR-87","DSM 21209, LMG 22172, NRRL B-23941",1,1,"Deinococcus sonorensis","28"
"6841",162267,"","JCM 18581, KCTC 33033, LMG 30469",1,1,"Deinococcus radiopugnans","30"
"6842",158571,"X-121","CCTCC AB 207228, KCTC 33842",1,1,"Deinococcus taklimakanensis","10-37"
"6843",NA,"","",NA,NA,"","30"
"6844",164225,"","JCM 32248, KCTC 33939",1,1,"Deinococcus terrigena","25"
"6845",23887,"R12","DSM 28115, CGMCC 1.8884, CIP 110212, NBRC 105665",1,1,"Deinococcus wulumuqiensis","10-55"
"6846",NA,"","",NA,NA,"","28"
"6847",NA,"","",NA,NA,"","37"
"6848",3892,"X-82","DSM 25585, CCTCC AB 207226, NRRL B-51287",1,1,"Deinococcus xinjiangensis","10-37"
"6849",NA,"","",NA,NA,"","28"
"6850",3875,"KR-236","DSM 18048, LMG 22171, NRRL B-23960",1,1,"Deinococcus yavapaiensis","28"
"6851",3886,"","DSM 17005, KCTC 3962, YIM 007, KCTC 3955",1,1,"Deinococcus yunweiensis","10-50"
"6852",NA,"","",NA,NA,"","28"
"6853",2941,"2167, 7","DSM 39, ATCC 15668, DSM 50251, JCM 5833, ACM 489, BCRC 14819, CCUG 12692, CCUG 14481, CECT 311, CIP 103021, IAM 12409, IFO 14950, JCM 6203, LMG 1226, LMG 6031, LMG 8910, LMG 8911, NBRC 14950, NCIMB 9681, NCTC 10683, IMET 10620, NCTC 10859",1,1,"Delftia acidovorans","30"
"6854",132953,"","DSM 29949, JCM 30639, KCTC 42377, YIM Y792",1,1,"Delftia deserti","28"
"6855",NA,"","",NA,NA,"","30"
"6856",2954,"332","DSM 21246, LMG 24775",1,1,"Delftia lacustris","28"
"6857",NA,"","",NA,NA,"","3.0-37.0"
"6858",22975,"wsw-7","DSM 27241, BCRC 80212, LMG 25724",1,1,"Delftia litopenaei","04-40"
"6859",NA,"","",NA,NA,"","28"
"6860",140487,"RA6","LMG 29737, CECT 9171",1,1,"Delftia rhizosphaerae","4-30"
"6861",2952,"T7","DSM 17581, ATCC BAA-554, NBRC 16741",1,1,"Delftia tsuruhatensis","10.0-40.0"
"6862",NA,"","",NA,NA,"","35"
"6863",6598,"M6A9","DSM 15638, JCM 10491, NCIMB 13914, ATCC BAA-482, CCM 7143, CCUG 44587, CCUG 45366, CGMCC 1.3701, CIP 106688, LMG 19872",1,1,"Dellaglioa algida","10-22"
"6864",NA,"","",NA,NA,"","20"
"6865",17837,"JC2054","DSM 19086, IMSNU 14027, JCM 12123, KCTC 9919, NBRC 106260",1,1,"Demequina aestuarii","28"
"6866",NA,"","",NA,NA,"","30"
"6867",23444,"YM12-102","DSM 27402, KCTC 19745, MBIC 08347, NBRC 106265",1,1,"Demequina aurantiaca","28"
"6868",17840,"HR08-7","DSM 24865, NBRC 105854",1,1,"Demequina flava","10-28"
"6869",NA,"","",NA,NA,"","28"
"6870",131534,"H12-44, HI12-44","DSM 28149, NBRC 109390",1,1,"Demequina gelatinilytica","28"
"6871",23445,"YM24-125","DSM 27404, KCTC 19747, MBIC 08349, NBRC 106266",1,1,"Demequina globuliformis","28"
"6872",NA,"","",NA,NA,"","30"
"6873",131535,"H12-143, HI12-143","DSM 28146, NBRC 109399",1,1,"Demequina iriomotensis","28"
"6874",133136,"GHD-1","KCTC 52260, NBRC 112299",1,1,"Demequina litorisediminis","10-45"
"6875",NA,"","",NA,NA,"","30"
"6876",17838,"RODXS3, SV 45","DSM 19970, LMG 24795, NBRC 106155, JCM 17019",1,1,"Demequina lutea","04-30"
"6877",NA,"","",NA,NA,"","18"
"6878",NA,"","",NA,NA,"","28"
"6879",17842,"HI08-69","DSM 24868, NBRC 105856",1,1,"Demequina mangrovi","15-28"
"6880",NA,"","",NA,NA,"","28"
"6881",131532,"H12-104, HI12-104","DSM 28144, NBRC 109392",1,1,"Demequina maris","28"
"6882",23446,"YM05-1041","DSM 27405, KCTC 19746, MBIC 08346, NBRC 106264",1,1,"Demequina oxidasica","28"
"6883",131539,"H12-111, HI12-111","DSM 28148, NBRC 109393",1,1,"Demequina pelophila","28"
"6884",131533,"H12-45, HI12-45","DSM 28150, NBRC 109391",1,1,"Demequina phytophila","28"
"6885",131538,"HI12-135","DSM 28152, NBRC 109397",1,1,"Demequina rhizosphaerae","28"
"6886",17839,"KV-810","DSM 22060, NBRC 105323",1,1,"Demequina salsinemoris","12-34"
"6887",NA,"","",NA,NA,"","28"
"6888",131537,"H12-123, HI12-123","DSM 28147, NBRC 109395",1,1,"Demequina silvatica","28"
"6889",131540,"H12-122, HI12-122","DSM 28151, NBRC 109394",1,1,"Demequina soli","28"
"6890",131541,"H12-128, HI12-128","DSM 28145, NBRC 109396",1,1,"Demequina subtropica","28"
"6891",3921,"2002-46","CCUG 39179, CCM 4700, CIP 105501, JCM 11480, DSM 11295, IFO 16164, NBRC 16164, HKI 0089, NCIMB 13517",1,1,"Demetria terragena","25-30"
"6892",NA,"","",NA,NA,"","28"
"6893",NA,"","",NA,NA,"","30"
"6894",166499,"K23C18032701","GDMCC 1.1403, KCTC 62913",1,1,"Deminuibacter soli","15-37"
"6895",17120,"","DSM 1736, ATCC 25974",1,1,"Dendrosporobacter quercicolus","28"
"6896",13931,"AcBE2-1, AcBE2I","DSM 16959, JCM 12830",1,1,"Denitratisoma oestradiolicum","04-38"
"6897",NA,"","",NA,NA,"","30"
"6898",3070,"NPOH1","DSM 21843, ATCC 700546, CCUG 56741",1,1,"Denitrobacterium detoxificans","37"
"6899",3838,"N2460","DSM 12809, NBRC 114555",1,1,"Denitrovibrio acetiphilus","35"
"6900",3918,"S69, S-69","DSM 7083, ATCC 49369, NCFB 2769, CCUG 32998, JCM 7448, CCM 4122, CECT 4165, CIP 105144, IFM 10528, IMSNU 21318, NBRC 106157, NCIMB 13131",1,1,"Dermabacter hominis","15-41"
"6901",NA,"","",NA,NA,"","28"
"6902",NA,"","",NA,NA,"","37"
"6903",132563,"32","DSM 101003, NCCP 16133",1,1,"Dermabacter jinjuensis","20-45"
"6904",NA,"","",NA,NA,"","37"
"6905",132483,"AD1-86","DSM 100050, KCTC 39585",1,1,"Dermabacter vaginalis","25-45"
"6906",NA,"","",NA,NA,"","37"
"6907",3924,"MT1.1","DSM 17573, CIP 109302, NCIMB 14084, JCM 14339",1,1,"Dermacoccus abyssi","10-37"
"6908",NA,"","",NA,NA,"","28"
"6909",NA,"","",NA,NA,"","30"
"6910",3925,"MT2.1","DSM 17574, CIP 109399, NCIMB 14081, CCUG 57203, JCM 14588, IFM 10799",1,1,"Dermacoccus barathri","28"
"6911",NA,"","",NA,NA,"","30-37"
"6912",3922,"59, 8094","DSM 20448, ATCC 29093, CCM 2140, CCUG 33028, JCM 11613, CECT 544, CIP 81.71, IAM 13592, IFO 15356, IMSNU 21319, LMG 14222, NBRC 15356, NCDO 2358, NCIMB 702358, NCTC 11039, VKM Ac-2160, VKM B-1818",1,1,"Dermacoccus nishinomiyaensis","30"
"6913",3926,"MT2.2","CCUG 57204, NCIMB 14126, JCM 14589, DSM 17575, CIP 109400, IFM 10800, NCIMB 14084",1,1,"Dermacoccus profundi","28"
"6914",3940,"A-4, V.1328/1","DSM 44180, ATCC 14637, CCUG 47448, JCM 8106, NRRL B-2350, NCTC 13039, NBRC 105199",1,1,"Dermatophilus congolensis","30-42"
"6915",NA,"","",NA,NA,"","37"
"6916",352,"II","DSM 723, ATCC 15994, NCIB 9064, CCUG 51006, LMG 3977, NRRL B-4319, NRRL B-14655, JCM 20996, BCRC 80374, CECT 841, IAM 13946, NBRC 102506, NCIMB 9064",1,1,"Derxia gummosa","25"
"6917",NA,"","",NA,NA,"","28"
"6918",133843,"HL-12","BCRC 80208, KCTC 23311",1,1,"Derxia lacustris","15-40"
"6919",2272,"","DSM 20581, ATCC 8363, NCIB 9892, CCUG 38799, JCM 1969, BCRC 11883, CGMCC 1.1918, CIP 104227, IFO 12145, KCTC 3258, NBRC 12145, NCIMB 9892, CCTM La 2757",1,1,"Desemzia incerta","20"
"6920",NA,"","",NA,NA,"","30"
"6921",NA,"","",NA,NA,"","37"
"6922",158572,"KJ1-10-99","LMG 29918, KCTC 33878",1,1,"Desertibacillus haloalkaliphilus","20-55"
"6923",NA,"","",NA,NA,"","37"
"6924",133619,"2622","CCTCC AB 208152, KCTC 22436",1,1,"Desertibacter roseus","12-42"
"6925",160770,"","DSM 105431, KCTC 39977, CPCC 204711",1,1,"Desertihabitans aurantiacus","20-40"
"6926",NA,"","",NA,NA,"","28"
"6927",168917,"16Sb5-5","KCTC 49116, CGMCC 1.16553",1,1,"Desertihabitans brevis","15-40"
"6928",158424,"","DSM 104921, KCTC 39917, NBRC 112924, SYSU D60003",1,1,"Desertimonas flava","15-37"
"6929",NA,"","",NA,NA,"","28"
"6930",16786,"","DSM 45169, CCUG 55916, IMMIB L-1269",1,1,"Desmospora activa","30-50"
"6931",NA,"","",NA,NA,"","37"
"6932",NA,"","",NA,NA,"","42"
"6933",131399,"","DSM 45903, NBRC 109626, SCSIO 11154",1,1,"Desmospora profundinema","40"
"6934",16673,"MT-96","DSM 13146",1,1,"Desulfacinum hydrothermale","60"
"6935",16672,"BalphaG1","DSM 9756, ACM 3991",1,1,"Desulfacinum infernum","60"
"6936",11831,"RE35E1","DSM 16058, JCM 14019",1,1,"Desulfotruncus alcoholivorax","33-51"
"6937",NA,"","",NA,NA,"","45"
"6938",NA,"","",NA,NA,"","50"
"6939",11829,"15","DSM 17038, JCM 12923",1,1,"Desulfotruncus arcticus","26-46.5"
"6940",NA,"","",NA,NA,"","37"
"6941",11790,"BSD","DSM 3669, NBRC 112753",1,1,"Desulfoscipio geothermicus","50"
"6942",11825,"Groll","DSM 7213, NBRC 112754",1,1,"Desulfoscipio gibsoniae","35"
"6943",11802,"Pato","DSM 3223, NBRC 112755",1,1,"Desulfallas sapomandens","35"
"6944",11817,"MLF","DSM 6562, NBRC 112758",1,1,"Desulfallas thermosapovorans","50"
"6945",17627,"Konstanz, 2st14","DSM 2075, ATCC 33931, VKM B-1802",1,1,"Desulfarculus baarsii","37"
"6946",3946,"CV2803","DSM 15576, ATCC BAA-743",1,1,"Desulfatibacillum aliphaticivorans","15-40"
"6947",NA,"","",NA,NA,"","30"
"6948",3947,"PF2803","DSM 16219, ATCC BAA-924",1,1,"Desulfatibacillum alkenivorans","22-38"
"6949",NA,"","",NA,NA,"","30"
"6950",23893,"BE2801","DSM 25524, JCM 18157",1,1,"Desulfatiferula berrensis","30"
"6951",3948,"LM2801","DSM 18843, JCM 14469",1,1,"Desulfatiferula olefinivorans","16-38"
"6952",NA,"","",NA,NA,"","30"
"6953",NA,"","",NA,NA,"","35"
"6954",3969,"","DSM 4660, ATCC 49792, Ani 1",1,1,"Desulfatiglans anilini","35"
"6955",130282,"DS","DSM 27197, JCM 19179",1,1,"Desulfatiglans parachlorophenolica","30"
"6956",3996,"HB1","DSM 18734, JCM 14470",1,1,"Desulfatirhabdium butyrativorans","15-37"
"6957",NA,"","",NA,NA,"","28"
"6958",NA,"","",NA,NA,"","30"
"6959",22990,"S28bF","DSM 23472, NBRC 107166",1,1,"Desulfatitalea tepidiphila","13-45"
"6960",NA,"","",NA,NA,"","37"
"6961",11839,"sk.kt5","DSM 16504, JCM 12761",1,1,"Desulfitibacter alkalitolerans","37"
"6962",11841,"","DSM 22410, UNIQEM U794, AHT 17",1,1,"Desulfitispora alkaliphila","30"
"6963",133076,"","DSM 29990, UNIQEM U994, Acr 1",1,1,"Desulfitispora elongata","35"
"6964",NA,"","",NA,NA,"","35.0-37.0"
"6965",11770,"Co23","DSM 11544, ATCC 700175",1,1,"Desulfitobacterium chlororespirans","37"
"6966",11762,"JW/IU-DC1","DSM 9161, ATCC 51507",1,1,"Desulfitobacterium dehalogenans","37"
"6967",11765,"DCB-2","DSM 10664",1,1,"Desulfitobacterium hafniense","37"
"6968",11771,"853-15A","DSM 15288, ATCC BAA-636",1,1,"Desulfitobacterium metallireducens","30"
"6969",16665,"ASRB2","DSM 11109",1,1,"Desulfobacca acetoxidans","37"
"6970",3954,"AcRM3","DSM 3379, ATCC 43919",1,1,"Desulfobacter curvatus","30"
"6971",3962,"GSL-Ac1","DSM 11383",1,1,"Desulfobacter halotolerans","30"
"6972",3955,"AcRS1","DSM 3380, ATCC 43915",1,1,"Desulfobacter hydrogenophilus","30"
"6973",3956,"AcRS2","DSM 3381, ATCC 43918",1,1,"Desulfobacter latus","30"
"6974",3957,"","DSM 2034, ATCC 33911, VKM B-1643, Dangast (2ac9)",1,1,"Desulfobacter postgatei","32"
"6975",3963,"B54","DSM 8776",1,1,"Desulfobacter vibrioformis","30"
"6976",NA,"","",NA,NA,"","5-38"
