ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,Motility
140965,TD41,"MCCC 1A00359, KCTC 33716, LMG 28872, NBRC 113919, CIP 111458",1,1,Bacillus luti,1
140556,AK61,"JCM 31087, MTCC 12015, KCTC 33872",1,1,Metabacillus mangrovi,1
1322,BL4-6,"DSM 26473, JCM 15802, KCTC 13319, CIP 111019",1,1,Bacillus manliponensis,0
,,,,,,1
158585,NC2-31,"KCTC 33721, MCCC 1K01239",1,1,Bacillus marinisedimentorum,1
140964,0711P9-1,"MCCC 1A05942, KCTC 33717, LMG 28877, NBRC 113918, CIP 111457",1,1,Bacillus mobilis,1
1093,RO-H-1,"DSM 9205, ATCC 51516, NRRL B-14698, JCM 12230, BCRC 17124, CIP 104095, IFO 15718, KCTC 3706, LMG 17797, NBRC 15718, NCIMB 13391, VTT E-011771",1,1,Bacillus mojavensis,1
745,"273, NRS-273","DSM 2048, ATCC 6462, CCUG 26678, NRRL B-14799, NCTC 12974, LMG 7128, CIP 103472, NRRL B-14811",1,1,Bacillus mycoides,0
140523,,"CCUG 68786, NRRL B-41091",1,1,Bacillus nakamurai,1
140967,4049,"MCCC 1A00732, KCTC 33713, LMG 28871, NBRC 113921, CIP 111460",1,1,Bacillus nitratireducens,0
140961,EB422,"MCCC 1A06182, KCTC 33858, CIP 111542, NBRC 113915",1,1,Bacillus pacificus,0
,,,,,,1
130193,,"DSM 24834, JCM 18975, KCTC 13786, NCCP 168",1,1,Bacillus pakistanensis,0
133957,RC2,"MTCC 9831, MCC 2100, KCTC 13724, CCM 7754, CIP 110697",1,1,Priestia paraflexa,1
140968,NH24A2,"MCCC 1A04098, KCTC 33709, LMG 28876, NBRC 113922, CIP 111461",1,1,Bacillus paramycoides,0
,,,,,,1
140960,Mn5,"MCCC 1A00395, KCTC 33714, LMG 28873, NBRC 113914, CIP 111454",1,1,Bacillus paranthracis,0
23712,8-4-E12,"DSM 23947, LMG 27601",1,1,Oikeobacillus pervagus,1
140881,NR1-3-2,"JCM 19598, LMG 28281, PCU 340, TISTR 2295",1,1,Bacillus piscicola,1
134281,YN-1,"JCM 14604, NCIMB 14282, LMG 24733",1,1,Evansella polygoni,0
140966,TD42,"MCCC 1A00365, KCTC 33715, LMG 28870, NBRC 113920, CIP 111459",1,1,Bacillus proteolyticus,0
1103,"PN 137, DP44","DSM 8725, ATCC 700166, CIP 105304",1,1,Bacillus pseudalcaliphilus,0
1151,,"DSM 12442, NRRL B-617, JCM 12231, CIP 105700, LMG 18993, KCTC 3862, NBRC 101232, BCRC 17606, BCRC 17107",1,1,Bacillus pseudomycoides,0
756,272,"DSM 27, ATCC 7061, CCM 2144, IFO 12092, JCM 2508, NBRC 12092, NCIB 9369, NCTC 10337, NRS 272, BCRC 11706, CCUG 26015, CECT 29, CGMCC 1.3533, CIP 52.67, IAM 12469, IAM 14177, KCTC 3348, LMG 7132, NCIMB 9369, NRIC 1010, NRRL NRS-272, VKM B-508, VTT E-95572, NCDO 1766",1,1,Bacillus pumilus,1
166351,SPB7,"NRRL B-65559, CICC 24827, MCC 4185",1,1,Bacillus rugosus,1
1264,FO-36b,"DSM 19292, ATCC BAA-1126, LMG 26769, NBRC 100820, CIP 109412",1,1,Bacillus safensis,1
166417,,"LMG 30124, CECT 9344, BC 09",1,1,Bacillus safensis subsp. osmophilus,1
134001,A24,"IBRC-M10078, KCTC 13816, IBRC-M 10078, CIP 110635",1,1,Litchfieldia salsa,1
1253,"BH 724, 6.101, BH724","DSM 16464, CIP 110058, KCTC 3913",1,1,Bacillus seohaeanensis,0
159795,AK72,"MTCC 12636, KCTC 33981, JCM 32183",1,1,Bacillus shivajii,1
1302,PD-A10,"DSM 25261, BCC 22614, KACC 16244, KCTC 13613, CIP 110217",1,1,Bacillus siamensis,1
815,NRS-173,"DSM 4216, IFO 15311, NBRC 15311, NRRL NRS-173, CCUG 27413, LMG 12526, JCM 9076, CGMCC 1.3752, CIP 103790",1,1,Bacillus smithii,1
134009,H1-1M,"KCTC 13881, CCUG 61889, CAU 1033",1,1,Bacillus songklensis,1
1201,"L87-10, TG8-8","DSM 13779, NRRL B-23154, JCM 12232, CIP 107271, KCTC 13918, NBRC 101234",1,1,Bacillus sonorensis,1
1193,TU-B-10,"DSM 15029, NRRL B-23049, JCM 12233, CIP 106094, LMG 19156, NBRC 101239",1,1,Bacillus spizizenii,1
1172,"Marburg, 744","DSM 10, ATCC 6051, CCM 2216, IAM 12118, IFO 13719, JCM 1465, LMG 7135, NBRC 13719, NCIB 3610, NCTC 3610, NRS 744, CCUG 163 B, BCRC 10255, CECT 39, CIP 52.65, IFO 16412, IMET 10758, KCTC 3135, NBRC 16412, NCFB 1769, NCIMB 3610, NRRL B-4219, NRRL NRS-744, VKM B-501, VKM B-758, VKM B-919, VTT E-97009, UCCCB117, NCDO 1769",1,1,Bacillus subtilis,1
140690,,"CCUG 70177, NRRL B-41294",1,1,Bacillus swezeyi,1
1270,"BH030017, 11.101","DSM 16466, CIP 109461, KCTC 3918, BCRC 80952",1,1,Bacillus taeanensis,0
,,,,,,1
158609,,"KCTC 33703, CGMCC 1.15917, EGI 80668",1,1,Evansella tamaricis,1
166386,,"KCTC 43131, CGMCC 1.17491, SYSU G01002",1,1,Peribacillus tepidiphilus,1
134164,10b,"ATCC BAA-819, NCTC 13306, CIP 109396, NRRL B-41771, KCTC 13622",1,1,Bacillus tequilensis,1
140573,RA9,"LMG 29736, CECT 9170",1,1,Siminovitchia terrae,1
133927,SgZ-7,"CCTCC AB 2012030, KACC 16700",1,1,Neobacillus thermocopriae,1
133977,SgZ-8,"CCTCC AB 2012108, KACC 16706",1,1,Bacillus thermotolerans,0
134617,"BM-B-436, BMP-1","CIP 109765, CECT 7196",1,1,Mesobacillus thioparans,1
1006,NRS-996,"DSM 2046, ATCC 10792, CCM 19, NCIB 9134, CCUG 7429, JCM 20386, BCRC 14683, CCEB 457, CECT 197, CIP 53.137, CN 3624, HAMBI 252, HAMBI 478, IAM 12077, LBG B-4034, LMD 70.8, LMG 7138, NBRC 101235, NCAIM B.01292, NCCB 70008, NCDO 1146, NCFB 1146, NCIMB 9134, NCIMB 9207, NRRL HD-735, NRRL NRS-996, PCM 1853, VKM B-439, VKM B-454, VTT E-86245, WDCM 00221",1,1,Bacillus thuringiensis,0
168280,BCT-7112,"NCIMB 14858, CECT 876, CIP 111014",1,1,Bacillus toyonensis,0
140962,N24,"MCCC 1A01406, KCTC 33711, LMG 28874, NBRC 113916, CIP 111455, MCCC 1A1406",1,1,Bacillus tropicus,1
1150,"DV1-F-3, DV-1-F3","DSM 11031, NRRL B-14890, JCM 12234, ATCC 700092, BCRC 17183, CIP 104792, KCTC 3707, LMG 18725, NBRC 101236",1,1,Bacillus vallismortis,1
133012,,"DSM 102050, CIP 111364, LMG 29269, FSL W8-0169",1,1,Bacillus wiedmannii,0
140354,FJAT-27215,"DSM 100757, CCTCC AB 2015266",1,1,Bacillus wudalianchiensis,1
164466,FJAT-46582,"JCM 33155, CCTCC AB 2017047",1,1,Bacillus xiapuensis,1
164475,XXST-01,"JCM 33181, MCCC 1A14143",1,1,Robertmurraya yapensis,1
140879,DW5-4,"MCCC 1A08372, LMG 27144, KCTC 33531",1,1,Bacillus zhangzhouensis,1
138790,S3-R6TC-BA1,CIP 110084,1,1,Bacillus zvezdaensis,1
133276,sw100,"JCM 30597, MCCC 1K00501, KCTC 42424",1,1,Bacterioplanoides pacificum,1
1617,3452A,"DSM 19024, ATCC 43185, CCUG 38735, CIP 104201, JCM 9498, NCTC 13051, VPI 3452A",1,1,Bacteroides caccae,0
140882,"LIPI12-4-Ck732, JSAT12-4-Ck732, C13EG70","InaCC B449, NBRC 110958",1,1,Bacteroides caecicola,0
1623,CRE21,"DSM 14838, CCUG 44979, JCM 15632",1,1,Bacteroides cellulosilyticus,0
1628,A 20,"DSM 22519, JCM 16067, CCUG 60911, YIT 12056, KCTC 15128",1,1,Bacteroides clarus,0
1613,PC 139,"DSM 18011, CCUG 50528, JCM 13475, NRRL B-41113",1,1,Bacteroides coprosuis,0
158883,KGMB02408,"DSM 107828, KCTC 15687, JCM 34008",1,1,Bacteroides faecalis,0
22936,ST37,"DSM 26883, CCUG 60873, JCM 17102, KCTC 15666",1,1,Bacteroides faecichinchillae,0
1631,MAJ27,"CCUG 60914, DSM 24798, JCM 16478, KCTC 5823",1,1,Bacteroides faecis,0
1610,199,"DSM 17565, JCM 13345, CCUG 53890",1,1,Bacteroides finegoldii,0
1629,,"CCUG 60912, DSM 22534, JCM 16101, YIT 12057, KCTC 15129",1,1,Bacteroides fluxus,0
1585,"EN-2, Onslow","DSM 2151, ATCC 25285, JCM 11019, NCTC 9343, CCUG 4856, CCM 4712, VPI 2553, CIP 77.16, KCTC 3688, KCTC 5013, LMG 10263, LMG 11261, NCDO 2217",1,1,Bacteroides fragilis,0
140883,"LIPI12-4-Ck844, JSAT12-4-Ck884, C13EG186","InaCC B451, NBRC 110963",1,1,Bacteroides gallinaceus,0
1624,XDT-1,"CCUG 60910, DSM 19988, JCM 15093, KCTC 15146",1,1,Bacteroides graminisolvens,0
1609,341,"CCUG 53889, DSM 17393, JCM 13265",1,1,Bacteroides intestinalis,0
158670,YS-aM39,"KCTC 15520, JCM 31393",1,1,Bacteroides koreensis,0
158671,R2F3-3-3,"KCTC 15460, JCM 31391",1,1,Bacteroides kribbi,0
1630,,"DSM 22535, JCM 16102, CCUG 60913, YIT 12058, KCTC 15130",1,1,Bacteroides oleiciplenus,0
1592,LRA 044 07 88,"DSM 1896, ATCC 8483, NCTC 11153, CCUG 4943, CIP 103756, JCM 5824, KCTC 5011, BCRC 10623",1,1,Bacteroides ovatus,0
1621,SV434,"DSM 19291, JCM 14649, CCUG 60909",1,1,Bacteroides propionicifaciens,0
133840,Rs-03,"JCM 10512, CCUG 62153, DSM 105720",1,1,Bacteroides reticulotermitis,0
131249,ST161,"DSM 26884, CCUG 60872, JCM 17103",1,1,Bacteroides stercorirosoris,0
1604,,"CCUG 4942, JCM 5828, CIP 103695, KCTC 5204, DSM 6597, ATCC 8492, VPI 0061, CGMCC 1.5133, NCTC 13054",1,1,Bacteroides uniformis,0
1626,XB1A,"DSM 18836, CCUG 53782, JCM 15633",1,1,Bacteroides xylanisolvens,0
158509,,"DSM 108226, CGMCC 4.7547, KCTC 49229, YIM 75507",1,1,Bailinhaonella thermotolerans,0
17640,17S,"DSM 16304, ATCC BAA-736, JCM 11970",1,1,Balnearium lithotrophicum,1
133009,KHALHBd91,"DSM 28579, JCM 19909",1,1,Balneicella halophila,0
17739,CM41_14b,"DSM 19538, CIP 109603, OOB 103",1,1,Balneola alkaliphila,0
17738,"13IX/A01/164, 131X/A01/164","DSM 17893, CIP 109092, OOB 256",1,1,Balneola vulgaris,1
12519,,"DSM 21032, JCM 15079, YIT 11860",1,1,Barnesiella intestinihominis,0
12518,C46,"CCUG 55593, DSM 18177, JCM 13660",1,1,Barnesiella viscericola,0
3935,39,"DSM 24617, CGMCC 4.6864, JCM 19663",1,1,Barrientosiimonas humi,0
22987,MSW-24,"DSM 21415, JCM 19562, KCTC 19485",1,1,Barrientosiimonas marina,0
23781,KS2-1,"DSM 28537, JCM 17706, KCTC 23907",1,1,Bartonella acomydis,0
1634,,"DSM 21432, CCUG 45774, CIP 105477, IBS 382",1,1,Bartonella alsatica,0
138561,AUST/NH1,"CIP 108978, CCUG 51999, CSUR B1",1,1,Bartonella australis,0
1636,,"DSM 21463, CCUG 44360, CIP 106294, IBS 325",1,1,Bartonella birtlesii,0
1637,91-4,"DSM 21464, CCUG 43828, CIP 106692",1,1,Bartonella bovis,0
23782,BR11-1,"DSM 28538, JCM 17709, KCTC 23909",1,1,Bartonella callosciuri,0
1638,,"DSM 21569, CCUG 43827, CIP 106691, IBS 193",1,1,Bartonella capreoli,1
1639,A828,"DSM 21431, CCUG 47497, CIP 107869",1,1,Bartonella chomelii,0
1640,AUST/NH20,"DSM 23499, CCUG 52174, CIP 109064, CSUR B619",1,1,Bartonella coopersplainsensis,0
,,,,,,1
131133,R18,"DSM 102055, NCTC 12862, CCUG 50770, CIP 107026, NCTC 12682",1,1,Bartonella doshiae,0
170945,24C,CIP 111026,1,1,Bartonella dromedarii,0
130214,"B91-002005, F9251","DSM 28217, ATCC 49927, CCUG 30455, CIP 103761",1,1,Bartonella elizabethae,0
138791,V2,"CIP 107024, NCTC 12 860, CCUG 50771, NCTC 12860",1,1,Bartonella grahamii,0
23777,"G5436, Houston-1","DSM 28221, ATCC 49882, CCUG 30454, CIP 103737",1,1,Bartonella henselae,0
23783,OY2-1,"DSM 28562, JCM 17712, KCTC 23655",1,1,Bartonella jaculi,0
1643,,"DSM 23650, CIP 109861, JCM 15567, Fuji 18-1",1,1,Bartonella japonica,0
1635,C-29,"DSM 21570, ATCC 700693, CIP 107025, CCUG 50773",1,1,Bartonella koehlerae,0
23784,FN15-2,"DSM 28563, JCM 17714, KCTC 23657",1,1,Bartonella pachyuromydis,0
1641,AUST/NH12,"DSM 23498, CCUG 52167, CIP 109057, CSUR B617",1,1,Bartonella queenslandensis,0
1633,Fuller,"DSM 21441, ATCC VR-358, CIP 107027",1,1,Bartonella quintana,0
1642,AUST/NH4,"DSM 23500, CCUG 52161, CIP 109051, CSUR B609",1,1,Bartonella rattaustraliani,0
135079,15908,"CIP 107705, CCUG 51221",1,1,Bartonella rattimassiliensis,0
1632,"E251, R1","DSM 13525, CCUG 50783, CIP 107819, NCTC 13165",1,1,Bartonella schoenbuchensis,0
1644,,"DSM 23649, CIP 109862, JCM 15566, Fuji 23-1",1,1,Bartonella silvatica,0
136577,M6,"CIP 107028, NCTC 12861, CCUG 50774",1,1,Bartonella taylorii,0
23779,,"DSM 28219, CCUG 45778, CIP 105476, IBS 506",1,1,Bartonella tribocorum,0
146145,Baker,"CCUG 30453, ATCC VR-152, CIP 103738, ATCC 152-VR",1,1,Bartonella vinsonii,0
23780,"OK 94-513, 94-513","DSM 28218, ATCC 700727, CCUG 50775, CIP 106848",1,1,Bartonella vinsonii subsp. arupensis,0
23778,"93-CO1, 93-C01","DSM 28220, ATCC 51672, CCUG 45779, CIP 104960",1,1,Bartonella vinsonii subsp. berkhoffii,0
11757,JF4016,"DSM 22022, CCUG 57335",1,1,Basfia succiniciproducens,0
130149,JF4266,"DSM 24701, CIP 110308",1,1,Basilea psittacipulmonis,0
133124,D-402,"DSM 14946, UNIQEM U 779",1,1,Beggiatoa leptomitoformis,1
1672,"BF-2819, Hilger","DSM 19635, CECT 7311, LMG 2819",1,1,Beijerinckia doebereinerae,0
17716,"BA134, BA 134T","DSM 15883, CIP 108006, LMG 21964, UCCCB126",1,1,Belliella baltica,0
140946,5C,"VKM B-2724, KCTC 32194",1,1,Belliella buryatensis,0
24721,CC-SAL-25,"DSM 46698, BCRC 17883, KCTC 13248",1,1,Belliella pelovolcani,0
38,CP2C,"DSM 16746, ATCC BAA-1043, CIP 109215",1,1,Belnapia moabensis,0
39,,"DSM 23312, CGMCC 1.10758, CPCC 100156",1,1,Belnapia rosea,0
23491,PB-K8,"DSM 28067, JCM 18033, KCTC 23765",1,1,Belnapia soli,0
10446,M37,"DSM 17675, ATCC 14686, CCUG 2155, IAM 14975, NCTC 10295, CIP 72.16, JCM 21446, NBRC 102155",1,1,Bergeriella denitrificans,0
5486,"CL 544/80, D658","DSM 16783, ATCC 43767, CCUG 12568, CCUG 30535, CIP 103041, IFO (now NBRC) 16014, JCM 21249, LMG 12996, LMG 8351, NCTC 11660, CCM 4559, CDC D658, IAM 14550, NBRC 16014",1,1,Bergeyella zoohelcum,0
11297,RED65,"DSM 23232, CCUG 52064, CECT 7074",1,1,Bermanella marisrubri,1
3791,"Fx l1, Sio-4","DSM 6794, ATCC 23117, IFO 15988, NBRC 15988, CIP 106402, NCIMB 1366",1,1,Bernardetia litoralis,0
1678,2163-026,"DSM 12333, ATCC BAA-8, IFO 16432, NBRC 16432, CCUG 43141, HKI 0122, JCM 11478, CIP 106362, NCIMB 13614",1,1,Beutenbergia cavernae,0
12009,ge10,"DSM 19037, CGMCC 1.6762",1,1,Bhargavaea beijingensis,0
12011,DSE10,"DSM 22132, JCM 14375, LMG 24411",1,1,Bhargavaea cecembensis,0
12010,ge14,"DSM 19038, CGMCC 1.6763",1,1,Bhargavaea ginsengi,0
23196,KJW98,"DSM 22308, KCTC 13583, LMG 25219",1,1,Bhargavaea indica,0
23197,ZMA-19,"DSM 26128, CCM 8429, LMG 27071, ZMA 19, CIP 110542",1,1,Bhargavaea ullalensis,0
1682,"E194a (Variant a), E194a","DSM 20083, ATCC 15703, CCUG 18363, NCTC 11814, JCM 1275, BCRC 14606, CCM 4987, CCUG 17359, CCUG 45213, CECT 5781, CGMCC 1.2190, CIP 64.59, KCTC 3216, LMG 10502, VTT E-981074, NCDO 2204",1,1,Bifidobacterium adolescentis,0
23790,,"DSM 26737, JCM 18761, KCTC 15610, MRM 3/1",1,1,Bifidobacterium aesculapii,0
1736,R101-8,"DSM 20104, ATCC 25527, CIP 105419, JCM 1190, BCRC 14668, CCUG 24606, CGMCC 1.2268, KCTC 3125, LMG 10508, NCFB 2242, VTT E-96663, ISL 120",1,1,Bifidobacterium animalis,0
1733,UR1,"CCUG 37979, DSM 10140, CIP 105265, JCM 10602, BCRC 17394, CGMCC 1.2226, LMG 18314, NRRL B-41405, VTT E-97847, WDCM 00223",1,1,Bifidobacterium animalis subsp. lactis,0
140310,RP115,"DSM 100238, CCM 8605, LMG 28779",1,1,Bifidobacterium apri,0
140884,R 54638,"LMG 28769, CCUG 67145",1,1,Bifidobacterium aquikefiri,0
1693,"Ti, Tissier","DSM 20456, ATCC 29521, JCM 1255, BCRC 11845, BCRC 14615, CCUG 18364, CCUG 45217, CECT 870, CGMCC 1.2212, CIP 56.7, HAMBI 1380, IFO 14252, KCTC 3202, KCTC 3281, LMG 11041, LMG 8810, NBRC 100015, NBRC 14252, NCAIM B.02021, NCFB 2715, NCIMB 702715, NCTC 13001, VTT E-97795, NCDO 2715",1,1,Bifidobacterium bifidum,0
1739,BluCI/TP,"DSM 19703, ATCC BAA-1567, KCTC 15159",1,1,Bifidobacterium bombi,0
1695,S1,"DSM 20213, ATCC 15700, NCTC 11815, JCM 1192, BCRC 11846, CCUG 18365, CCUG 30511, CECT 4839, CGMCC 1.2213, CIP 64.69, KCTC 3220, LMG 10501, LMG 11042, NCFB 2257, NCDO 2257, WDCM 00224",1,1,Bifidobacterium breve,0
164528,2028B,"JCM 33352, CCUG 72814, LMG 30938",1,1,Bifidobacterium callimiconis,0
158380,,"DSM 103152, JCM 31790, TRI 5",1,1,Bifidobacterium callitrichidarum,0
164527,2020B,"JCM 33351, CCUG 72816, LMG 30937",1,1,Bifidobacterium castoris,0
158387,,"DSM 103154, MRM 8.19, JCM 31794",1,1,Bifidobacterium catulorum,0
1699,SU806,"DSM 20434, ATCC 27686, CCUG 24609, JCM 1212, CGMCC 1.2276, CIP 103378, KCTC 3275, LMG 10510",1,1,Bifidobacterium choerinum,0
164531,2036B,"JCM 33355, CCUG 72818, LMG 30941",1,1,Bifidobacterium dolichotidis,0
132454,LMM_E3,"DSM 100216, JCM 30801",1,1,Bifidobacterium eulemuris,0
1732,P6,"DSM 20093, ATCC 49850, JCM 8224, CCUG 34979, CGMCC 1.2274, CIP 103417, KCTC 3277, LMG 11596",1,1,Bifidobacterium gallicum,0
164529,2034B,"JCM 33353, CCUG 72815, LMG 30939",1,1,Bifidobacterium goeldii,0
132346,MRM_8.14,"DSM 100202, JCM 30799, MRM 8.14",1,1,Bifidobacterium hapali,0
159320,,"DSM 103362, JCM 31788, MRM 9.3",1,1,Bifidobacterium jacchi,0
1743,S12,"DSM 20088, ATCC 15697, NCTC 11817, JCM 1222, BCRC 14602, BCRC 15416, CCM 4990, CCUG 18368, CECT 4551, CGMCC 1.1853, CGMCC 1.2202, CIP 64.67, KCTC 3249, KCTC 3270, LMG 8811, NCFB 2205, NCDO 2205",1,1,Bifidobacterium longum subsp. infantis,0
1709,"E194b (Variant a), E194b","DSM 20219, ATCC 15707, NCTC 11818, CCUG 28903, LMG 13197, JCM 1217, LMG 10497, BCRC 11847, CECT 4503, CIP 64.62, KCTC 3128, KCTC 3215, NCFB 2259, VTT E-96664, NCDO 2259, WDCM 00225",1,1,Bifidobacterium longum,0
131387,Su 851,"DSM 28597, JCM 19995, KCTC 15605",1,1,Bifidobacterium longum subsp. suillum,0
1746,"SU859, SU 859","DSM 20211, ATCC 27533, JCM 1269, CCUG 35234, BCRC 14671, CGMCC 1.2184, CIP 103377, HAMBI 1381, KCTC 3229, LMG 11598, LMG 21814, NRRL B-41407, VTT E-021921",1,1,Bifidobacterium longum subsp. suis,0
1726,Ru915B,"DSM 6492, ATCC 49391, CCUG 34976, JCM 8219, CGMCC 1.2273, KCTC 3369, KCTC 3423, LMG 11341",1,1,Bifidobacterium merycicum,0
1747,,"DSM 21395, JCM 15461, YIT 10443, KCTC 5848",1,1,Bifidobacterium mongoliense,0
132345,MRM_5.9,"DSM 100196, JCM 30796, MRM 5.9, KCTC 15589",1,1,Bifidobacterium myosotis,0
160296,,"DSM 106029, SMA 15, BCRC 81224, NBRC 114051",1,1,Bifidobacterium platyrrhinorum,0
1713,B1279,"DSM 20438, ATCC 27919, CCUG 34989, JCM 1200, BCRC 15476, CCM 7094, CECT 5776, CGMCC 1.2277, CIP 104168, HAMBI 562, KCTC 3223, LMG 10505, NCAIM B.02022, VTT E-991439",1,1,Bifidobacterium pseudocatenulatum,0
1717,"PNC-2-9G (Biotype a), PNC-2-9G","DSM 20099, ATCC 25526, CCUG 34981, CCM 7207, JCM 1205, BCRC 14673, CGMCC 1.2185, CIP 105352, KCTC 3224, LMG 11571, NCFB 2244",1,1,Bifidobacterium pseudolongum,0
1738,T16,"DSM 22366, LMG 21775, NCIMB 13940, JCM 15958",1,1,Bifidobacterium psychraerophilum,0
1718,1145,"CCUG 35235, CIP 107006, DSM 20433, ATCC 27685, JCM 1214, BCRC 14678, CGMCC 1.2240, KCTC 3274, LMG 11572, LMG 21816, NCFB 2260, CUETM 89/17",1,1,Bifidobacterium pullorum,0
1723,Ru687,"DSM 6489, ATCC 49390, CCUG 34975, JCM 8222, CGMCC 1.2241, KCTC 3425, LMG 12588, LMG 21811",1,1,Bifidobacterium ruminantium,0
160002,,"DSM 106020, SMA 1, BCRC 81223, NBRC 114049",1,1,Bifidobacterium saimiriisciurei,0
164530,2033B,"JCM 33354, CCUG 72817, LMG 30940",1,1,Bifidobacterium samirii,0
1721,P2-91,"DSM 20210, ATCC 25525, CIP 105420, CCUG 34983, JCM 1207, BCRC 14669, CGMCC 1.2235, HAMBI 111, KCTC 3225, LMG 11573, LMG 21813, NCFB 2253, NCIMB 702253, ISL 118",1,1,Bifidobacterium thermophilum,0
132348,MRM_5.18,"DSM 100201, JCM 30798, MRM 5.18, KCTC 15590",1,1,Bifidobacterium tissieri,0
141014,Tam10B,"LMG 30126, CCUG 70655, CCUG 70655 A",1,1,Bifidobacterium vansinderenii,0
164467,SK-G1,"JCM 33158, CCAM 530, KCTC 15783",1,1,Biomaibacter acetigenes,1
5244,"BF36, BF 36","DSM 19580, CIP 109699",1,1,Biostraticola tofi,0
24299,"98-D-690B, M327/99/2, M327/99/2T","DSM 28231, CCUG 43067, NCTC 13475, CIP 106354",1,1,Bisgaardia hudsonensis,0
134133,"APA1-, APA-1","ACAM 1056, CIP 108533",1,1,Bizionia algoritergicola,0
5714,"CCM-A-29 1259, JUB59",DSM 19628,1,1,Bizionia argentinensis,0
158654,RA3-3-1,"KCTC 62140, NBRC 113024",1,1,Bizionia berychis,0
5715,,"DSM 23925, KCTC 22015, KMM 6177, LMG 25220",1,1,Bizionia echini,0
,,,,,,1
134126,IC164,"ACAM 107, CIP 108536, ACAM 1057",1,1,Bizionia gelidisalsuginis,0
133837,T-y7,"KCTC 23881, CCUG 62110",1,1,Bizionia hallyeonensis,0
134125,ADA-4,"ACAM 1058, CIP 108535",1,1,Bizionia myxarmorum,0
134127,HFD,"ACAM 1059, CIP 108534",1,1,Bizionia saleffrena,0
140551,P131,"MCCC 1H00124, KCTC 42587",1,1,Bizionia sediminis,0
23454,"A2-16, A2_16","DSM 25172, LMG 26944",1,1,Blastocatella fastidiosa,1
159723,P6,"NCIMB 15090, NRRL B-65468",1,1,Blastococcus atacamensis,0
132667,,"DSM 46835, CECT 8876, BMG 804",1,1,Blastococcus capsensis,0
24054,,"DSM 45413, CCTCC AA 209045, KCTC 19998, YIM 68236, JCM 17896, JCM 31483",1,1,Trujillonella endophytica,0
159637,GP-S2-8,"DSM 106127, JCM 32354, KCCM 43275, KCTC 49078",1,1,Blastococcus litoris,0
140974,T2,"KCTC 42354, JCM 30467, DSM 112298",1,1,Blastomonas fulva,0
140358,SSR2A-4-2,"DSM 103453, CGMCC 1.15297",1,1,Blastomonas marina,1
14141,"1, EY4220","DSM 3183, ATCC 35951, UQM 2507, JCM 12333, ACM 2507, CECT 4273, CIP 106842, IFO 15649, JCM 10396, KCTC 2886, LMG 17322, NBRC 15649, NCIMB 12085",1,1,Blastomonas natatoria,1
14142,"KR-99, EY 4250","DSM 9006, JCM 13370, CIP 106843, JCM 10397",1,1,Blastomonas ursincola,1
133887,LHWP2,"KACC 15559, JCM 17758",1,1,Bremerella cremea,1
159580,KGMB01111,"DSM 107827, KCTC 15706, JCM 34499",1,1,Blautia faecicola,0
24769,M25,"DSM 27629, JCM 17205, KCTC 5980",1,1,Blautia faecis,0
158642,KB1,"KCTC 15618, JCM 32276",1,1,Blautia hominis,0
18072,B,"DSM 10518, JCM 14657, CCUG 53897, CIP 105464, KCTC 5953",1,1,Blautia schinkii,0
133713,GAM6-1,"KCTC 5981, JCM 17204",1,1,Blautia stercoris,0
1770,2017-12,"DSM 11294, CCUG 39178, HKI 88, JCM 11479, ATCC 700413, CIP 105404, NBRC 106158, HKI 0088",1,1,Bogoriella caseilytica,0
140538,,"JCM 31623, KCTC 52452, MRM 1",1,1,Bombella apis,0
377,,"DSM 11332, ATCC 35086, CCUG 13726, LMG 1852, Hinz 591-77, CIP 103348, NCTC 12033",1,1,Bordetella avium,1
376,,"DSM 13414, ATCC 19395, CCUG 219, CIP 55.110, LMG 1232, NCTC 452, CCM 6082",1,1,Bordetella bronchiseptica,1
155183,LiPuma AU10664,"CCUG 56827, LMG 28642, CIP 111202",1,1,Bordetella flabilis,1
378,Blackall TC 58,"DSM 11333, ATCC 51783, CIP 104527, LMG 13501, CCUG 33847, CCM 4584, TC 58, JCM 15550",1,1,Bordetella hinzii,1
381,"5589, F5101","DSM 13416, ATCC 51541, CCM 4585, CCUG 13416, CCUG 34073, CDC F5101, LMG 15945, CIP 104394",1,1,Bordetella holmesii,0
163906,T6220-3-2,"JCM 30931, NCIMB 15006, CIP 111920",1,1,Bordetella muralis,0
368,522,"DSM 13415, ATCC 15311, CCUG 413, LMG 14449, NCTC 5952, CIP 64.11, LMG 1831",1,1,Bordetella parapertussis,0
374,"18323, 18323 (P. Kendrick)","DSM 5571, ATCC 9797, CCUG 30873, CCUG 17764, NCTC 10739, LMG 14455, CIP 63.1",1,1,Bordetella pertussis,0
382,Se-1111R,"DSM 12804, CCUG 43448, CIP 107267, ATCC BAA-461, CCM 7166",1,1,Bordetella petrii,0
133298,8-296-03,"DSM 106160, NCTC 13808, NRRL B-59942, CIP 111487",1,1,Bordetella pseudohinzii,1
139600,SU524*00191/08,"CIP 111201, CCUG 56478, LMG 28641",1,1,Bordetella sputigena,0
379,"1779, 22-93","DSM 11334, CCUG 32381, LMG 13506, CIP 105351",1,1,Bordetella trematum,1
163909,T6713-1-3b.,"JCM 30934, NCIMB 15008, CIP 111921",1,1,Bordetella tumbae,0
