ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,species_epithet
140556,AK61,"JCM 31087, MTCC 12015, KCTC 33872",1,1,"Metabacillus mangrovi",Metabacillus,mangrovi
1322,BL4-6,"DSM 26473, JCM 15802, KCTC 13319, CIP 111019",1,1,"Bacillus manliponensis",Bacillus,manliponensis
158630,Ma50-6,"KCTC 33882, CCTCC AB 2017019",1,1,"Bacillus manusensis",Bacillus,manusensis
158585,NC2-31,"KCTC 33721, MCCC 1K01239",1,1,"Bacillus marinisedimentorum",Bacillus,marinisedimentorum
133059,KS16-9,"DSM 100413, KCTC 33834, MTCC 12305, JCM 31631",1,1,"Mesobacillus maritimus",Mesobacillus,maritimus
157145,,"CCUG 69738",1,1,"Bacillus massiliigabonensis",Bacillus,massiliigabonensis
162430,,"JCM 19208, MTCC 11060",1,1,"Bacillus mesophilum",Bacillus,mesophilum
132541,SA4,"DSM 101000, CCTCC AB 2015209",1,1,"Bacillus mesophilus",Bacillus,mesophilus
1231,PB1,"DSM 16454, ATCC 51375, LMG 24730, NCIMB 13113",1,1,"Bacillus methanolicus",Bacillus,methanolicus
140964,0711P9-1,"MCCC 1A05942, KCTC 33717, LMG 28877, NBRC 113918, CIP 111457",1,1,"Bacillus mobilis",Bacillus,mobilis
1093,RO-H-1,"DSM 9205, ATCC 51516, NRRL B-14698, JCM 12230, BCRC 17124, CIP 104095, IFO 15718, KCTC 3706, LMG 17797, NBRC 15718, NCIMB 13391, VTT E-011771",1,1,"Bacillus mojavensis",Bacillus,mojavensis
745,"273, NRS-273","DSM 2048, ATCC 6462, CCUG 26678, NRRL B-14799, NCTC 12974, LMG 7128, CIP 103472, NRRL B-14811",1,1,"Bacillus mycoides",Bacillus,mycoides
140523,,"CCUG 68786, NRRL B-41091",1,1,"Bacillus nakamurai",Bacillus,nakamurai
132491,FF3,"DSM 27837, CSUR P3025",1,1,"Bacillus ndiopicus",Bacillus,ndiopicus
140967,4049,"MCCC 1A00732, KCTC 33713, LMG 28871, NBRC 113921, CIP 111460",1,1,"Bacillus nitratireducens",Bacillus,nitratireducens
132201,JC228,"DSM 102971, CCTCC AB 2013353, LMG 28084",1,1,"Bacillus oleivorans",Bacillus,oleivorans
140961,EB422,"MCCC 1A06182, KCTC 33858, CIP 111542, NBRC 113915",1,1,"Bacillus pacificus",Bacillus,pacificus
130193,,"DSM 24834, JCM 18975, KCTC 13786, NCCP 168",1,1,"Bacillus pakistanensis",Bacillus,pakistanensis
133957,RC2,"MTCC 9831, MCC 2100, KCTC 13724, CCM 7754, CIP 110697",1,1,"Priestia paraflexa",Priestia,paraflexa
168081,KJ-16,"KACC 18426, NRRL B-65293",1,1,"Bacillus paralicheniformis",Bacillus,paralicheniformis
167574,"BML- BC017","DSM 111100, JCM 34124",1,1,"Bacillus paramobilis",Bacillus,paramobilis
140968,NH24A2,"MCCC 1A04098, KCTC 33709, LMG 28876, NBRC 113922, CIP 111461",1,1,"Bacillus paramycoides",Bacillus,paramycoides
140960,Mn5,"MCCC 1A00395, KCTC 33714, LMG 28873, NBRC 113914, CIP 111454",1,1,"Bacillus paranthracis",Bacillus,paranthracis
23712,8-4-E12,"DSM 23947, LMG 27601",1,1,"Oikeobacillus pervagus",Oikeobacillus,pervagus
157146,,"CSUR P2184, CCUG 69739",1,1,"Bacillus phocaeensis",Bacillus,phocaeensis
170451,GXH0341,"MCCC 1K07157, JCM 35212",1,1,"Bacillus pinisoli",Bacillus,pinisoli
140881,NR1-3-2,"JCM 19598, LMG 28281, PCU 340, TISTR 2295",1,1,"Bacillus piscicola",Bacillus,piscicola
164115,,"JCM 31664, KCTC 33839",1,1,"Bacillus piscis",Bacillus,piscis
134281,YN-1,"JCM 14604, NCIMB 14282, LMG 24733",1,1,"Evansella polygoni",Evansella,polygoni
140966,TD42,"MCCC 1A00365, KCTC 33715, LMG 28870, NBRC 113920, CIP 111459",1,1,"Bacillus proteolyticus",Bacillus,proteolyticus
1103,"PN 137, DP44","DSM 8725, ATCC 700166, CIP 105304",1,1,"Bacillus pseudalcaliphilus",Bacillus,pseudalcaliphilus
1151,,"DSM 12442, NRRL B-617, JCM 12231, CIP 105700, LMG 18993, KCTC 3862, NBRC 101232, BCRC 17606, BCRC 17107",1,1,"Bacillus pseudomycoides",Bacillus,pseudomycoides
756,272,"DSM 27, ATCC 7061, CCM 2144, IFO 12092, JCM 2508, NBRC 12092, NCIB 9369, NCTC 10337, NRS 272, BCRC 11706, CCUG 26015, CECT 29, CGMCC 1.3533, CIP 52.67, IAM 12469, IAM 14177, KCTC 3348, LMG 7132, NCIMB 9369, NRIC 1010, NRRL NRS-272, VKM B-508, VTT E-95572, NCDO 1766",1,1,"Bacillus pumilus",Bacillus,pumilus
169326,JJ-63,"DSM 111827, LMG 32091, CIP 111899",1,1,"Bacillus rhizoplanae",Bacillus,rhizoplanae
166351,SPB7,"NRRL B-65559, CICC 24827, MCC 4185",1,1,"Bacillus rugosus",Bacillus,rugosus
1264,FO-36b,"DSM 19292, ATCC BAA-1126, LMG 26769, NBRC 100820, CIP 109412",1,1,"Bacillus safensis",Bacillus,safensis
166417,,"LMG 30124, CECT 9344, BC 09",1,1,"Bacillus safensis subsp. osmophilus",Bacillus,safensis
164483,,"JCM 33205, KCTC 43014, TISTR 2596",1,1,"Bacillus salacetis",Bacillus,salacetis
168240,HMF5848,"CECT 9695, KCTC 43010",1,1,"Bacillus salinus",Bacillus,salinus
162603,,"JCM 19760, CGMCC 1.12810",1,1,"Bacillus salitolerans",Bacillus,salitolerans
134001,A24,"IBRC-M10078, KCTC 13816, IBRC-M 10078, CIP 110635",1,1,"Litchfieldia salsa",Litchfieldia,salsa
168393,"BML- BC004","JCM 34122, DSM 111102",1,1,"Bacillus sanguinis",Bacillus,sanguinis
1253,"BH 724, 6.101, BH724","DSM 16464, CIP 110058, KCTC 3913",1,1,"Bacillus seohaeanensis",Bacillus,seohaeanensis
159795,AK72,"MTCC 12636, KCTC 33981, JCM 32183",1,1,"Bacillus shivajii",Bacillus,shivajii
1302,PD-A10,"DSM 25261, BCC 22614, KACC 16244, KCTC 13613, CIP 110217",1,1,"Bacillus siamensis",Bacillus,siamensis
157159,,"CCUG 69890",1,1,"Bacillus sinesaloumensis",Bacillus,sinesaloumensis
815,NRS-173,"DSM 4216, IFO 15311, NBRC 15311, NRRL NRS-173, CCUG 27413, LMG 12526, JCM 9076, CGMCC 1.3752, CIP 103790",1,1,"Bacillus smithii",Bacillus,smithii
23715,GH2-4,"DSM 27083, JCM 18994, KCTC 33142",1,1,"Bacillus solimangrovi",Bacillus,solimangrovi
134009,H1-1M,"KCTC 13881, CCUG 61889, CAU 1033",1,1,"Bacillus songklensis",Bacillus,songklensis
1201,"L87-10, TG8-8","DSM 13779, NRRL B-23154, JCM 12232, CIP 107271, KCTC 13918, NBRC 101234",1,1,"Bacillus sonorensis",Bacillus,sonorensis
159974,3.351,"DSM 100732",1,1,"Bacillus sp.",Bacillus,sp.
1193,TU-B-10,"DSM 15029, NRRL B-23049, JCM 12233, CIP 106094, LMG 19156, NBRC 101239",1,1,"Bacillus spizizenii",Bacillus,spizizenii
158500,135PIL107-10,"DSM 105014, KACC 19275",1,1,"Bacillus spongiae",Bacillus,spongiae
163697,,"JCM 30051, KCTC 33554",1,1,"Bacillus stercoris",Bacillus,stercoris
169925,YZJH907-2,"CGMCC 1.18763, KCTC 43335",1,1,"Bacillus suaedae",Bacillus,suaedae
1172,"Marburg, 744","DSM 10, ATCC 6051, CCM 2216, IAM 12118, IFO 13719, JCM 1465, LMG 7135, NBRC 13719, NCIB 3610, NCTC 3610, NRS 744, CCUG 163 B, BCRC 10255, CECT 39, CIP 52.65, IFO 16412, IMET 10758, KCTC 3135, NBRC 16412, NCFB 1769, NCIMB 3610, NRRL B-4219, NRRL NRS-744, VKM B-501, VKM B-758, VKM B-919, VTT E-97009, UCCCB117, NCDO 1769",1,1,"Bacillus subtilis",Bacillus,subtilis
140690,,"CCUG 70177, NRRL B-41294",1,1,"Bacillus swezeyi",Bacillus,swezeyi
1270,"BH030017, 11.101","DSM 16466, CIP 109461, KCTC 3918, BCRC 80952",1,1,"Bacillus taeanensis",Bacillus,taeanensis
158609,,"KCTC 33703, CGMCC 1.15917, EGI 80668",1,1,"Evansella tamaricis",Evansella,tamaricis
164437,,"JCM 33017, ACCC 03113",1,1,"Bacillus telluris",Bacillus,telluris
166386,,"KCTC 43131, CGMCC 1.17491, SYSU G01002",1,1,"Peribacillus tepidiphilus",Peribacillus,tepidiphilus
134164,10b,"ATCC BAA-819, NCTC 13306, CIP 109396, NRRL B-41771, KCTC 13622",1,1,"Bacillus tequilensis",Bacillus,tequilensis
140573,RA9,"LMG 29736, CECT 9170",1,1,"Siminovitchia terrae",Siminovitchia,terrae
162314,,"JCM 18863, KACC 17216, KEMB 9005-019",1,1,"Bacillus thaonhiensis",Bacillus,thaonhiensis
167216,"CNCM I-1378, DKP","LMG 18084",1,1,"Bacillus thermoamylovorans",Bacillus,thermoamylovorans
1073,"S 6025","DSM 5250, ATCC 49805",1,1,"Bacillus thermocloacae",Bacillus,thermocloacae
133927,SgZ-7,"CCTCC AB 2012030, KACC 16700",1,1,"Neobacillus thermocopriae",Neobacillus,thermocopriae
133977,SgZ-8,"CCTCC AB 2012108, KACC 16706",1,1,"Bacillus thermotolerans",Bacillus,thermotolerans
134617,"BM-B-436, BMP-1","CIP 109765, CECT 7196",1,1,"Mesobacillus thioparans",Mesobacillus,thioparans
1006,NRS-996,"DSM 2046, ATCC 10792, CCM 19, NCIB 9134, CCUG 7429, JCM 20386, BCRC 14683, CCEB 457, CECT 197, CIP 53.137, CN 3624, HAMBI 252, HAMBI 478, IAM 12077, LBG B-4034, LMD 70.8, LMG 7138, NBRC 101235, NCAIM B.01292, NCCB 70008, NCDO 1146, NCFB 1146, NCIMB 9134, NCIMB 9207, NRRL HD-735, NRRL NRS-996, PCM 1853, VKM B-439, VKM B-454, VTT E-86245, WDCM 00221",1,1,"Bacillus thuringiensis",Bacillus,thuringiensis
1287,B5,"DSM 22111, CGMCC 1.8879",1,1,"Bacillus tianmuensis",Bacillus,tianmuensis
23717,,"DSM 25879, KCTC 33044, YIM M13235",1,1,"Bacillus tianshenii",Bacillus,tianshenii
1320,"10403023, MM10403188","DSM 25372, CSUR P162",1,1,"Bacillus timonensis",Bacillus,timonensis
168280,BCT-7112,"NCIMB 14858, CECT 876, CIP 111014",1,1,"Bacillus toyonensis",Bacillus,toyonensis
140962,N24,"MCCC 1A01406, KCTC 33711, LMG 28874, NBRC 113916, CIP 111455, MCCC 1A1406",1,1,"Bacillus tropicus",Bacillus,tropicus
1150,"DV1-F-3, DV-1-F3","DSM 11031, NRRL B-14890, JCM 12234, ATCC 700092, BCRC 17183, CIP 104792, KCTC 3707, LMG 18725, NBRC 101236",1,1,"Bacillus vallismortis",Bacillus,vallismortis
153720,,"CCUG 50740, CECT 5686, LMG 22478",1,1,"Bacillus velezensis",Bacillus,velezensis
133012,,"DSM 102050, CIP 111364, LMG 29269, FSL W8-0169",1,1,"Bacillus wiedmannii",Bacillus,wiedmannii
140354,FJAT-27215,"DSM 100757, CCTCC AB 2015266",1,1,"Bacillus wudalianchiensis",Bacillus,wudalianchiensis
130192,HYC-10,"DSM 29883, CGMCC 1.12326, LMG 27143, MCCC 1A00008",1,1,"Bacillus xiamenensis",Bacillus,xiamenensis
164466,FJAT-46582,"JCM 33155, CCTCC AB 2017047",1,1,"Bacillus xiapuensis",Bacillus,xiapuensis
164475,XXST-01,"JCM 33181, MCCC 1A14143",1,1,"Robertmurraya yapensis",Robertmurraya,yapensis
140879,DW5-4,"MCCC 1A08372, LMG 27144, KCTC 33531",1,1,"Bacillus zhangzhouensis",Bacillus,zhangzhouensis
138790,S3-R6TC-BA1,"CIP 110084",1,1,"Bacillus zvezdaensis",Bacillus,zvezdaensis
167146,GYP-2,"KCTC 32220, CGMCC 1.12392",1,1,"Bacterioplanes sanyensis",Bacterioplanes,sanyensis
133276,sw100,"JCM 30597, MCCC 1K00501, KCTC 42424",1,1,"Bacterioplanoides pacificum",Bacterioplanoides,pacificum
1574,UKi2,"DSM 12778, ATCC 27052, DSM 50722, ICPB 3291",1,1,"Bacteriovorax stolpii",Bacteriovorax,stolpii
1606,A40,"DSM 15896, JCM 10556, CCUG 51929, BCRC 81230",1,1,"Bacteroides acidifaciens",Bacteroides,acidifaciens
1617,3452A,"DSM 19024, ATCC 43185, CCUG 38735, CIP 104201, JCM 9498, NCTC 13051, VPI 3452A",1,1,"Bacteroides caccae",Bacteroides,caccae
140882,"LIPI12-4-Ck732, JSAT12-4-Ck732, C13EG70","InaCC B449, NBRC 110958",1,1,"Bacteroides caecicola",Bacteroides,caecicola
168251,"LIPI12-4-Ck773, C13EG111, JSAT12-4-Ck773","InaCC B455, NBRC 110959",1,1,"Bacteroides caecigallinarum",Bacteroides,caecigallinarum
131518,I48,"DSM 26085, KCTC 15547",1,1,"Bacteroides caecimuris",Bacteroides,caecimuris
131625,"Sanger 22, Sanger_22","DSM 102145, JCM 35042",1,1,"Bacteroides cellulolyticus",Bacteroides,cellulolyticus
1623,CRE21,"DSM 14838, CCUG 44979, JCM 15632",1,1,"Bacteroides cellulosilyticus",Bacteroides,cellulosilyticus
1628,"A 20","DSM 22519, JCM 16067, CCUG 60911, YIT 12056, KCTC 15128",1,1,"Bacteroides clarus",Bacteroides,clarus
157176,,"CCUG 70144",1,1,"Bacteroides congonensis",Bacteroides,congonensis
1613,"PC 139","DSM 18011, CCUG 50528, JCM 13475, NRRL B-41113",1,1,"Bacteroides coprosuis",Bacteroides,coprosuis
1583,10128,"DSM 20697, ATCC 27754, NCTC 11155, CCUG 9559, CIP 104285, JCM 12986, VPI T5-42B-1",1,1,"Bacteroides eggerthii",Bacteroides,eggerthii
170154,"NSJ 77","KCTC 25155, CGMCC 1.32853",1,1,"Bacteroides facilis",Bacteroides,facilis
158883,KGMB02408,"DSM 107828, KCTC 15687, JCM 34008",1,1,"Bacteroides faecalis",Bacteroides,faecalis
22936,ST37,"DSM 26883, CCUG 60873, JCM 17102, KCTC 15666",1,1,"Bacteroides faecichinchillae",Bacteroides,faecichinchillae
1631,MAJ27,"CCUG 60914, DSM 24798, JCM 16478, KCTC 5823",1,1,"Bacteroides faecis",Bacteroides,faecis
170768,CBA7301,"KCCM 43355, ATCC TSD-227",1,1,"Bacteroides faecium",Bacteroides,faecium
1610,199,"DSM 17565, JCM 13345, CCUG 53890",1,1,"Bacteroides finegoldii",Bacteroides,finegoldii
1629,,"CCUG 60912, DSM 22534, JCM 16101, YIT 12057, KCTC 15129",1,1,"Bacteroides fluxus",Bacteroides,fluxus
1585,"EN-2, Onslow","DSM 2151, ATCC 25285, JCM 11019, NCTC 9343, CCUG 4856, CCM 4712, VPI 2553, CIP 77.16, KCTC 3688, KCTC 5013, LMG 10263, LMG 11261, NCDO 2217",1,1,"Bacteroides fragilis",Bacteroides,fragilis
1590,N6,"DSM 3978, ATCC 43244, CCUG 54927",1,1,"Bacteroides galacturonicus",Bacteroides,galacturonicus
140883,"LIPI12-4-Ck844, JSAT12-4-Ck884, C13EG186","InaCC B451, NBRC 110963",1,1,"Bacteroides gallinaceus",Bacteroides,gallinaceus
1616,C35,"DSM 18171, JCM 13658, CCUG 55423",1,1,"Bacteroides gallinarum",Bacteroides,gallinarum
1624,XDT-1,"CCUG 60910, DSM 19988, JCM 15093, KCTC 15146",1,1,"Bacteroides graminisolvens",Bacteroides,graminisolvens
1591,"P 36-108","DSM 20613, ATCC 35417, CCUG 15421, JCM 6297",1,1,"Bacteroides helcogenes",Bacteroides,helcogenes
170155,"NSJ 2","KCTC 15964, CGMCC 1.31481",1,1,"Bacteroides hominis",Bacteroides,hominis
170769,KGMB07931,"NBRC 115005, KCTC 25160",1,1,"Bacteroides humanifaecis",Bacteroides,humanifaecis
1609,341,"CCUG 53889, DSM 17393, JCM 13265",1,1,"Bacteroides intestinalis",Bacteroides,intestinalis
158670,YS-aM39,"KCTC 15520, JCM 31393",1,1,"Bacteroides koreensis",Bacteroides,koreensis
158671,R2F3-3-3,"KCTC 15460, JCM 31391",1,1,"Bacteroides kribbi",Bacteroides,kribbi
164578,,"JCM 33480, CGMCC 1.16787, GDMCC 1.1591",1,1,"Bacteroides luhongzhouii",Bacteroides,luhongzhouii
23776,UasXn-3,"DSM 26991, JCM 19020",1,1,"Bacteroides luti",Bacteroides,luti
169559,,"DSM 103033, Marseille-P2644",1,1,"Bacteroides ndongoniae",Bacteroides,ndongoniae
139989,,"DSM 18764, ATCC BAA-998, CCUG 48943, JCM 12987, WAL 11050",1,1,"Bacteroides nordii",Bacteroides,nordii
1630,,"DSM 22535, JCM 16102, CCUG 60913, YIT 12058, KCTC 15130",1,1,"Bacteroides oleiciplenus",Bacteroides,oleiciplenus
1592,"LRA 044 07 88","DSM 1896, ATCC 8483, NCTC 11153, CCUG 4943, CIP 103756, JCM 5824, KCTC 5011, BCRC 10623",1,1,"Bacteroides ovatus",Bacteroides,ovatus
170156,"NSJ 21","KCTC 25073, CGMCC 1.31612",1,1,"Bacteroides parvus",Bacteroides,parvus
1621,SV434,"DSM 19291, JCM 14649, CCUG 60909",1,1,"Bacteroides propionicifaciens",Bacteroides,propionicifaciens
170157,"NSJ 90","KCTC 25305, CGMCC 1.17886",1,1,"Bacteroides propionicigenes",Bacteroides,propionicigenes
1594,P39-88,"DSM 20611, ATCC 35418, CCUG 15419, JCM 6294",1,1,"Bacteroides pyogenes",Bacteroides,pyogenes
133840,Rs-03,"JCM 10512, CCUG 62153, DSM 105720",1,1,"Bacteroides reticulotermitis",Bacteroides,reticulotermitis
22935,ST28,"DSM 26882, CCUG 59334, JCM 16469, JCM 16496",1,1,"Bacteroides rodentium",Bacteroides,rodentium
1619,,"DSM 18765, ATCC BAA-997, CCUG 48945, JCM 12988, WAL 10018",1,1,"Bacteroides salyersiae",Bacteroides,salyersiae
164708,,"JCM 34007, KCTC 15656, NBRC 113168",1,1,"Bacteroides sedimenti",Bacteroides,sedimenti
169207,KH365_2,"DSM 114231",1,1,"Bacteroides muris",Bacteroides,muris
131249,ST161,"DSM 26884, CCUG 60872, JCM 17103",1,1,"Bacteroides stercorirosoris",Bacteroides,stercorirosoris
1618,B5-21,"DSM 19555, ATCC 43183, CIP 104203, JCM 9496, CCUG 38733, VPI B5-21, NCTC 13053",1,1,"Bacteroides stercoris",Bacteroides,stercoris
1599,"E50 (VPI 5482), VPI-5482","DSM 2079, ATCC 29148, NCTC 10582, CCUG 10774, CIP 104206, VPI 5482, JCM 5827, CGMCC 1.5132",1,1,"Bacteroides thetaiotaomicron",Bacteroides,thetaiotaomicron
130975,AP1,"DSM 26083, CSUR P194",1,1,"Bacteroides timonensis",Bacteroides,timonensis
1604,,"CCUG 4942, JCM 5828, CIP 103695, KCTC 5204, DSM 6597, ATCC 8492, VPI 0061, CGMCC 1.5133, NCTC 13054",1,1,"Bacteroides uniformis",Bacteroides,uniformis
1626,XB1A,"DSM 18836, CCUG 53782, JCM 15633",1,1,"Bacteroides xylanisolvens",Bacteroides,xylanisolvens
164579,,"JCM 33481, CGMCC 1.16724, GDMCC 1.1590",1,1,"Bacteroides zhangwenhongii",Bacteroides,zhangwenhongii
167393,"BKM 1344","VKM B-1344",1,1,"Bactoderma roseum",Bactoderma,roseum
170396,0141_2,"LMG 30000, CECT 9239, DSM 104299",1,1,"Baekduia alba",Baekduia,alba
168954,BR7-21,"KCTC 22257, LMG 24797, DSM 110830",1,1,"Baekduia soli",Baekduia,soli
130798,NEAU-gxj18,"DSM 46831, CGMCC 4.7223",1,1,"Baia soyae",Baia,soyae
159486,RF-744-FAT-WT-3,"DSM 106896, JCM 34418",1,1,"Baileyella intestinalis",Baileyella,intestinalis
158509,,"DSM 108226, CGMCC 4.7547, KCTC 49229, YIM 75507",1,1,"Bailinhaonella thermotolerans",Bailinhaonella,thermotolerans
17640,17S,"DSM 16304, ATCC BAA-736, JCM 11970",1,1,"Balnearium lithotrophicum",Balnearium,lithotrophicum
11267,4-87,"DSM 16621, ATCC 51285, CIP 103589, CCUG 32555",1,1,"Balneatrix alpica",Balneatrix,alpica
133009,KHALHBd91,"DSM 28579, JCM 19909",1,1,"Balneicella halophila",Balneicella,halophila
17739,CM41_14b,"DSM 19538, CIP 109603, OOB 103",1,1,"Balneola alkaliphila",Balneola,alkaliphila
17738,"13IX/A01/164, 131X/A01/164","DSM 17893, CIP 109092, OOB 256",1,1,"Balneola vulgaris",Balneola,vulgaris
12519,,"DSM 21032, JCM 15079, YIT 11860",1,1,"Barnesiella intestinihominis",Barnesiella,intestinihominis
158458,E21,"DSM 107469, JCM 34805",1,1,"Barnesiella propionica",Barnesiella,propionica
12518,C46,"CCUG 55593, DSM 18177, JCM 13660",1,1,"Barnesiella viscericola",Barnesiella,viscericola
130852,,"DSM 29255, CBS 11554, MUCL 52543",1,1,"Barnettozyma vustinii",Barnettozyma,vustinii
167588,JC268,"KCTC 29672, NBRC 110608",1,1,"Barrientosiimonas endolithica",Barrientosiimonas,endolithica
3935,39,"DSM 24617, CGMCC 4.6864, JCM 19663",1,1,"Barrientosiimonas humi",Barrientosiimonas,humi
22987,MSW-24,"DSM 21415, JCM 19562, KCTC 19485",1,1,"Barrientosiimonas marina",Barrientosiimonas,marina
23781,KS2-1,"DSM 28537, JCM 17706, KCTC 23907",1,1,"Bartonella acomydis",Bartonella,acomydis
1634,,"DSM 21432, CCUG 45774, CIP 105477, IBS 382",1,1,"Bartonella alsatica",Bartonella,alsatica
132256,20.00,"DSM 29364, ATCC BAA-2694",1,1,"Bartonella ancashensis",Bartonella,ancashensis
140945,PEB0122,"NCIMB 14961, DSM 29779",1,1,"Bartonella apis",Bartonella,apis
138561,AUST/NH1,"CIP 108978, CCUG 51999, CSUR B1",1,1,"Bartonella australis",Bartonella,australis
167784,"Herrer 020/F12,63, KC583","ATCC 35685",1,1,"Bartonella bacilliformis",Bartonella,bacilliformis
1636,,"DSM 21463, CCUG 44360, CIP 106294, IBS 325",1,1,"Bartonella birtlesii",Bartonella,birtlesii
1637,91-4,"DSM 21464, CCUG 43828, CIP 106692",1,1,"Bartonella bovis",Bartonella,bovis
23782,BR11-1,"DSM 28538, JCM 17709, KCTC 23909",1,1,"Bartonella callosciuri",Bartonella,callosciuri
1638,,"DSM 21569, CCUG 43827, CIP 106691, IBS 193",1,1,"Bartonella capreoli",Bartonella,capreoli
1639,A828,"DSM 21431, CCUG 47497, CIP 107869",1,1,"Bartonella chomelii",Bartonella,chomelii
169127,"Houston-2 cat","ATCC 51734",1,1,"Bartonella clarridgeiae",Bartonella,clarridgeiae
1640,AUST/NH20,"DSM 23499, CCUG 52174, CIP 109064, CSUR B619",1,1,"Bartonella coopersplainsensis",Bartonella,coopersplainsensis
131133,R18,"DSM 102055, NCTC 12862, CCUG 50770, CIP 107026, NCTC 12682",1,1,"Bartonella doshiae",Bartonella,doshiae
170945,24C,"CIP 111026",1,1,"Bartonella dromedarii",Bartonella,dromedarii
130214,"B91-002005, F9251","DSM 28217, ATCC 49927, CCUG 30455, CIP 103761",1,1,"Bartonella elizabethae",Bartonella,elizabethae
23785,R4,"DSM 23735, CSUR B627",1,1,"Bartonella florencae",Bartonella,florencae
158207,AA137HXZ,"DSM 100694, CGMCC 1.15047",1,1,"Bartonella fuyuanensis",Bartonella,fuyuanensis
138791,V2,"CIP 107024, NCTC 12 860, CCUG 50771, NCTC 12860",1,1,"Bartonella grahamii",Bartonella,grahamii
158206,CR90HXZ,"DSM 100695, CGMCC 1.15048",1,1,"Bartonella heixiaziensis",Bartonella,heixiaziensis
23777,"G5436, Houston-1","DSM 28221, ATCC 49882, CCUG 30454, CIP 103737",1,1,"Bartonella henselae",Bartonella,henselae
23783,OY2-1,"DSM 28562, JCM 17712, KCTC 23655",1,1,"Bartonella jaculi",Bartonella,jaculi
1643,,"DSM 23650, CIP 109861, JCM 15567, Fuji 18-1",1,1,"Bartonella japonica",Bartonella,japonica
1635,C-29,"DSM 21570, ATCC 700693, CIP 107025, CCUG 50773",1,1,"Bartonella koehlerae",Bartonella,koehlerae
166676,"Tel Aviv","PCM 3038, DSM 109922",1,1,"Bartonella kosoyi",Bartonella,kosoyi
167300,"OE 1-1","DSM 109921, PCM 3037",1,1,"Bartonella krasnovii",Bartonella,krasnovii
23784,FN15-2,"DSM 28563, JCM 17714, KCTC 23657",1,1,"Bartonella pachyuromydis",Bartonella,pachyuromydis
138801,16120,"CIP 107707, CCUG 51222",1,1,"Bartonella phoceensis",Bartonella,phoceensis
1641,AUST/NH12,"DSM 23498, CCUG 52167, CIP 109057, CSUR B617",1,1,"Bartonella queenslandensis",Bartonella,queenslandensis
1633,Fuller,"DSM 21441, ATCC VR-358, CIP 107027",1,1,"Bartonella quintana",Bartonella,quintana
1642,AUST/NH4,"DSM 23500, CCUG 52161, CIP 109051, CSUR B609",1,1,"Bartonella rattaustraliani",Bartonella,rattaustraliani
135079,15908,"CIP 107705, CCUG 51221",1,1,"Bartonella rattimassiliensis",Bartonella,rattimassiliensis
168468,,"RSKK 19006, CSUR B1084",1,1,"Bartonella refiksaydamii",Bartonella,refiksaydamii
1645,BMGH,"DSM 25050, ATCC BAA-1498",1,1,"Bartonella rochalimae",Bartonella,rochalimae
1632,"E251, R1","DSM 13525, CCUG 50783, CIP 107819, NCTC 13165",1,1,"Bartonella schoenbuchensis",Bartonella,schoenbuchensis
23786,OS02,"DSM 23168, CSUR B623",1,1,"Bartonella senegalensis",Bartonella,senegalensis
1644,,"DSM 23649, CIP 109862, JCM 15566, Fuji 23-1",1,1,"Bartonella silvatica",Bartonella,silvatica
161502,,"JCM 14580, ATCC BAA-1343, NCTC 13398",1,1,"Bartonella tamiae",Bartonella,tamiae
136577,M6,"CIP 107028, NCTC 12861, CCUG 50774",1,1,"Bartonella taylorii",Bartonella,taylorii
23779,,"DSM 28219, CCUG 45778, CIP 105476, IBS 506",1,1,"Bartonella tribocorum",Bartonella,tribocorum
146145,Baker,"CCUG 30453, ATCC VR-152, CIP 103738, ATCC 152-VR",1,1,"Bartonella vinsonii",Bartonella,vinsonii
23780,"OK 94-513, 94-513","DSM 28218, ATCC 700727, CCUG 50775, CIP 106848",1,1,"Bartonella vinsonii subsp. arupensis",Bartonella,vinsonii
23778,"93-CO1, 93-C01","DSM 28220, ATCC 51672, CCUG 45779, CIP 104960",1,1,"Bartonella vinsonii subsp. berkhoffii",Bartonella,vinsonii
154352,,"CCUG 53213, ATCC BAA-1342",1,1,"Bartonella washoensis subsp. cynomysi",Bartonella,washoensis
11757,JF4016,"DSM 22022, CCUG 57335",1,1,"Basfia succiniciproducens",Basfia,succiniciproducens
130149,JF4266,"DSM 24701, CIP 110308",1,1,"Basilea psittacipulmonis",Basilea,psittacipulmonis
168178,"strain 11","VKM B-2498, CCM 7594",1,1,"Bauldia consociata",Bauldia,consociata
169012,"strain 524-16, NCIB 2233, NCMB 2233","DSM 9178, NCIMB 2233",1,1,"Bauldia litoralis",Bauldia,litoralis
5363,,"DSM 19936, CCUG 55508, WCC 4188",1,1,"Bavariicoccus seileri",Bavariicoccus,seileri
1647,"Bd. 100, HD 100","DSM 50701, ATCC 15356, ICPB 3268, NCIMB 9529",1,1,"Bdellovibrio bacteriovorus",Bdellovibrio,bacteriovorus
170542,LBG001,"ATCC TSD-288, CM-CNRG 932",1,1,"Bdellovibrio reynosensis",Bdellovibrio,reynosensis
168888,"LSU B18LD","ATCC 33555",1,1,"Beggiatoa alba",Beggiatoa,alba
133124,D-402,"DSM 14946, UNIQEM U 779",1,1,"Beggiatoa leptomitoformis",Beggiatoa,leptomitoformis
