ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,species_epithet,Antibiotic sensitivity,Metabolite (antibiotic)
,,,,,,,,1,streptomycin
,,,,,,,,1,tetracycline
17743,BA-3,"DSM 784, ATCC 23092, IFO 15057, NBRC 15057, CCUG 56030, LMG 8377, HAMBI 1988, VKM B-1428, CIP 107780, NCIMB 1379",1,1,Chitinophaga sancti,Chitinophaga,sancti,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
164146,,"JCM 31884, NRRL B-67132, IIBBL 112-1",1,1,Chromobacterium phragmitis,Chromobacterium,phragmitis,1,erythromycin
,,,,,,,,1,kanamycin
,,,,,,,,1,novobiocin
,,,,,,,,1,tetracycline
133161,,"LAM 1188, ACCC 19900, JCM 31180",1,1,Chromobacterium rhizoryzae,Chromobacterium,rhizoryzae,1,chloramphenicol
,,,,,,,,1,clindamycin
,,,,,,,,1,erythromycin
,,,,,,,,1,gentamicin
,,,,,,,,1,kanamycin
,,,,,,,,1,levofloxacin
,,,,,,,,1,minocycline
,,,,,,,,1,neomycin
,,,,,,,,1,nitrofurantoin
,,,,,,,,1,polymyxin b
5668,"B2, B2T","DSM 14219, CIP 107207, CCUG 47675, KCTC 12434",1,1,Chryseobacterium defluvii,Chryseobacterium,defluvii,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
5679,CC-H3-2,"DSM 17452, CCUG 49271, CIP 108367, KCTC 12435",1,1,Chryseobacterium formosense,Chryseobacterium,formosense,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
132418,D07,"DSM 100383, CCTCC AB 2011160, KCTC 42897",1,1,Chryseobacterium frigidum,Chryseobacterium,frigidum,1,cefazolin
,,,,,,,,1,cefminox
,,,,,,,,1,cefoperazone
,,,,,,,,1,cefuroxime
,,,,,,,,1,cephalexin
,,,,,,,,1,erythromycin
,,,,,,,,1,furazolidone
,,,,,,,,1,kanamycin
,,,,,,,,1,levofloxacin
,,,,,,,,1,norfloxacin
5671,,"DSM 16777, ATCC 29897, CCUG 14483, CDC 3716, CIP 101026, GIFU 1347, LMG 8337, NCTC 10796",1,1,Chryseobacterium indologenes,Chryseobacterium,indologenes,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
5674,Ix 5a,"DSM 16927, CCM 7154, CCUG 46665, LMG 18212, CIP 105533",1,1,Chryseobacterium joostei,Chryseobacterium,joostei,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
23022,Chj707,"DSM 25209, CCUG 49689, IAM 15050, JCM 21512, KCTC 12107, NBRC 103027, CIP 108606",1,1,Chryseobacterium koreense,Chryseobacterium,koreense,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
135739,90B,"CIP 107752, CCUG 51329",1,1,Chryseobacterium massiliense,Chryseobacterium,massiliense,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
133365,C-5-3,"KEMB 9005-411, KACC 18907, JCM 31469",1,1,Chryseobacterium nepalense,Chryseobacterium,nepalense,1,gentamicin
,,,,,,,,1,kanamycin
,,,,,,,,1,nalidixic acid
,,,,,,,,1,novobiocin
,,,,,,,,1,rifampicin
,,,,,,,,1,streptomycin
,,,,,,,,1,tetracycline
,,,,,,,,1,trimethoprim
166185,7_F195,"LMG 30781, KCTC 62760",1,1,Chryseobacterium pennipullorum,Chryseobacterium,pennipullorum,1,fusidate
,,,,,,,,1,lithium chloride
,,,,,,,,1,minocycline
,,,,,,,,1,nalidixic acid
,,,,,,,,1,niaproof
,,,,,,,,1,rifamycin sv
,,,,,,,,1,sodium bromate
,,,,,,,,1,vancomycin
158684,JC490,"KCTC 52835, LMG 30048",1,1,Chryseobacterium salipaludis,Chryseobacterium,salipaludis,1,amikacin
,,,,,,,,1,ampicillin
,,,,,,,,1,cefepime
,,,,,,,,1,cefotaxime sodium
,,,,,,,,1,ceftriaxone
,,,,,,,,1,doxycycline
,,,,,,,,1,gentamicin
,,,,,,,,1,nitrofurantoin
,,,,,,,,1,norfloxacin
,,,,,,,,1,tobramycin
5680,CC-TWGS1-8,"DSM 17453, CCUG 50001, CIP 108519",1,1,Chryseobacterium taichungense,Chryseobacterium,taichungense,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
159857,ET03,"KCTC 33943, LMG 30119, JCM 32415, MCC 3378",1,1,Chryseomicrobium excrementi,Chryseomicrobium,excrementi,1,D-serine
,,,,,,,,1,fusidate
,,,,,,,,1,guanidinium chloride
,,,,,,,,1,lincomycin
,,,,,,,,1,minocycline
,,,,,,,,1,niaproof
,,,,,,,,1,tetrazolium blue
,,,,,,,,1,troleandomycin
,,,,,,,,1,vancomycin
140621,PU1,"NBRC 106750, KCTC 13722, JCM 16712, CCUG 59101",1,1,Chryseomicrobium palamuruense,Chryseomicrobium,palamuruense,1,amikacin
,,,,,,,,1,ampicillin
,,,,,,,,1,cefoperazone
,,,,,,,,1,cefotaxime
,,,,,,,,1,cefuroxime
,,,,,,,,1,chloramphenicol
,,,,,,,,1,ciprofloxacin
,,,,,,,,1,co-trimoxazole
,,,,,,,,1,erythromycin
,,,,,,,,1,kanamycin
166338,"CSURP1360, ND2",DSM 27309,1,1,Clostridium massiliamazoniense,Clostridium,massiliamazoniense,1,amoxicillin
,,,,,,,,1,doxycycline
,,,,,,,,1,imipenem
,,,,,,,,1,metronidazole
,,,,,,,,1,rifampicin
,,,,,,,,1,vancomycin
5445,87,"DSM 3997, ATCC 29255",1,1,Clostridium tarantellae,Clostridium,tarantellae,1,chloramphenicol
,,,,,,,,1,clindamycin
,,,,,,,,1,erythromycin
,,,,,,,,1,penicillin g
,,,,,,,,1,tetracycline
2816,,"DSM 13105, CIP 106908, Lup 21",1,1,Clostridium thiosulfatireducens,Clostridium,thiosulfatireducens,1,metronidazole
132376,XA,"DSM 29843, CGMCC 1.15041, JCM 33035",1,1,Cnuibacter physcomitrellae,Cnuibacter,physcomitrellae,1,azithromycin
,,,,,,,,1,cefotaxime
,,,,,,,,1,chloramphenicol
,,,,,,,,1,ofloxacin
,,,,,,,,1,rifampicin
,,,,,,,,1,streptomycin
,,,,,,,,1,tetracycline
158415,20.16T,"DSM 104983, VKM B-2846",1,1,Cohnella kolymensis,Cohnella,kolymensis,1,ampicillin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,kanamycin
,,,,,,,,1,penicillin
,,,,,,,,1,rifampicin
,,,,,,,,1,tetracycline
158534,NB097-1,"MCCC 1A11668, KCTC 52554",1,1,Colwellia beringensis,Colwellia,beringensis,1,ampicillin
,,,,,,,,1,carbenicillin
,,,,,,,,1,cefalotin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,gentamicin
,,,,,,,,1,novobiocin
,,,,,,,,1,oleandomycin
,,,,,,,,1,polymyxin b
,,,,,,,,1,streptomycin
,,,,,,,,1,tetracycline
133324,RA2-7,"KCTC 52417, NBRC 112381",1,1,Colwellia mytili,Colwellia,mytili,1,ampicillin
,,,,,,,,1,carbenicillin
,,,,,,,,1,cefalotin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,gentamicin
,,,,,,,,1,novobiocin
,,,,,,,,1,oleandomycin
,,,,,,,,1,penicillin g
,,,,,,,,1,polymyxin b
,,,,,,,,1,streptomycin
140622,YSM-23,"KCTC 52213, NBRC 111994",1,1,Colwellia sediminilitoris,Colwellia,sediminilitoris,1,ampicillin
,,,,,,,,1,carbenicillin
,,,,,,,,1,cephalothin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,gentamicin
,,,,,,,,1,kanamycin
,,,,,,,,1,neomycin
,,,,,,,,1,novobiocin
,,,,,,,,1,oleandomycin
,,,,,,,,1,polymyxin b
2928,,"DSM 9155, ATCC 11330, CCUG 17395, LMG 2370, CIP 107986, CCUG 15845",1,1,Comamonas aquatica,Comamonas,aquatica,1,colistin
,,,,,,,,1,desferrioxamine
2937,YY287,"DSM 21721, BCRC 17659, LMG 24008",1,1,Comamonas composti,Comamonas,composti,1,ampicillin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,co-trimoxazole
,,,,,,,,1,kanamycin
,,,,,,,,1,nalidixic acid
,,,,,,,,1,novobiocin
,,,,,,,,1,penicillin g
,,,,,,,,1,rifampicin
,,,,,,,,1,tetracycline
2932,123,"CCUG 44425, KCTC 12931, CCM 7155, DSM 17887, ATCC 700936, CIP 108016",1,1,Comamonas denitrificans,Comamonas,denitrificans,1,ampicillin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,erythromycin
,,,,,,,,1,penicillin g
,,,,,,,,1,streptomycin
,,,,,,,,1,sulfisoxazole
,,,,,,,,1,tetracycline
2930,AFG1,"CIP 107987, DSM 16026, CCUG 15333, LMG 3475",1,1,Comamonas kerstersii,Comamonas,kerstersii,1,colistin
,,,,,,,,1,desferrioxamine
2934,YH12,"DSM 18232, IMSNU 11158, KCTC 12005, CIP 108012",1,1,Comamonas koreensis,Comamonas,koreensis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
2936,,"DSM 22023, BCRC 17576, LMG 23579, Dant 3-8",1,1,Comamonas odontotermitis,Comamonas,odontotermitis,1,chloramphenicol
,,,,,,,,1,gentamicin
,,,,,,,,1,kanamycin
,,,,,,,,1,nalidixic acid
,,,,,,,,1,novobiocin
,,,,,,,,1,streptomycin
,,,,,,,,1,tetracycline
132361,WYH22-41,"DSM 26017, CGMCC 1.12294",1,1,Comamonas phosphati,Comamonas,phosphati,1,chloramphenicol
,,,,,,,,1,ciprofloxacin
,,,,,,,,1,erythromycin
,,,,,,,,1,kanamycin
,,,,,,,,1,neomycin
,,,,,,,,1,norfloxacin
140817,S3,"KEMB 563-466, JCM 31169",1,1,Comamonas sediminis,Comamonas,sediminis,1,nalidixic acid
2927,,"DSM 7099, ATCC 8461, CCUG 15327, CIP 63.44, LMG 5929, NCIB 8193, NCTC 1937, NRRL B-1055, JCM 6230, BCRC 10911, CCM 2409, CCUG 2185, IAM 12052, IAM 12421, IFO 12685, IFO 13299, IMET 10768, LMG 1253, NBRC 12685, NBRC 13299, NCIMB 8193, NRRL B-781",1,1,Comamonas terrigena,Comamonas,terrigena,1,colistin
,,,,,,,,1,desferrioxamine
140749,XJNY,"KCTC 52638, MCCC 1H00183",1,1,Confluentibacter citreus,Confluentibacter,citreus,1,acetylspiramycin
,,,,,,,,1,ceftriaxone
,,,,,,,,1,chloramphenicol
,,,,,,,,1,erythromycin
,,,,,,,,1,lincomycin
,,,,,,,,1,rifampicin
,,,,,,,,1,vancomycin
140916,,"KCTC 42777, NBRC 111588, HJM 3",1,1,Confluentibacter lentus,Confluentibacter,lentus,1,carbenicillin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,lincomycin
,,,,,,,,1,novobiocin
,,,,,,,,1,oleandomycin
166258,DSL-48,"KCTC 62648, MCCC 1K03537",1,1,Confluentibacter sediminis,Confluentibacter,sediminis,1,aztreonam
,,,,,,,,1,lithium chloride
,,,,,,,,1,potassium tellurite
,,,,,,,,1,rifamycin sv
17910,KT71,"DSM 17192, CECT 7588, NBRC 104960",1,1,Congregibacter litoralis,Congregibacter,litoralis,1,cefalotin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,colistin
,,,,,,,,1,gentamicin
,,,,,,,,1,imipenem
,,,,,,,,1,neomycin
,,,,,,,,1,polymyxin b
140750,,"KCTC 22549, CMPUJ U369, USBA 369",1,1,Consotaella salsifontis,Consotaella,salsifontis,1,chloramphenicol
,,,,,,,,1,chlortetracyclin
,,,,,,,,1,erythromycin
166446,WN38,"KCTC 62602, MCCC 1H00313",1,1,Coraliomargarita sinensis,Coraliomargarita,sinensis,1,cefotaxime
,,,,,,,,1,ceftriaxone
,,,,,,,,1,chloramphenicol
,,,,,,,,1,clarithromycin
,,,,,,,,1,erythromycin
,,,,,,,,1,rifampicin
,,,,,,,,1,tetracycline
3166,,"DSM 44278, ATCC 49725, CCUG 28779, CNCTC Th1/57, LMG 19042, JCM 8331, CGMCC 1.1940, CIP 104783, KCTC 3431",1,1,Corynebacterium accolens,Corynebacterium,accolens,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
3167,,"DSM 44280, ATCC 51403, CCUG 32103, CIP 103499, LCDC 88199, JCM 10390, LMG 19062",1,1,Corynebacterium afermentans,Corynebacterium,afermentans,1,amikacin
,,,,,,,,1,ampicillin
,,,,,,,,1,cefalotin
,,,,,,,,1,cefotaxime
,,,,,,,,1,ciprofloxacin
,,,,,,,,1,erythromycin
,,,,,,,,1,fusidate
,,,,,,,,1,gentamicin
,,,,,,,,1,mezlocillin
,,,,,,,,1,netilmycin
3169,T 18502,"DSM 44282, ATCC 51404, CCUG 32105, CIP 103500, JCM 10391, LMG 19063",1,1,Corynebacterium afermentans subsp. lipophilum,Corynebacterium,afermentans,1,amikacin
,,,,,,,,1,ampicillin
,,,,,,,,1,cefalotin
,,,,,,,,1,cefotaxime
,,,,,,,,1,ciprofloxacin
,,,,,,,,1,erythromycin
,,,,,,,,1,fusidate
,,,,,,,,1,gentamicin
,,,,,,,,1,mezlocillin
,,,,,,,,1,netilmycin
3080,9.6,"DSM 20306, AJ 1443, ATCC 6871, NCIB 8143, NCTC 2398, CCUG 38796, CIP 101283, JCM 1305, BCRC 10367, CGMCC 1.1883, IAM 1641, IFO 12071, IFO 12612, IMSNU 21212, KCCM 11740, KCTC 1018, NBRC 12071, NBRC 12612, NCCB 60030, NCIMB 8143, NRIC 1844, VKM Ac-2185, VKM B-672",1,1,Corynebacterium ammoniagenes,Corynebacterium,ammoniagenes,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
3134,S160,"DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130",1,1,Corynebacterium amycolatum,Corynebacterium,amycolatum,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
3198,,"DSM 44531, JCM 11765, NRRL B-24151, CCUG 48298, IMMIB R-3491, CIP 107643",1,1,Corynebacterium appendicis,Corynebacterium,appendicis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
3211,S613,"DSM 44791, CCUG 46511, CECT 5993, CIP 108096, JCM 12268",1,1,Corynebacterium aquilae,Corynebacterium,aquilae,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
3161,,"DSM 44202, CIP 104296, CCUG 34893, IBS B10697, JCM 10392, ATCC 51927, LMG 19064, IBS 10697",1,1,Corynebacterium argentoratense,Corynebacterium,argentoratense,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
3213,R2070,"DSM 44849, CCUG 45804, CIP 107431, JCM 12368",1,1,Corynebacterium atypicum,Corynebacterium,atypicum,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
3201,M598/96/3,"JCM 12369, DSM 44609, CCUG 39938, CIP 106629, LMG 19530",1,1,Corynebacterium auriscanis,Corynebacterium,auriscanis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
3082,,"DSM 20582, ATCC 7715, NCTC 3224, CCUG 2705, JCM 11947, BCRC 12363, CIP 54.80, IMET 10632, JCM 1482, NCDO 1689, NCIMB 701689, PCM 2047",1,1,Corynebacterium bovis,Corynebacterium,bovis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
3202,CRS-51,"DSM 44610, CCUG 39412, CECT 4897, JCM 11664, ATCC BAA-77, CIP 105508, LMG 19039",1,1,Corynebacterium camporealense,Corynebacterium,camporealense,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
3203,"S108/98/2, 980914, S108/98/2*","DSM 44611, CCUG 39779, CIP 106739, JCM 12101, KCTC 19913",1,1,Corynebacterium capitovis,Corynebacterium,capitovis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
3159,,"CCUG 38194, LMG 19044, CIP 104919, JCM 10381, DSM 44184, CCUG 35014, DMMZ 214, ATCC 700219, CCM 4669",1,1,Corynebacterium coyleae,Corynebacterium,coyleae,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
3181,,"IFO 16161, LMG 19045, CIP 105490, CCM 4727, DSM 45333, CCUG 37331, DSM 44351, JCM 11948, NBRC 16161",1,1,Corynebacterium durum,Corynebacterium,durum,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
3195,"AJ-12310, YS-314","DSM 44549, JCM 11189, FERM 9246, AJ 12310, CCM 7123, CCUG 47130, CCUG 48037, CIP 107632, NBRC 100395",1,1,Corynebacterium efficiens,Corynebacterium,efficiens,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
3192,"M714/95/5, M714-95-5, 980915","DSM 44508, CCUG 39943, CIP 106740, ATCC BAA-468, JCM 12103, VTT E-072718",1,1,Corynebacterium felinum,Corynebacterium,felinum,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
3196,,"DSM 44530, CIP 107989, NRRL B-24142, CCUG 48297, JCM 12208, IMMIB R-5091",1,1,Corynebacterium glaucum,Corynebacterium,glaucum,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
3227,C-138,"JCM 15293, DSM 45109, CCUG 53252, CIP 108444",1,1,Corynebacterium hansenii,Corynebacterium,hansenii,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
3142,D1076,"DSM 7171, ATCC 43734, CIP 103337, DSM 46361, IFO 15298, IMET 11513, NBRC 15298, NCTC 11913, CCUG 27192, LMG 19049, JCM 9384, NCIMB 14491",1,1,Corynebacterium jeikeium,Corynebacterium,jeikeium,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
3184,,"DSM 44385, CCUG 35717, CIP 105744, LMG 19050, JCM 11950",1,1,Corynebacterium kroppenstedtii,Corynebacterium,kroppenstedtii,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
,,,,,,,,1,cefuroxime
,,,,,,,,1,clindamycin
,,,,,,,,1,erythromycin
,,,,,,,,1,penicillin g
,,,,,,,,1,vancomycin
3171,"JCP 2, JCL-2","DSM 44284, ATCC 51787, CCUG 32361, CIP 104099, JCM 11684, JCL 2, JCM 10393, LMG 19066",1,1,Corynebacterium macginleyi,Corynebacterium,macginleyi,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
3223,"7015, D7015","DSM 44953, CGMCC 1.6998, NRRL B-24779, JCM 17491, CIP 110199",1,1,Corynebacterium marinum,Corynebacterium,marinum,1,ampicillin
,,,,,,,,1,carbenicillin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,gentamicin
,,,,,,,,1,kanamycin
,,,,,,,,1,streptomycin
3178,S-8,"DSM 44356, CCUG 38654, CECT 4843, CIP 105509, IFO (NBRC) 16160, JCM 12269, IFO 16160, LMG 19040, NBRC 16160",1,1,Corynebacterium mastitidis,Corynebacterium,mastitidis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
,,,,,,,,1,amoxicillin
,,,,,,,,1,ampicillin
,,,,,,,,1,cephalothin
,,,,,,,,1,clavulanic acid
,,,,,,,,1,gentamicin
,,,,,,,,1,nalidixic acid
,,,,,,,,1,penicillin g
3102,47,"DSM 20635, ATCC 14266, DSM 43761, NCTC 10254, JCM 9386, BCRC 14869, CCUG 27545, CCUG 46620, CIP 81.82, IFO 15360, LMG 19647, NBRC 15360",1,1,Corynebacterium matruchotii,Corynebacterium,matruchotii,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
132609,VDS11,"DSM 100104, KCTC 39687, MCC 2722",1,1,Corynebacterium pollutisoli,Corynebacterium,pollutisoli,1,amikacin
,,,,,,,,1,ciprofloxacin
,,,,,,,,1,gentamicin
,,,,,,,,1,kanamycin
,,,,,,,,1,oxytetracycline
,,,,,,,,1,penicillin g
,,,,,,,,1,rifampicin
,,,,,,,,1,tetracycline
,,,,,,,,1,vancomycin
3182,,"DSM 44357, CCUG 37330, CIP 105491, IBS B52218, IFO 16162, NBRC 16162, LMG 19056, CCM 4729, JCM 10385",1,1,Corynebacterium singulare,Corynebacterium,singulare,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
3123,,"DSM 20668, ATCC 6940, NCTC 764, CCUG 27949, CIP 81.15, IFO 15291, JCM 9390, CECT 4159, LMG 19648, NBRC 15291",1,1,Corynebacterium striatum,Corynebacterium,striatum,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
3215,P81/02,"DSM 44851, DSM 45110, CCUG 46963, CECT 5724, CIP 108201, JCM 12370",1,1,Corynebacterium suicordis,Corynebacterium,suicordis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
3205,AN 119,"DSM 44613, CCUG 36622, CIP 105936, LMG 19057, DSM 107545, JCM 12401",1,1,Corynebacterium sundsvallense,Corynebacterium,sundsvallense,1,penicillin
,,,,,,,,1,vancomycin
3164,"96-649, Tho 218/95","DSM 44276, CCUG 38516, JCM 12109, CIP 105597",1,1,Corynebacterium thomssenii,Corynebacterium,thomssenii,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
3221,LDC-20,"DSM 44922, ATCC 35529, ATCC 35692, CCUG 45418, CIP 107291, JCM 13389, Medalle X",1,1,Corynebacterium tuberculostearicum,Corynebacterium,tuberculostearicum,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
3124,FK 31,"DSM 20132, ATCC 15753, CCM 1565, NCIB 9455, JCM 2154, BCRC 12115, CCUG 23608, CCUG 45246, CECT 4178, CGMCC 1.1922, CIP 102112, HAMBI 1872, IAM 12346, IFO 15286, IMET 10433, LMG 22560, NBRC 15286, NCIMB 9455, NRRL B-4201, VKM Ac-1122, IFM 3030",1,1,Corynebacterium variabile,Corynebacterium,variabile,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
133014,Ery22,"DSM 101481, CGMCC 1.15360",1,1,Croceicoccus mobilis,Croceicoccus,mobilis,1,cephalexin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,erythromycin
,,,,,,,,1,kanamycin
,,,,,,,,1,neomycin
,,,,,,,,1,nitrofurantoin
,,,,,,,,1,novobiocin
,,,,,,,,1,rifampicin
,,,,,,,,1,tetracycline
,,,,,,,,1,vancomycin
133013,Ery9,"DSM 101479, CGMCC 1.15358",1,1,Croceicoccus pelagius,Croceicoccus,pelagius,1,ampicillin
,,,,,,,,1,cephalexin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,erythromycin
,,,,,,,,1,kanamycin
,,,,,,,,1,neomycin
,,,,,,,,1,nitrofurantoin
,,,,,,,,1,novobiocin
,,,,,,,,1,penicillin
,,,,,,,,1,rifampicin
166514,GM-16,"KACC 19611, KCTC 62423, NBRC 113192",1,1,Croceicoccus ponticola,Croceicoccus,ponticola,1,carbenicillin
,,,,,,,,1,cephalothin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,gentamicin
,,,,,,,,1,kanamycin
,,,,,,,,1,neomycin
,,,,,,,,1,novobiocin
,,,,,,,,1,tetracycline
140753,"182, 0182","KCTC 42868, MCCC 1H00128",1,1,Crocinitomix algicola,Crocinitomix,algicola,1,chloramphenicol
,,,,,,,,1,erythromycin
,,,,,,,,1,nalidixic acid
,,,,,,,,1,neomycin
,,,,,,,,1,rifampicin
,,,,,,,,1,tobramycin
3814,H13,"DSM 4133, ATCC 23190, NCMB 1418, CIP 108127, NCIMB 1418",1,1,Crocinitomix catalasitica,Crocinitomix,catalasitica,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
13288,TS-1980,"DSM 44230, ATCC 51143, IFO 14475, JCM 9111, NBRC 14475, NCIMB 13187, NRRL B-16238, CGMCC 4.1710, CIP 107132, IMSNU 21335, KCTC 9391, VKM Ac-1965",1,1,Crossiella cryophila,Crossiella,cryophila,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
140833,X1,"KCTC 42909, LMG 29218",1,1,Cupriavidus nantongensis,Cupriavidus,nantongensis,1,cephalexin
7320,"P 420/07, P420/07","DSM 14013, LMG 19917, JCM 12140, CIP 108224, IAM 15148, NBRC 103064, VKM Ac-2512",1,1,Curtobacterium herbarum,Curtobacterium,herbarum,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
2939,146,"DSM 11558, ATCC 14667, CCUG 15846, LMG 4328, LMG 4327, IAM 14955, NBRC 14919, JCM 15147, BCRC 80545, IFO 14919, JCM 21432, CIP 107314, NCIMB 9419",1,1,Curvibacter delicatus,Curvibacter,delicatus,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
135266,,"CIP 108608, IAM 15033, ATCC BAA-807, CCUG 49445, JCM 21496",1,1,Curvibacter gracilis,Curvibacter,gracilis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
138785,192,"CIP 103297, ATCC 14669, NCIMB 9461, CCUG 48175, IAM 14947, CFBP 5587, JCM 21429, BCRC 15829, LMG 21631, NBRC 103051",1,1,Curvibacter lanceolatus,Curvibacter,lanceolatus,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
134150,,"KCTC 12363, LMG 23026, KMM 6143, CIP 108848",1,1,Cyclobacterium amurskyense,Cyclobacterium,amurskyense,1,ampicillin
,,,,,,,,1,carbenicillin
,,,,,,,,1,kanamycin
,,,,,,,,1,lincomycin
,,,,,,,,1,oleandomycin
,,,,,,,,1,penicillin g
17717,,"DSM 745, ATCC 25205",1,1,Cyclobacterium marinum,Cyclobacterium,marinum,1,ampicillin
,,,,,,,,1,carbenicillin
,,,,,,,,1,lincomycin
,,,,,,,,1,oleandomycin
166288,,"DSM 103992, KCTC 52558, SYSU SYW-6",1,1,Cysteiniphilum halobium,Cysteiniphilum,halobium,1,chloramphenicol
,,,,,,,,1,ciprofloxacin
,,,,,,,,1,doxycycline
,,,,,,,,1,gentamicin
,,,,,,,,1,levofloxacin
,,,,,,,,1,tetracycline
140321,,"DSM 101832, CGMCC 1.15758, KCTC 52386, NBRC 112441, SYSU D3-2",1,1,Cysteiniphilum litorale,Cysteiniphilum,litorale,1,1 % sodium lactate
,,,,,,,,1,chloramphenicol
,,,,,,,,1,ciprofloxacin
,,,,,,,,1,doxycycline
,,,,,,,,1,gentamicin
,,,,,,,,1,levofloxacin
,,,,,,,,1,lincomycin
,,,,,,,,1,rifamycin sv
,,,,,,,,1,tetracycline
1904,K107,"DSM 21779, CCUG 54520, KCTC 12981",1,1,Daeguia caeni,Daeguia,caeni,1,carbenicillin
,,,,,,,,1,cephalothin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,gentamicin
,,,,,,,,1,kanamycin
,,,,,,,,1,neomycin
,,,,,,,,1,novobiocin
,,,,,,,,1,streptomycin
,,,,,,,,1,tetracycline
132415,MAG-PB1,"DSM 29363, JCM 30394",1,1,Deferrisoma palaeochoriense,Deferrisoma,palaeochoriense,1,vancomycin
140990,DL5-4,"MCCC 1A06955, LMG 29616",1,1,Defluviimonas nitratireducens,Defluviimonas,nitratireducens,1,ampicillin
,,,,,,,,1,carbenicillin
,,,,,,,,1,cefazolin
,,,,,,,,1,ceftriaxone
,,,,,,,,1,cephalexin
,,,,,,,,1,cephradine
,,,,,,,,1,ciprofloxacin
,,,,,,,,1,furazolidone
,,,,,,,,1,gentamicin
,,,,,,,,1,kanamycin
