ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,species_epithet,"Ability of spore formation"
501,UNI-1,"DSM 14523, JCM 11388",1,1,"Anaerolinea thermophila",Anaerolinea,thermophila,0
140570,DY2726D,"JCM 30224, MCCC 1A00776",1,1,"Anaeromicrobium sediminis",Anaeromicrobium,sediminis,0
166544,MCWD5,"KCTC 15595, DSM 105757",1,1,"Anaerosacchariphilus polymeriproducens",Anaerosacchariphilus,polymeriproducens,1
2874,C5BEL,"DSM 23801, JCM 17239",1,1,"Anaerosalibacter bizertensis",Anaerosalibacter,bizertensis,1
11852,WN036,"DSM 21120, JCM 15094, KCTC 15145",1,1,"Anaerosphaera aminiphila",Anaerosphaera,aminiphila,1
2868,HY-37-4,"DSM 15930, IMSNU 40011, KCTC 5027",1,1,"Anaerosporobacter mobilis",Anaerosporobacter,mobilis,1
132639,"FRC-RU4, RU4","DSM 29728, ATCC BAA-2723",1,1,"Anaerosporomusa subterranea",Anaerosporomusa,subterranea,1
6340,35-7,"DSM 22094, JCM 17466, LMG 24724",1,1,"Anaerostipes butyraticus",Anaerostipes,butyraticus,1
130359,"1y-2, ly-2","DSM 26241, KCTC 15316",1,1,"Anaerostipes rhamnosivorans",Anaerostipes,rhamnosivorans,1
132583,FH052,"DSM 100431, JCM 30820",1,1,"Anaerotaenia torta",Anaerotaenia,torta,1
2765,X4,"DSM 3847, KCTC 15564",1,1,"Anaerotignum neopropionicum",Anaerotignum,neopropionicum,1
2646,X2,"DSM 1682, ATCC 25522, NCIMB 10656, CCUG 9280, JCM 1430, VPI 5303",1,1,"Anaerotignum propionicum",Anaerotignum,propionicum,1
17679,277,"DSM 17241, CCUG 45055, CIP 107754, WAL 14565, JCM 15631, VTT E-062942",1,1,"Anaerotruncus colihominis",Anaerotruncus,colihominis,0
,,,,,,,,1
17407,NS05,"DSM 18746, CCM 7435, CCUG 57200, NEU 1212",1,1,"Ancylobacter oerskovii",Ancylobacter,oerskovii,0
17403,Pla5,"DSM 2457, CIP 109301, NCIB 10516, CCUG 30553, AS 1.2800",1,1,"Ancylobacter polymorphus",Ancylobacter,polymorphus,0
158256,E130,"DSM 102029, LMG 29367",1,1,"Ancylobacter pratisalsi",Ancylobacter,pratisalsi,0
17406,NP-300,"DSM 1277, CIP 109300, AS 1.176",1,1,"Ancylobacter vacuolatus",Ancylobacter,vacuolatus,0
166210,SHSM-M15,"KACC 19862, NBRC 113749",1,1,"Ancylomarina salipaludis",Ancylomarina,salipaludis,0
133003,FA102,"DSM 28825, CICC 10902, KCTC 42257",1,1,"Ancylomarina subtilis",Ancylomarina,subtilis,0
5416,MK-1,"DSM 1989, ATCC 43737",1,1,"Andreesenia angusta",Andreesenia,angusta,0
10500,GFC-1,"DSM 23236, BCRC 17832, LMG 24502",1,1,"Andreprevotia lacus",Andreprevotia,lacus,0
11380,Murayama,"DSM 5562, ATCC 12856, CIP 104007, IAM 1077, IFO 15521, JCM 9024, NBRC 15521, NRS 1589, LMG 15531, LMG 16001, NRRL NRS-1589",1,1,"Bacillus aneurinilyticus",Bacillus,aneurinilyticus,1
140685,1-10M-8-7-50,"KEMB 563-460, JCM 31819",1,1,"Aneurinibacillus sediminis",Aneurinibacillus,sediminis,1
11401,"R-12870, B-1599","DSM 18919, CIP 108308, KCTC 13001, LMG 22483, Logan B-1599",1,1,"Aneurinibacillus terranovensis",Aneurinibacillus,terranovensis,1
11398,"L 420-91, L420-91","DSM 10154, CIP 104816, LMG 17165",1,1,"Aneurinibacillus thermoaerophilus",Aneurinibacillus,thermoaerophilus,1
6156,,"DSM 15561, NCIMB 1785, CIP 108770, VKM B-1336",1,1,"Ancylobacter amanitiformis",Ancylobacter,amanitiformis,0
133860,7402J-48,"KACC 15527, NBRC 108730, JCM 32086",1,1,"Angustibacter aerolatus",Angustibacter,aerolatus,0
133606,TT07R-79,"NBRC 105387, KACC 14249, JCM 17683",1,1,"Angustibacter luteus",Angustibacter,luteus,0
132137,"RS-50, 5DSM 45329","DSM 45329, KCTC 19628, JCM 31482",1,1,"Angustibacter peucedani",Angustibacter,peucedani,0
141003,YC2-20,"KCTC 39842, DSM 103769, JCM 32752",1,1,"Angustibacter speluncae",Angustibacter,speluncae,0
6140,,"DSM 4255, ATCC 43788",1,1,"Annwoodia aquaesulis",Annwoodia,aquaesulis,0
560,MR3C,"DSM 15939, ATCC BAA-872, CIP 108338, CIP 108305",1,1,"Anoxybacillus amylolyticus",Anoxybacillus,amylolyticus,1
559,"Bacillus ther 13, BT 13","DSM 17956, NBIMCC 8427",1,1,"Anoxybacillus bogrovensis",Anoxybacillus,bogrovensis,1
554,R-16222,"DSM 15866, LMG 21881",1,1,"Anoxybacillus contaminans",Anoxybacillus,contaminans,1
565,E-112,"DSM 23212, CCTCC AB 209236, KCTC 13720",1,1,"Anoxybacillus eryuanensis",Anoxybacillus,eryuanensis,1
140522,GSsed3,"CCOS 808, ATCC BAA-2555",1,1,"Anoxybacillus geothermalis",Anoxybacillus,geothermalis,1
566,"T-11, T11","DSM 23211, CCTCC AB 209237, KCTC 13721",1,1,"Anoxybacillus tengchongensis",Anoxybacillus,tengchongensis,1
556,"GS5-97, R-35643","DSM 16325, ATCC BAA-942",1,1,"Anoxybacillus tepidamans",Anoxybacillus,tepidamans,1
133999,3nP4,"CGMCC 1.8979, JCM 16594",1,1,"Anoxybacillus vitaminiphilus",Anoxybacillus,vitaminiphilus,1
130972,,"DSM 21100, KACC 14636, KCTC 22261, LMG 24494, Gsoil 524",1,1,"Anseongella ginsenosidimutans",Anseongella,ginsenosidimutans,0
166255,G8,"LMG 30898, DSM 107922",1,1,"Apibacter muscae",Apibacter,muscae,0
158413,Hlig3,"DSM 104126, NRRL B-65473, JCM 33323",1,1,"Apilactobacillus micheneri",Apilactobacillus,micheneri,0
158411,HV_6,"DSM 104127, NRRL B-65474, JCM 33324",1,1,"Apilactobacillus quenuiae",Apilactobacillus,quenuiae,0
158412,HV_12,"DSM 104128, NRRL B-65472, JCM 33325",1,1,"Apilactobacillus timberlakei",Apilactobacillus,timberlakei,0
17927,CS-6,"DSM 22961, BCRC 17729, LMG 24215",1,1,"Aquabacterium fontiphilum",Aquabacterium,fontiphilum,0
17928,ABP-4,"DSM 26447, BCRC 80167, KCTC 23306",1,1,"Aquabacterium limnoticum",Aquabacterium,limnoticum,0
11866,Sa14,"DSM 21857, CCUG 57044",1,1,"Aquamicrobium aerolatum",Aquamicrobium,aerolatum,0
133963,G210,"KACC 14931, JCM 16876",1,1,"Aquamicrobium aestuarii",Aquamicrobium,aestuarii,0
11867,905/1,"DSM 19730, CCUG 55251",1,1,"Aquamicrobium ahrensii",Aquamicrobium,ahrensii,0
24310,1006/1,"DSM 19714, CCUG 55250",1,1,"Aquamicrobium segne",Aquamicrobium,segne,0
166239,BH258,"KACC 18680, NBRC 111875",1,1,"Aquibacillus sediminis",Aquibacillus,sediminis,1
5592,SMK-19,"DSM 17196, KCTC 12390",1,1,"Aquimarina brevivitae",Aquimarina,brevivitae,0
158803,NS08,"KCTC 52897, MCCC 1H00191",1,1,"Aquimarina celericrescens",Aquimarina,celericrescens,0
140942,M124,"KCTC 42423, MCCC 1K00498",1,1,"Aquimarina hainanensis",Aquimarina,hainanensis,0
133597,,"JCM 15542, NCIMB 14508, JAMB N27",1,1,"Aquimarina macrocephali",Aquimarina,macrocephali,0
158701,122CH820-2,"KACC 19274, LMG 30078",1,1,"Aquimarina spongiicola",Aquimarina,spongiicola,0
133335,CBA3207,"KACC 17666, JCM 19528",1,1,"Aquimarina versatilis",Aquimarina,versatilis,0
166171,KYPY4,"BCRC 81010, KCTC 52441",1,1,"Rubrivivax rivuli",Rubrivivax,rivuli,0
17956,L10,"DSM 18512, CIP 109243",1,1,"Aquincola tertiaricarbonis",Aquincola,tertiaricarbonis,0
6313,IV-75,"DSM 21674, JCM 19543, NBRC 109628, NCAIM B 02333, NCAIM B.02333",1,1,"Aquipuribacter hungaricus",Aquipuribacter,hungaricus,0
1547,SH4s,"DSM 18090, CCM 7366, CECT 7149",1,1,"Aquisalibacillus elongatus",Aquisalibacillus,elongatus,0
4301,,"DSM 18102, CCM 7368, CECT 7151, CGMCC 1.6291, CG 12, CIP 109713",1,1,"Aquisalimonas asiatica",Aquisalimonas,asiatica,0
140856,D11M-2,"CGMCC 1.12921, KCTC 42673",1,1,"Aquisalinus flavus",Aquisalinus,flavus,0
166153,DS48-3,"KCTC 52068, CCTCC AB 2018061",1,1,"Aquisediminimonas profunda",Aquisediminimonas,profunda,0
166152,CH68-4,"KCTC 62205, CCTCC AB 2018062",1,1,"Aquisediminimonas sediminicola",Aquisediminimonas,sediminicola,0
10511,TRO-001DR8,"DSM 25134, ATCC BAA-1216, CCM 7607, LMG 23054, NBRC 103050",1,1,"Aquitalea magnusonii",Aquitalea,magnusonii,0
140914,P1297,"CCM 7557, LMG 28989, CCUG 67440",1,1,"Aquitalea pelogenes",Aquitalea,pelogenes,0
204,P6775,"DSM 25104, CCM 7958, CCUG 61573, CIP 110339",1,1,"Arcanobacterium canis",Arcanobacterium,canis,0
197,11018,"DSM 20595, ATCC 9345, CCM 5947, NCTC 8452",1,1,"Arcanobacterium haemolyticum",Arcanobacterium,haemolyticum,0
203,"M401624/00/2, 001127, M 601624/00/2","DSM 15539, CCUG 44697, CIP 106850",1,1,"Arcanobacterium hippocoleae",Arcanobacterium,hippocoleae,0
22902,2698,"DSM 26142, CCM 8430, LMG 27073, CIP 110543",1,1,"Arcanobacterium phocisimile",Arcanobacterium,phocisimile,0
140307,647,"DSM 102162, LMG 29418",1,1,"Arcanobacterium wilhelmae",Arcanobacterium,wilhelmae,0
3766,TNR-18,"DSM 22214, BCRC 17969, LMG 25207",1,1,"Arcicella aurantiaca",Arcicella,aurantiaca,0
132853,TW-5,"DSM 21163, CCUG 55942, CCM 7523",1,1,"Arcicella rosea",Arcicella,rosea,0
23819,JC84,"DSM 24636, KCTC 15071, MTCC 10956, CECT 9783",1,1,"Arcobacter anaerophilus",Arcobacter,anaerophilus,0
158655,F138-33,"CECT 8984, LMG 29148, CIP 111615",1,1,"Malaciobacter canalis",Malaciobacter,canalis,0
2096,KH-2,"DSM 17680, CCUG 48482, LMG 21996, CIP 108697, CECT 7203",1,1,"Arcobacter cibarius",Arcobacter,cibarius,0
2098,F2075,"DSM 23625, CECT 7386, LMG 24559, CIP 110066",1,1,"Arcobacter mytili",Arcobacter,mytili,0
2099,"strain 16389","DSM 23385, CCUG 56902, LMG 24486",1,1,"Arcobacter thereius",Arcobacter,thereius,0
2101,"64, 64/2-45d5/R-39974","DSM 25469, LMG 25534, CCUG 59229, CIP 110286",1,1,"Arcobacter trophiarum",Arcobacter,trophiarum,0
24797,110S,"DSM 23922, ATCC BAA-2145, JCM 17282, KCTC 23289, NBRC 107679",1,1,"Ardenticatena maritima",Ardenticatena,maritima,0
133835,HP12,"KACC 16193, JCM 17788",1,1,"Arenibacter hampyeongensis",Arenibacter,hampyeongensis,0
5482,"PIBOC FEBRAS","CCUG 48011, DSM 17539, CIP 108849, JCM 13509, KMM 3961, LMG 21972, NCIMB 14299",1,1,"Arenibacter palladensis",Arenibacter,palladensis,0
132622,Ac_12_G8,"DSM 26556, LMG 29166",1,1,"Arenimicrobium luteum",Arenimicrobium,luteum,0
159746,z29,"JCM 32091, CCTCC AB 2017067",1,1,"Arenimonas caeni",Arenimonas,caeni,0
17445,TR7-09,"DSM 18010, CIP 109794, KCTC 12666, KCTC 12557",1,1,"Arenimonas composti",Arenimonas,composti,0
23343,CH15-1,"DSM 24763, KCTC 23553",1,1,"Arenimonas daechungensis",Arenimonas,daechungensis,0
17449,T7-07,"DSM 18060, KCTC 12667",1,1,"Arenimonas daejeonensis",Arenimonas,daejeonensis,0
17444,HO3-R19,"DSM 18148, KACC 11381",1,1,"Arenimonas donghaensis",Arenimonas,donghaensis,0
159858,,"KCTC 62235, NBRC 113093, CAU 1453, JCM 32565",1,1,"Arenimonas halophila",Arenimonas,halophila,1
24669,CF5-1,"DSM 27855, CCTCC AB 2010449, CGMCC 1.10787, KCTC 23460, KCTC 23904",1,1,"Arenimonas metalli",Arenimonas,metalli,0
17448,"YC6267, Z0-2","DSM 21050, KCTC 22247",1,1,"Arenimonas oryziterrae",Arenimonas,oryziterrae,0
140971,Y3L17,"CGMCC 1.15905, KCTC 52420",1,1,"Arenimonas soli",Arenimonas,soli,0
141004,HIs16-32,"NBRC 112289, TBRC 7038",1,1,"Arenivirga flava",Arenivirga,flava,0
24776,"A22/HD/4H, A22_HD_4H","DSM 26555, LMG 27985",1,1,"Aridibacter famidurans",Aridibacter,famidurans,0
24777,Ac_23_E3,"DSM 26558, LMG 27597",1,1,"Aridibacter kavangonensis",Aridibacter,kavangonensis,0
6239,,"DSM 15745, CCUG 47306, JCM 13385, IAM 15342, NBRC 105202, CIP 108315",1,1,"Arsenicicoccus bolidensis",Arsenicicoccus,bolidensis,0
133299,42-50,"CCTCC AB 2014325, KCTC 42825",1,1,"Arsenicitalea aurantiaca",Arsenicitalea,aurantiaca,0
7518,LC6,"DSM 23368, CCTCC AB 206013, IAM 15383, JCM 218275, JCM 21827",1,1,"Arthrobacter alkaliphilus",Arthrobacter,alkaliphilus,0
7603,R-5102,"DSM 16402, LMG 22283, JCM 21794, IAM 15349, CIP 108896, LMG 19502",1,1,"Arthrobacter castelli",Arthrobacter,castelli,0
158836,NEAU-SA2,"DSM 106718, CCTCC AB 2017272",1,1,"Arthrobacter celericrescens",Arthrobacter,celericrescens,0
7630,D48,"DSM 24664, CGMCC 1.10783, CIP 110640, JCM 19662",1,1,"Arthrobacter cupressi",Arthrobacter,cupressi,0
133065,SYP-A7299,"DSM 100491, KCTC 39592, JCM 30742",1,1,"Arthrobacter ginkgonis",Arthrobacter,ginkgonis,0
7606,R-5344,"DSM 16405, LMG 19502, JCM 21770, IAM 15321, CIP 108897",1,1,"Arthrobacter monumenti",Arthrobacter,monumenti,0
158758,,"KCTC 13958, CECT 8917, CAU 9143",1,1,"Arthrobacter paludis",Arthrobacter,paludis,0
7604,R-5303,"DSM 16404, LMG 22281, JCM 14917, CIP 108898, VTT E-052087",1,1,"Arthrobacter parietis",Arthrobacter,parietis,0
7605,R-5117,"DSM 16403, LMG 22284, JCM 21771, CIP 108899, IAM 15322",1,1,"Arthrobacter pigmenti",Arthrobacter,pigmenti,0
7623,GP3,"DSM 23143, CGMCC 1.6355, JCM 13874",1,1,"Arthrobacter psychrochitiniphilus",Arthrobacter,psychrochitiniphilus,0
158438,NEAU-SA1,"DSM 106716, CCTCC AB 2017271",1,1,"Arthrobacter silvisoli",Arthrobacter,silvisoli,0
7612,"AC 836, AC 8.36","DSM 16005, CCM 2783, CIP 108701, JCM 14116, IAM 15316, LMG 16145",1,1,"Arthrobacter stackebrandtii",Arthrobacter,stackebrandtii,0
7608,R-5369,"DSM 16407, LMG 22282, JCM 21772, IAM 15323",1,1,"Arthrobacter tecti",Arthrobacter,tecti,0
7607,R-5305,"DSM 16406, LMG 19501, JCM 21773, CIP 108900, IAM 15324, VTT E-072668",1,1,"Arthrobacter tumbae",Arthrobacter,tumbae,0
133190,C-1-16,"KEMB 900-374, KACC 18717, JCM 31293",1,1,"Arvibacter flaviflagrans",Arvibacter,flaviflagrans,0
7848,,"DSM 44099, ATCC 49966, IFO 14496, IMSNU 22009, JCM 7544, NBRC 14496, NRRL B-16430, CGMCC 4.1402, CIP 107013, HUT 6559, KCTC 9353, VKM Ac-1422",1,1,"Asanoa ferruginea",Asanoa,ferruginea,0
7850,"TT 97-02","DSM 44745, NBRC 100142, JCM 13312, BCRC 16825, CGMCC 4.5571, CIP 108714",1,1,"Asanoa iriomotensis",Asanoa,iriomotensis,1
7853,PS7-2,"DSM 45793, BCC 41921, NBRC 107932",1,1,"Asanoa siamensis",Asanoa,siamensis,1
133942,LCJ02,"KCCM 90108, JCM 18484",1,1,"Sediminibacterium lactis",Sediminibacterium,lactis,0
158566,DRW22-8,"KCTC 42356, JCM 30469",1,1,"Asprobacter aquaticus",Asprobacter,aquaticus,0
134105,T3-B7,"AS 1.3431, JCM 12463, CGMCC 1.3431, CIP 108788",1,1,"Asticcacaulis taihuensis",Asticcacaulis,taihuensis,0
132416,NAS-01,"DSM 28954, JCM 19762",1,1,"Athalassotoga saccharophila",Athalassotoga,saccharophila,0
2250,,"DSM 17538, CCUG 48253, CIP 108502",1,1,"Atopococcus tabaci",Atopococcus,tabaci,0
526,WP1,"DSM 14790, CCUG 53900, CIP 107386",1,1,"Aurantimonas coralicida",Aurantimonas,coralicida,0
133164,,"DSM 103570, CPCC 100904, KCTC 52296, EGI 6500337",1,1,"Aurantimonas endophytica",Aurantimonas,endophytica,0
12672,,"DSM 23257, CECT 7672, LMG 25551, MON 2.2, JCM 18954",1,1,"Auraticoccus monumenti",Auraticoccus,monumenti,0
133899,SG-18,"NBRC 108814, KCTC 23967",1,1,"Aureicoccus marinus",Aureicoccus,marinus,0
532,S21B,"DSM 21988, CECT 7138, CIP 109525, KCTC 22106, LMG 23375",1,1,"Aureimonas altamirensis",Aureimonas,altamirensis,0
140972,2T4P-2-4,"KCTC 52217, CGMCC 1.15367",1,1,"Aureimonas endophytica",Aureimonas,endophytica,0
166448,M2BS4Y-1,"KCTC 62837, CGMCC 1.13747",1,1,"Aureimonas flava",Aureimonas,flava,0
166114,,"KCTC 72462, CGMCC 1.17389, YIM 132180",1,1,"Aureimonas leprariae",Aureimonas,leprariae,0
134243,59SA,"IAM 15439, TISTR 1726, JCM 23207, CIP 109734",1,1,"Aureispira maritima",Aureispira,maritima,0
133711,S1-66,"NBRC 107741, KCTC 23434",1,1,"Aureitalea marina",Aureitalea,marina,0
140460,S31,"CCUG 69858, KCTC 33611, MCC 3027, CIP 111652",1,1,"Abyssicoccus albus",Abyssicoccus,albus,0
7792,,"DSM 45359, CCUG 57943, JCM 19109, IMMIB L-1656",1,1,"Auritidibacter ignavus",Auritidibacter,ignavus,0
134168,Slu-05,"CCUG 56488, DSM 17719, KCTC 12530, CCBAU 10199",1,1,"Azonexus caeni",Azonexus,caeni,0
13889,d8-1,"DSM 23864, BCRC 17657, LMG 24005",1,1,"Azonexus hydrophilus",Azonexus,hydrophilus,0
24668,NS12,"DSM 18749, CCM 7897, NEU 1219",1,1,"Azorhizobium oxalatiphilum",Azorhizobium,oxalatiphilum,0
13893,,"DSM 18626, CCUG 55598, NRRL B-41660, LMG 23819, Sua SUA2, Sua 2",1,1,"Azospira restricta",Azospira,restricta,0
134013,CC-LY743,"BCRC 80505, JCM 18688, LMG 27264",1,1,"Azospirillum fermentarium",Azospirillum,fermentarium,0
134169,,"CCBAU 5106001, LMG 23364, CGMCC 1.5340, TMCY 0552",1,1,"Azospirillum melinis",Azospirillum,melinis,0
134249,,"NRRL B-41736, DSM 18954, CBD 119, CIP 109795",1,1,"Gottfriedia acidiceleris",Gottfriedia,acidiceleris,1
1207,105-2,"DSM 14745, ATCC BAA-366, CIP 109006, NRRL B-23453",1,1,"Heyndrickxia acidicola",Heyndrickxia,acidicola,1
166332,CX253,"GDMCC 1.1608, KACC 21318",1,1,"Bacillus aerolatus",Bacillus,aerolatus,1
140963,N35-10-2,"MCCC 1A02146, KCTC 33710, LMG 28875, NBRC 113917, CIP 111456",1,1,"Bacillus albus",Bacillus,albus,1
136911,F12,"CIP 107850, KMM 3737, KCTC 13005",1,1,"Alkalihalobacillus algicola",Alkalihalobacillus,algicola,1
158725,AK73,"JCM 32184, MTCC 12637, KCTC 33880",1,1,"Alkalihalobacillus alkalilacus",Alkalihalobacillus,alkalilacus,1
1263,41KF2b,"DSM 21631, JCM 13350, MTCC 7306, BCRC 17879",1,1,"Bacillus altitudinis",Bacillus,altitudinis,1
1260,TM1,"DSM 19092, CIP 108784, JCM 12523, KCTC 10634",1,1,"Bacillus alveayuensis",Bacillus,alveayuensis,1
598,F,"DSM 7, ATCC 23350, CCUG 28519, NRRL B-14393, Fukumoto strain F, CIP 103265, LMG 9814, NRRL : B-14393",1,1,"Bacillus amyloliquefaciens",Bacillus,amyloliquefaciens,1
166186,,"KCTC 33954, CGMCC 1.13871, SYSU K30001",1,1,"Ectobacillus antri",Ectobacillus,antri,1
1290,B8W22,"DSM 21047, JCM 13839, MTCC 7755",1,1,"Priestia aryabhattai",Priestia,aryabhattai,1
1077,,"DSM 7264, ATCC 49337, NRRL NRS-213, CCUG 28524, JCM 9070, CIP 107159, IFO 15539, KCTC 3701, LMG 16797, NBRC 15539, NCIMB 12899",1,1,"Bacillus atrophaeus",Bacillus,atrophaeus,1
140878,NH7l_1,"MCCC 1A05787, LMG 27697, KCTC 33532",1,1,"Bacillus australimaris",Bacillus,australimaris,0
602,"663, Henry 110, 110, NRS-663","DSM 23, ATCC 14574, CCM 2113, NCIB 9364, NCTC 10333, CCUG 7412, CIP 58.52, IAM 11059, NRS 663, JCM 12228, BCRC 11699, CECT 17, HAMBI 1885, IFO 15713, KCTC 3739, LMG 7122, MTCC 1458, NBIMCC 2210, NBRC 15713, NCFB 1760, NCIMB 9364, NRRL NRS-663, VKM B-496, NCDO 1760",1,1,"Bacillus badius",Bacillus,badius,1
1069,B1,"DSM 5391, ATCC 49005, CCM 3364, LMD 79.7, NCIB 12555, CIP 103477, LMG 9582, NCIMB 12555",1,1,"Bacillus benzoevorans",Bacillus,benzoevorans,1
134104,,"ATCC BAA-922, LMG 22234, LBB 3",1,1,"Alkalihalobacterium bogoriense",Alkalihalobacterium,bogoriense,1
166294,"CM-CNRG TB54, TE3","CCStamb A1",1,1,"Bacillus cabrialesii",Bacillus,cabrialesii,1
158610,7578-1,"CGMCC 1.15374, KCTC 33845",1,1,"Heyndrickxia camelliae",Heyndrickxia,camelliae,1
133510,,"ATCC BAA-1493, MTCC 8908, KSC SF8b",1,1,"Bacillus canaveralius",Bacillus,canaveralius,1
133067,,"DSM 103394, CGMCC 1.12820, KCTC 33514, EGI 6500252",1,1,"Bacillus capparidis",Bacillus,capparidis,0
,,,,,,,,1
1239,,"DSM 17613, ATCC 700100, CIP 109750, JCM 9731, kASUMI 6t, KCTC 3837, LMG 18001, CGMCC 1.3652, NCIMB 13460, Kasumi 6",1,1,"Bacillus carboniphilus",Bacillus,carboniphilus,1
1281,PN5,"DSM 21993, JCM 15113, LMG 23935, MTCC 9127, CCUG 55698",1,1,"Solibacillus cecembensis",Solibacillus,cecembensis,1
624,"13, 971, Ford 13, Gibson 971","DSM 31, ATCC 14579, CCM 2010, LMG 6923, NCIB 9373, NCTC 2599, CCUG 7414, JCM 2152, BCRC 10603, BCRC 11026, CECT 148, CECT 5050, CGMCC 1.3760, CIP 66.24, HAMBI 1887, IAM 12605, IAM 14174, IFO 15305, KCTC 3624, NBRC 15305, NCAIM B.02078, NCCB 75008, NCFB 1771, NCIMB 9373, NRRL B-3711, VKM B-504, VTT E-93143",1,1,"Bacillus cereus",Bacillus,cereus,1
1299,,"DSM 23837, CCUG 57835, KCTC 13566, CAU 348",1,1,"Bacillus chungangensis",Bacillus,chungangensis,1
1280,m4-4,"DSM 25608, CECT 7197, NRRL B-41737",1,1,"Bacillus coahuilensis",Bacillus,coahuilensis,1
1323,391-98,"DSM 22905, CIP 110041, NVH 391-98, WDCM 00220",1,1,"Bacillus cytotoxicus",Bacillus,cytotoxicus,1
1275,E5HC-32,"DSM 17725, JCM 13601",1,1,"Bacillus decisifrondis",Bacillus,decisifrondis,1
141013,1404,"CCTCC AB 2017021, KCTC 33827, DSM 100730",1,1,"Niallia endozanthoxylica",Niallia,endozanthoxylica,0
167978,17-SMS-01,"KCTC 33949, MCCC 1K03483, MCCC 1K03483T",1,1,"Bacillus fungorum",Bacillus,fungorum,1
139432,BL3-6,"CIP 111018, JCM 15801, KCTC 13318",1,1,"Bacillus gaemokensis",Bacillus,gaemokensis,1
132364,FJAT-4402,"DSM 29500, CGMCC 1.12902",1,1,"Bacillus gobiensis",Bacillus,gobiensis,1
140691,,"NRRL B-41327, CCUG 70178",1,1,"Bacillus haynesii",Bacillus,haynesii,1
1154,"K 13, K13","DSM 12751, JCM 9943, ATCC 700778, CGMCC 1.3650, CIP 105746, KCTC 3838, LMG 18497",1,1,"Bacillus horti",Bacillus,horti,1
134284,"CVS-B, CVS-8","LMG 22838, CIP 108578, KCTC 13754",1,1,"Bacillus isabeliae",Bacillus,isabeliae,1
158629,Ma50-5,"KCTC 33881, CCTCC AB 2017020",1,1,"Bacillus kexueae",Bacillus,kexueae,1
133457,ZLC-26,"CCTCC AB 207172, NRRL B-51302",1,1,"Robertmurraya korlensis",Robertmurraya,korlensis,1
166102,YSP-3,"ACCC 60365, KCTC 33934",1,1,"Alteribacter lacisalsi",Alteribacter,lacisalsi,1
158731,AK74,"MTCC 12638, KCTC 33946, JCM 32185",1,1,"Metabacillus lacus",Metabacillus,lacus,1
689,"Gibson 46, 46, 1264","DSM 13, ATCC 14580, CCM 2145, IFO 12200, NBRC 12200, NCIB 9375, NCTC 10341, WDCM 00068, CCUG 7422, JCM 2505, BCRC 11702, CECT 20, CGMCC 1.3649, CIP 52.71, IAM 13417, KCTC 1753, KCTC 1918, LMG 6933, NCFB 1772, NCIMB 9375, NRRL NRS-1264, VKM B-511, LMG 12363, NCDO 1772",1,1,"Bacillus licheniformis",Bacillus,licheniformis,1
140965,TD41,"MCCC 1A00359, KCTC 33716, LMG 28872, NBRC 113919, CIP 111458",1,1,"Bacillus luti",Bacillus,luti,1
140556,AK61,"JCM 31087, MTCC 12015, KCTC 33872",1,1,"Metabacillus mangrovi",Metabacillus,mangrovi,1
1322,BL4-6,"DSM 26473, JCM 15802, KCTC 13319, CIP 111019",1,1,"Bacillus manliponensis",Bacillus,manliponensis,1
158630,Ma50-6,"KCTC 33882, CCTCC AB 2017019",1,1,"Bacillus manusensis",Bacillus,manusensis,1
158585,NC2-31,"KCTC 33721, MCCC 1K01239",1,1,"Bacillus marinisedimentorum",Bacillus,marinisedimentorum,0
133059,KS16-9,"DSM 100413, KCTC 33834, MTCC 12305, JCM 31631",1,1,"Mesobacillus maritimus",Mesobacillus,maritimus,1
140964,0711P9-1,"MCCC 1A05942, KCTC 33717, LMG 28877, NBRC 113918, CIP 111457",1,1,"Bacillus mobilis",Bacillus,mobilis,1
1093,RO-H-1,"DSM 9205, ATCC 51516, NRRL B-14698, JCM 12230, BCRC 17124, CIP 104095, IFO 15718, KCTC 3706, LMG 17797, NBRC 15718, NCIMB 13391, VTT E-011771",1,1,"Bacillus mojavensis",Bacillus,mojavensis,1
745,"273, NRS-273","DSM 2048, ATCC 6462, CCUG 26678, NRRL B-14799, NCTC 12974, LMG 7128, CIP 103472, NRRL B-14811",1,1,"Bacillus mycoides",Bacillus,mycoides,1
140523,,"CCUG 68786, NRRL B-41091",1,1,"Bacillus nakamurai",Bacillus,nakamurai,1
140967,4049,"MCCC 1A00732, KCTC 33713, LMG 28871, NBRC 113921, CIP 111460",1,1,"Bacillus nitratireducens",Bacillus,nitratireducens,1
140961,EB422,"MCCC 1A06182, KCTC 33858, CIP 111542, NBRC 113915",1,1,"Bacillus pacificus",Bacillus,pacificus,1
133957,RC2,"MTCC 9831, MCC 2100, KCTC 13724, CCM 7754, CIP 110697",1,1,"Priestia paraflexa",Priestia,paraflexa,1
140968,NH24A2,"MCCC 1A04098, KCTC 33709, LMG 28876, NBRC 113922, CIP 111461",1,1,"Bacillus paramycoides",Bacillus,paramycoides,0
140960,Mn5,"MCCC 1A00395, KCTC 33714, LMG 28873, NBRC 113914, CIP 111454",1,1,"Bacillus paranthracis",Bacillus,paranthracis,1
140881,NR1-3-2,"JCM 19598, LMG 28281, PCU 340, TISTR 2295",1,1,"Bacillus piscicola",Bacillus,piscicola,1
