ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,species_epithet,"Incubation period (in days)"
12522,MT01,"DSM 23225, CCUG 56610, JCM 15148, KCTC 15147",1,1,"Butyricimonas synergistica",Butyricimonas,synergistica,"2 days"
12523,MT12,"DSM 23226, CCUG 56611, JCM 15149, KCTC 15148",1,1,"Butyricimonas virosa",Butyricimonas,virosa,"2 days"
156584,,"CCUG 63063, LMG 22940",1,1,"Caballeronia choica",Caballeronia,choica,">3 days"
156716,,"CCUG 64368, LMG 27620",1,1,"Caballeronia cordobensis",Caballeronia,cordobensis,"1 day"
22942,R27,"DSM 25160, CGMCC 1.11013, LMG 27580",1,1,"Caballeronia grimmiae",Caballeronia,grimmiae,"1-2 days"
131318,JC2949,"DSM 100850, JCM 19905, KACC 17925",1,1,"Caballeronia megalochromosomata",Caballeronia,megalochromosomata,"1-2 days"
1962,"BL 011226, S5-B","DSM 17212, CCUG 49583, JCM 11778, KCTC 12081, CIP 108192, LMG 22029",1,1,"Caballeronia sordidicola",Caballeronia,sordidicola,"2 days"
23817,OP-1,"DSM 28073, CCTCC AB 2010354, KCTC 23300",1,1,"Caballeronia zhejiangensis",Caballeronia,zhejiangensis,"8-14 days"
14151,ARi-1,"DSM 16702, ATCC BAA-531, IFO 16725, JCM 11434, NBRC 16725, CCUG 56307, CIP 107959, KCTC 12110",1,1,"Caenibius tardaugens",Caenibius,tardaugens,"3 days"
,,,,,,,,"3-7 days"
166356,HX-9-20,"KCTC 72473, CCTCC AB 2019266",1,1,"Caenimonas sedimenti",Caenimonas,sedimenti,"7 days"
23873,SGM1-15,"DSM 27942, KACC 13365, NBRC 106341",1,1,"Caenimonas terrae",Caenimonas,terrae,"3-7 days"
18024,6A,"DSM 9545",1,1,"Caldicellulosiruptor acetigenus",Caldicellulosiruptor,acetigenus,"7 days"
17632,STL-6-01,"DSM 14535, JCM 11387, NBRC 104270",1,1,"Caldilinea aerophila",Caldilinea,aerophila,"3-7 days"
158567,,"KCTC 52714, CGMCC 1.16330, YIM 72346",1,1,"Caldovatus sediminis",Caldovatus,sediminis,"3 days"
140587,R161,"JCM 31558, KACC 18906, KEMB 9005-404",1,1,"Calidifontibacter terrae",Calidifontibacter,terrae,"5 days"
18088,SGL43,"DSM 23830, VKM B-2670",1,1,"Caloribacterium cisternae",Caloribacterium,cisternae,"3-7 days"
1674,"M 2040","DSM 22958, CCM 7696, CCUG 58638",1,1,"Camelimonas lactis",Camelimonas,lactis,"2 days"
158813,THG-YT1,"KACC 19471, CGMCC 1.16306",1,1,"Camelliibacillus cellulosilyticus",Camelliibacillus,cellulosilyticus,"5 days"
166274,CA656,"CCUG 73571, CIP 111675",1,1,"Campylobacter armoricus",Campylobacter,armoricus,"2 days"
133481,86/06,"LMG 24591, CCUG 56292",1,1,"Campylobacter avium",Campylobacter,avium,"5-7 days"
157235,,"LMG 30333, CCUG 71276",1,1,"Campylobacter blaseri",Campylobacter,blaseri,"1 day"
2139,L266,"DSM 22948, CCUG 54429, LMG 24001, LMG 54429, KCTC 15211",1,1,"Campylobacter canadensis",Campylobacter,canadensis,"1-2 days"
2103,"Brussels, 1407","DSM 4689, ATCC 33559, CCM 7376, CCUG 11283, CIP 7080, LMG 6440, NCTC 11366, JCM 2529, CCUG 14540, LMG 15999, LMG 8847, CIP 70.80, WDCM 00072, CECT 8205",1,1,"Campylobacter coli",Campylobacter,coli,"1-2 days"
2119,,"DSM 9716, ATCC 33237, CCUG 13144, DSM 5360, FDC 484, LMG 7788, NCTC 11485, LMG 6441, CIP 103757",1,1,"Campylobacter concisus",Campylobacter,concisus,"1-2 days"
2140,150B,"CIP 110020, DSM 23162, CCUG 56289, LMG 24588",1,1,"Campylobacter cuniculorum",Campylobacter,cuniculorum,"3 days"
2120,"mouton 1","CCUG 6823 A, DSM 5361, ATCC 27374, CCUG 6823, CIP 5396, LMG 6442, NCTC 10842, CIP 53.96, JCM 2527",1,1,"Campylobacter fetus",Campylobacter,fetus,"1-2 days"
2134,X/161/5,"DSM 18826, ATCC 19438, CIP 68.29, JCM 2528, NCTC 10354, CCUG 33899, LMG 6443, NCDO 1876",1,1,"Campylobacter fetus subsp. venerealis",Campylobacter,fetus,"1-2 days"
140238,RC20,"DSM 102159, LMG 29375",1,1,"Campylobacter geochelonis",Campylobacter,geochelonis,"2 days"
2133,,"DSM 19528, ATCC 33236, JCM 8538, CCUG 27720, NCTC 12738, FDC 1084, KCTC 15224",1,1,"Campylobacter gracilis",Campylobacter,gracilis,"3-7 days"
133218,HV10,"NCTC 13823, CIP 111092",1,1,"Campylobacter hepaticus",Campylobacter,hepaticus,"3 days"
2138,CH001A,"DSM 21671, CCUG 45161, CIP 107682, LMG 19568, NCTC 13146",1,1,"Campylobacter hominis",Campylobacter,hominis,"2-3 days"
,,,,,,,,">3 days"
2137,80-4577-4,"DSM 19053, ATCC 35217, CCUG 14169, CIP 103750, LMG 7817, NCTC 11608, LMG 6445, CIP 103746",1,1,"Campylobacter hyointestinalis subsp. hyointestinalis",Campylobacter,hyointestinalis,"1-2 days"
,,,,,,,,"2 days"
2121,91,"DSM 4688, ATCC 33560, CCUG 11284, CIP 702, NCTC 11351, LMG 6444, JCM 32890, CIP 70.2, LMG 8841",1,1,"Campylobacter jejuni",Campylobacter,jejuni,"1-2 days"
131136,,"DSM 101946, NCTC 13004, CCUG 44467, CIP 106785",1,1,"Campylobacter lanienae",Campylobacter,lanienae,"1-2 days"
,,,,,,,,"2-4 days"
154934,,"CCUG 55786, LMG 21009",1,1,"Campylobacter lari subsp. concheus",Campylobacter,lari,"3 days"
2131,,"DSM 11375, ATCC 35221, CCUG 10773, CCUG 23947, CIP 102722, JCM 2530, LMG 8846, NCTC 11352, WRI 3034/77, JCM 14870, CCM 4897, LMG 7605, WDCM 00204",1,1,"Campylobacter lari",Campylobacter,lari,"1-2 days"
2135,"FS253/72, 253/72","DSM 21682, ATCC 43264, CCUG 6822, CIP 103750, NCTC 11000, LMG 6448, LMG 6449",1,1,"Campylobacter mucosalis",Campylobacter,mucosalis,"1-2 days"
155317,,"CCUG 57310",1,1,"Campylobacter oricanis",Campylobacter,oricanis,"2 days"
140602,WBE38,"CECT 9147, LMG 29815, CCUG 69482",1,1,"Campylobacter ornithocola",Campylobacter,ornithocola,"2 days"
154935,,"CCUG 55787, LMG 23910",1,1,"Campylobacter peloridis",Campylobacter,peloridis,"3 days"
140488,,"CCUG 69570, LMG 29472, RM 17260, DSM 112337",1,1,"Campylobacter pinnipediorum",Campylobacter,pinnipediorum,"3 days"
2127,,"DSM 3260, ATCC 33238, CCUG 20446 B, NCTC 11489, FDC 371, JCM 6301, CCUG 20446, CIP 103748, LMG 7613",1,1,"Campylobacter rectus",Campylobacter,rectus,"3 days"
,,,,,,,,"3-7 days"
2136,"SU A4","DSM 19458, ATCC 51146, CCUG 30254, JCM 12989, CIP 103970, KCTC 15202, LMG 12635",1,1,"Campylobacter showae",Campylobacter,showae,"1-2 days"
2125,"Paris, Waterleo","DSM 5363, ATCC 33562, CCUG 11289, CIP 53.103, LMG 6447, NCTC 11367, CIP 53103, KCTC 15210",1,1,"Campylobacter sputorum subsp. bubulus",Campylobacter,sputorum,"2-3 days"
2130,S-17,"LMG 7795, LMG 6450, KCTC 15215, DSM 10535, ATCC 35980, CCUG 9728, CIP 103749, NCTC 11528, KCTC 2682, VPI S-17",1,1,"Campylobacter sputorum",Campylobacter,sputorum,"2 days"
156370,,"CCUG 61328",1,1,"Campylobacter troglodytis",Campylobacter,troglodytis,"3-5 days"
2126,"Ursing C231, C231","LMG 7796, KCTC 15213, DSM 5365, ATCC 43954, CCUG 14913, LMG 8850, NCTC 11541, CIP 103681",1,1,"Campylobacter upsaliensis",Campylobacter,upsaliensis,"1-2 days"
2102,EDMH-1,"DSM 20703, ATCC 33387, CCUG 7319, LMG 6451, NCTC 10941",1,1,"Campylobacter ureolyticus",Campylobacter,ureolyticus,"1-2 days"
,,,,,,,,"2-3 days"
2141,,"DSM 25354, CCUG 57498, LMG 24380",1,1,"Campylobacter volucris",Campylobacter,volucris,"1-2 days"
,,,,,,,,"2 days"
157209,,"CCUG 70587",1,1,"Campylobacter vulpis",Campylobacter,vulpis,"2-3 days"
24298,UWE25,"DSM 27361, ATCC PRA-7",1,1,"Protochlamydia amoebophila",Protochlamydia,amoebophila,"2-3 days"
23844,15C,"DSM 27522",1,1,"Rhabdochlamydia porcellionis",Rhabdochlamydia,porcellionis,"8-14 days"
24190,,"DSM 27064, CCUG 64069, IMMIB Q2029717",1,1,"Canibacter oris",Canibacter,oris,"2 days"
5493,"2340-2-61, 7120","DSM 19204, ATCC 35979, CCTM La 3498, CCUG 53895, CDC 7120, CIP 103936, NCTC 12242",1,1,"Capnocytophaga canimorsus",Capnocytophaga,canimorsus,"3-7 days"
5494,"79120329, E6447","MCCM 00247, LMG 11513, MCCM 00265, LMG 11540, DSM 19736, ATCC 49044, CCUG 24742, CIP 103937, NCTC 12243, CCTM La 3495",1,1,"Capnocytophaga cynodegmi",Capnocytophaga,cynodegmi,"2-3 days"
5496,,"DSM 22849, CCUG 51856, NCTC 13374, AHN 8471",1,1,"Capnocytophaga genospecies AHN8471",Capnocytophaga,"genospecies AHN8471","2 days"
5487,"27, 927-3","DSM 3290, ATCC 33624, CCUG 9715, NCTC 12372, LMG 11514, CIP 102945, JCM 12953, CCM 3710",1,1,"Capnocytophaga gingivalis",Capnocytophaga,gingivalis,"2 days"
5495,,"DSM 22902, CCUG 51857, NCTC 13375, AHN 8855",1,1,"Capnocytophaga leadbetteri",Capnocytophaga,leadbetteri,"2 days"
5488,SS31,"CCUG 9716, NCTC 12371, CIP 103448, DSM 7271, ATCC 27872, JCM 12966, VPI 2845, KCTC 5787",1,1,"Capnocytophaga ochracea",Capnocytophaga,ochracea,"2-3 days"
5490,4,"CCUG 9714, NCTC 11653, LMG 11518, CIP 104301, DSM 7273, ATCC 33612, CIP 110086, DSM 3292, JCM 12967, VPI 12913",1,1,"Capnocytophaga sputigena",Capnocytophaga,sputigena,"2 days"
,,,,,,,,"3-7 days"
16809,,"DSM 21830, VKM B-2561, SET IS-9",1,1,"Carboxydothermus islandicus",Carboxydothermus,islandicus,"3-7 days"
133257,Q15,"CICC 23923, KCTC 42707",1,1,"Carboxylicivirga flava",Carboxylicivirga,flava,"3 days"
158815,JR1,"MCCC 1K03323, KCTC 52869",1,1,"Carboxylicivirga sediminis",Carboxylicivirga,sediminis,"2.5 days"
2234,,"DSM 17211, ATCC BAA-694, CCUG 48245, CIP 108480, MDA 3079, NCTC 13294",1,1,"Cardiobacterium valvarum",Cardiobacterium,valvarum,"2-3 days"
164552,SCR17,"JCM 33426, MCCC 1K03732",1,1,"Carideicomes alvinocaridis",Carideicomes,alvinocaridis,"2 days"
158403,CP-1,"DSM 103363, CGMCC 1.15643",1,1,"Carnobacterium antarcticum",Carnobacterium,antarcticum,"3 days"
2264,pf3,"CCUG 34644, IFO 15549, DSM 5970, ACAM 312, ATCC 49836, JCM 12499, CIP 106503, LMG 13519, LMG 14461, NBRC 15549, NCFB 3002, NCIMB 13247",1,1,"Carnobacterium funditum",Carnobacterium,funditum,"2-4 days"
23826,,"DSM 28070, CCUG 62000, LMG 26642, JCM 31128",1,1,"Carnobacterium iners",Carnobacterium,iners,"3-4 days"
,,,,,,,,"3-7 days"
158759,CC-YTH191,"BCRC 81023, JCM 31755",1,1,"Castellaniella fermenti",Castellaniella,fermenti,"2 days"
350,,"DSM 23970, JCM 15515, KCTC 22398, DCY 36",1,1,"Castellaniella ginsengisoli",Castellaniella,ginsengisoli,"3 days"
7856,2-70(23),"DSM 44899, JCM 12949, NBRC 107357, CGMCC 4.5498, CIP 109161",1,1,"Catellatospora bangladeshensis",Catellatospora,bangladeshensis,"10-14 days"
7857,2-25(1),"DSM 44900, JCM 12950, NBRC 107358, CGMCC 4.5499, CIP 109162",1,1,"Catellatospora chokoriensis",Catellatospora,chokoriensis,"10-14 days"
139755,CG19-1,"DSM 106146, CCUG 71490, JCM 33534",1,1,"Catenibacillus scindens",Catenibacillus,scindens,"4 days"
140748,D2,"KCTC 42869, MCCC 1H00129",1,1,"Catenovulum sediminis",Catenovulum,sediminis,"1 day"
17637,Aac-30,"DSM 44948, JCM 16000, NBRC 101179",1,1,"Catenulispora rubra",Catenulispora,rubra,"10-14 days"
7862,RA332,"DSM 44707, ATCC 700015, IFO 15579, NBRC 15579, JCM 9535, CGMCC 4.5558, IMSNU 22012, VKM Ac-1972",1,1,"Catenuloplanes atrovinosus",Catenuloplanes,atrovinosus,"10-14 days"
7863,RA344,"DSM 44708, ATCC 700016, IFO 15584, NBRC 15584, JCM 9537, CGMCC 4.5505, IMSNU 22097, VKM Ac-1973",1,1,"Catenuloplanes castaneus",Catenuloplanes,castaneus,"10-14 days"
7861,,"DSM 44128, NCB 1173, IPV 2867, JCM 9312, ATCC 51431, CGMCC 4.2095, IFO 15622, NBRC 15622, VKM Ac-1992",1,1,"Catenuloplanes crispus",Catenuloplanes,crispus,"10-14 days"
7864,RA328,"DSM 44709, ATCC 700014, IFO 15575, NBRC 15575, JCM 9534, CGMCC 4.5556, IMSNU 22099, VKM Ac-1999",1,1,"Catenuloplanes indicus",Catenuloplanes,indicus,"10-14 days"
7865,RA343,"DSM 44710, ATCC 700017, IFO 15583, NBRC 15583, JCM 9536, CGMCC 4.5562, IMSNU 22110, VKM Ac-1996",1,1,"Catenuloplanes nepalensis",Catenuloplanes,nepalensis,"10-14 days"
7866,"FD 26428, N406-14","DSM 44711, ATCC 31638, IFO 14177, NBRC 14177, JCM 9533, CGMCC 4.5501, IMSNU 22111, VKM Ac-1964",1,1,"Catenuloplanes niger",Catenuloplanes,niger,"10-14 days"
2326,,"DSM 4730, ATCC 15253, CCUG 49339, LMG 18392, CB 4, CIP 106446",1,1,"Caulobacter henricii",Caulobacter,henricii,"3 days"
2338,,"DSM 21795, CCUG 55073, LMG 24261, FWC 38",1,1,"Caulobacter mirabilis",Caulobacter,mirabilis,"2 days"
140608,7F14,"CGMCC 1.15915, KCTC 52515",1,1,"Caulobacter rhizosphaerae",Caulobacter,rhizosphaerae,"2 days"
132488,,"DSM 101949, CCUG 39713",1,1,"Caviibacter abscessus",Caviibacter,abscessus,"5 days"
158348,7.3,"DSM 105478, CCUG 16493",1,1,"Caviibacterium pharyngocola",Caviibacterium,pharyngocola,"1 day"
133802,LW9,"CCUG 58316, KCTC 22772",1,1,"Cecembia lonarensis",Cecembia,lonarensis,"2 days"
23239,L-6,"DSM 27375, CCUG 60799, KCTC 23497",1,1,"Celeribacter baekdonensis",Celeribacter,baekdonensis,"1-2 days"
,,,,,,,,"2-3 days"
130642,P73,"DSM 27257, LMG 27600, MCCC 1A01112",1,1,"Celeribacter indicus",Celeribacter,indicus,"2-3 days"
130641,,"DSM 100036, IMCC 12053, KACC 17482, NBRC 109702",1,1,"Celeribacter marinus",Celeribacter,marinus,"2-3 days"
13855,"H 14, H14","DSM 26471, CIP 109922, KMM 6012",1,1,"Celeribacter neptunius",Celeribacter,neptunius,"2-3 days"
140857,SBU1,"MCCC 1A00672, DSM 100434",1,1,"Celeribacter persicus",Celeribacter,persicus,"3 days"
2350,"127, NRS-127","DSM 20112, ATCC 486, NCDO 1654, NCIB 8077, CCUG 58054, JCM 1340, LMG 16695, CIP 82.11, NCIMB 8077, BCRC 14864, CFBP 4269, CGMCC 1.1899, IAM 12106, IFM 10509, IFO 12680, IMET 10473, KCCM 40760, KCTC 1370, NBRC 12680, NCAIM B.01385, VKM Ac-1410, NCTC 10823",1,1,"Cellulomonas biazotea",Cellulomonas,biazotea,"10-14 days"
2369,69B4,"DSM 16987, CIP 108683, JCM 30720",1,1,"Cellulomonas bogoriensis",Cellulomonas,bogoriensis,"10-14 days"
2351,"124, NRS-124","DSM 20118, ATCC 487, CCM 1925, NCIB 8078, JCM 9967, BCRC 14865, CFBP 4260, CIP 102222, IFO 3753, IFO 3774, KCCM 12154, KCTC 3410, LMG 16323, NBRC 3753, NBRC 3774, NCCB 29015, NCIMB 8078, VKM Ac-1136",1,1,"Cellulomonas cellasea",Cellulomonas,cellasea,"10-14 days"
2372,XBU-b,"DSM 17922, KCTC 19133, JCM 16927, NBRC 110799",1,1,"Cellulomonas chitinilytica",Cellulomonas,chitinilytica,"10-14 days"
2352,"133, NRS-133","DSM 20113, ATCC 484, NCIB 8980, NCTC 7547, CCUG 24087, JCM 1341, BCRC 14867, CECT 4283, CFBP 4254, CGMCC 1.1900, CIP 102114, HAMBI 93, IAM 12107, IFO 15513, IMET 10687, KCTC 1436, LMG 16345, NBRC 15513, NCAIM B.01386, NCCB 29016, NCIMB 11341, NCIMB 8980, VKM Ac-1411, VTT E-93020",1,1,"Cellulomonas fimi",Cellulomonas,fimi,"10-14 days"
2354,"134, NRS-134","DSM 20109, ATCC 482, CCM 1926, NCIB 8073, CCUG 28996, JCM 18109, BCRC 11376, BUCSAV 180, CCUG 12162, CFBP 4223, CGMCC 1.1914, CIP 82.10, IAM 12109, IFO 3754, IFO 3775, IMET 10357, IMSNU 21278, JCM 1489, JCM 20412, KCCM 21192, KCTC 1038, KCTC 9104, LMG 16263, NBRC 3754, NBRC 3775, NCAIM B.01383, NCIMB 8073, PCM 2333, VKM Ac-1137, CCUG 23578",1,1,"Cellulomonas flavigena",Cellulomonas,flavigena,"10-14 days"
2356,"126, NRS-126","DSM 20111, ATCC 488, NCIB 8076, JCM 1490, BCRC 11370, CFBP 4257, CGMCC 1.1915, CIP 102221, IAM 12110, IFO 3748, IMET 11078, IMSNU 20370, KCCM 40762, KCTC 1439, KCTC 3231, LMG 16697, NBRC 3748, NCIMB 8076, IFO 3478",1,1,"Cellulomonas gelida",Cellulomonas,gelida,"10-14 days"
2360,,"DSM 9581, CCUG 34783, ATCC 51964, LMG 17240, CIP 104574, NBRC 16055, JCM 12133, DMMZ CE40, CCM 4572, IFM 10516, IFO 16055, KCTC 9982, DMMZ 40",1,1,"Cellulomonas hominis",Cellulomonas,hominis,"10-14 days"
159213,,"DSM 105430, KCTC 39974, CPCC 204705",1,1,"Cellulomonas telluris",Cellulomonas,telluris,"4 days"
2357,"136, NRS-136","DSM 20107, ATCC 491, NCIB 8200, JCM 1492, BCRC 14868, CCUG 24088, CECT 4284, CFBP 4256, CGMCC 1.1916, CIP 102089, IAM 12111, IFO 3747, KCCM 12156, KCTC 1441, LMG 16327, NBRC 3747, NCAIM B.01382, NCIMB 8200, NRRL B-404, VKM Ac-1140",1,1,"Cellulomonas uda",Cellulomonas,uda,"10-14 days"
5501,NN015840,"DSM 24729, ATCC 700862, CIP 106307, LMG 18535, NCIMB 13610",1,1,"Cellulophaga baltica",Cellulophaga,baltica,"1-2 days"
5502,NN015860,"DSM 24786, ATCC 700863, CIP 106308, JCM 21778, LMG 18536, NCIMB 13611, IAM 15330",1,1,"Cellulophaga fucicola",Cellulophaga,fucicola,"1-2 days"
133730,M-M6,"KCTC 23498, CCUG 60801",1,1,"Cellulophaga geojensis",Cellulophaga,geojensis,"1-2 days"
12581,"C8821, W6122","DSM 16025, ATCC BAA-886, CCUG 50705, JCM 14302, CIP 108915, NBRC 104118, VTT E-072700",1,1,"Cellulosimicrobium funkei",Cellulosimicrobium,funkei,"10-14 days"
140697,MVW-40,"BCRC 80977, LMG 29557, KCTC 52237",1,1,"Cellvibrio fontiphilus",Cellvibrio,fontiphilus,"3 days"
17118,"LL 2383","DSM 2778, ATCC 35019, CIP 105322, CCUG 44586",1,1,"Centipeda periodontii",Centipeda,periodontii,"3 days"
13812,,"DSM 158, ATCC 17023, IAM 14237, NCIB 8253, CCUG 31486, ATCC 11167, LMG 2827, ATCC 14690, CIP 60.6, ATH 2.4.1, JCM 6121, BCRC 16407, CECT 300, CGMCC 1.1737, CGMCC 1.3368, IFO 12203, KCTC 1434, NBRC 12203, NCIMB 8253, NCIMB 8287",1,1,"Cereibacter sphaeroides",Cereibacter,sphaeroides,"3 days"
166151,PRB40,"MCC 3406, GDMCC 1.1197, KCTC 52678, LMG 29985",1,1,"Chakrabartia godavariana",Chakrabartia,godavariana,"7 days"
158533,SM1355,"JCM 30336, CCTCC AB 2014246",1,1,"Changchengzhania lutea",Changchengzhania,lutea,"3-5 days"
132550,RB-25,"DSM 28811, LMG 28304",1,1,"Chania multitudinisentens",Chania,multitudinisentens,"1 day"
133085,PC-2,"DSM 101465, CGMCC 1.15283",1,1,"Chelatococcus composti",Chelatococcus,composti,"2 days"
1654,K106,"DSM 22069, CCUG 54519, KCTC 12979",1,1,"Chelatococcus daeguensis",Chelatococcus,daeguensis,"2 days"
,,,,,,,,"3 days"
133219,B2974,"DSM 105737, JCM 30308, CGMCC 1.12919",1,1,"Chelatococcus reniformis",Chelatococcus,reniformis,"4-5 days"
1653,HT4,"DSM 18167, JCM 14988",1,1,"Chelatococcus sambhunathii",Chelatococcus,sambhunathii,"3 days"
132989,,"DSM 100641, CCTCC AB 2015175, KCTC 42661, CHL 1",1,1,"Chenggangzhangella methanolivorans",Chenggangzhangella,methanolivorans,"3 days"
166177,YPA3-1-1,"MCCC 1A14042, KCTC 43019",1,1,"Chengkuizengella marina",Chengkuizengella,marina,"2 days"
140684,J15A17,"KCTC 33759, MCCC 1H00137",1,1,"Chengkuizengella sediminis",Chengkuizengella,sediminis,"2 days"
133181,STM-7,"BCRC 80923, LMG 29289, KCTC 42982, DSM 107335",1,1,"Chitinibacter fontanus",Chitinibacter,fontanus,"2 days"
158568,H2,"KCTC 52574, LMG 29894",1,1,"Chitinimonas lacunae",Chitinimonas,lacunae,"2 days"
130839,ACht1,"DSM 24538, UNIQEM U887",1,1,"Chitinivibrio alkaliphilus",Chitinivibrio,alkaliphilus,"2-3 days"
166466,T22,"ACCC 60125, KCTC 62518",1,1,"Chitinophaga alhagiae",Chitinophaga,alhagiae,"2 days"
159860,13,"CICC 24262, KCTC 62265",1,1,"Chitinophaga caeni",Chitinophaga,caeni,"3 days"
166493,XJ-2,"KCTC 62443, CCTCC AB 2018019",1,1,"Chitinophaga deserti",Chitinophaga,deserti,"3 days"
17744,"Fx e1","CCUG 12809, CIP 106401, DSM 527, ATCC 29495, IAM 14320, IFO 15056, NBRC 15056, JCM 21160, HAMBI 1966, LMG 23482, NCIMB 13250, VKM B-1400",1,1,"Chitinophaga filiformis",Chitinophaga,filiformis,"1-2 days"
166525,ZY74,"CCTCC AB 2018369, KCTC 72039",1,1,"Chitinophaga lutea",Chitinophaga,lutea,"3 days"
17750,JS13-10,"DSM 24787, JCM 15440, KACC 12952, NBRC 106412, UCCCB101",1,1,"Chitinophaga niabensis",Chitinophaga,niabensis,"2-3 days"
17751,JS16-4,"DSM 24859, JCM 15441, KACC 12954",1,1,"Chitinophaga niastensis",Chitinophaga,niastensis,"3-7 days"
159794,LY-1,"CCTCC AB 2018018, KCTC 62444",1,1,"Chitinophaga parva",Chitinophaga,parva,"2 days"
140711,TFL-3,"ACCC 19966, KCTC 52590",1,1,"Chitinophaga sedimenti",Chitinophaga,sedimenti,"3 days"
159706,10-7W-9003,"GDMCC 1.1252, KACC 19415, KCTC 52926",1,1,"Chitinophaga varians",Chitinophaga,varians,"2 days"
23841,"B577, Ov/B577","DSM 27654, ATCC VR-656",1,1,"Chlamydia abortus",Chlamydia,abortus,"3-7 days"
23842,"03DC25, GPIC","DSM 19441, ATCC VR-813",1,1,"Chlamydophila caviae",Chlamydophila,caviae,"3-7 days"
22958,"Fe/Pn-1, FP Baker","DSM 26967, ATCC VR-120",1,1,"Chlamydia felis",Chlamydia,felis,"3-7 days"
23837,"03DC39, DC39, MoPn","DSM 28544",1,1,"Chlamydia muridarum",Chlamydia,muridarum,"3-7 days"
130242,"Bo/E58, E58, 14DC102","DSM 29919, ATCC VR-628",1,1,"Chlamydia pecorum",Chlamydia,pecorum,"8-14 days"
2391,HAR-13,"DSM 19440, ATCC VR-571B",1,1,"Chlamydia trachomatis",Chlamydia,trachomatis,"3-7 days"
24768,"HKU 16, HKU16","DSM 18959, CCUG 54229, JCM 17853, KCTC 15500",1,1,"Christensenella hongkongensis",Christensenella,hongkongensis,"2-3 days"
,,,,,,,,"3 days"
10453,CC-SEYA-1,"DSM 19852, BCRC 17769, CCUG 55175",1,1,"Chromobacterium aquaticum",Chromobacterium,aquaticum,"1-2 days"
164146,,"JCM 31884, NRRL B-67132, IIBBL 112-1",1,1,"Chromobacterium phragmitis",Chromobacterium,phragmitis,"2 days"
133161,,"LAM 1188, ACCC 19900, JCM 31180",1,1,"Chromobacterium rhizoryzae",Chromobacterium,rhizoryzae,"1 day"
6000,LV4,"DSM 15547, ATCC BAA-761, CCUG 47987, CIP 108589",1,1,"Chromohalobacter sarecensis",Chromohalobacter,sarecensis,"4 days"
23025,CC-VM-7,"DSM 25208, CCM 7645, CCUG 57618, CIP 110186, DSM 22218",1,1,"Chryseobacterium arthrosphaerae",Chryseobacterium,arthrosphaerae,"1 day"
159792,F30,"KCTC 62135, MCCC 1K03457",1,1,"Chryseobacterium aurantiacum",Chryseobacterium,aurantiacum,"3 days"
164468,17S1E7,"JCM 33165, KACC 19920",1,1,"Chryseobacterium aureum",Chryseobacterium,aureum,"1 day"
167682,lm2,"KCTC 72529, CCTCC AB 2019126",1,1,"Chryseobacterium binzhouense",Chryseobacterium,binzhouense,"2 days"
168572,JC507,"MCC 4072, NBRC 113872, KCTC 52928",1,1,"Chryseobacterium candidae",Chryseobacterium,candidae,"7 days"
5677,CPW406,"DSM 15235, CCUG 52896, KCTC 12088, NBRC 102008, CIP 110173",1,1,"Chryseobacterium daecheongense",Chryseobacterium,daecheongense,"2 days"
133361,CC-YTH209,"BCRC 80938, JCM 31226",1,1,"Chryseobacterium endophyticum",Chryseobacterium,endophyticum,"2 days"
132418,D07,"DSM 100383, CCTCC AB 2011160, KCTC 42897",1,1,"Chryseobacterium frigidum",Chryseobacterium,frigidum,"2 days"
158632,,"MTCC 12457, JCM 31156, KACC 19170, IHBB 10212",1,1,"Chryseobacterium glaciei",Chryseobacterium,glaciei,"2 days"
133143,WG4,"KCTC 52204, CCTCC AB 2016058",1,1,"Chryseobacterium montanum",Chryseobacterium,montanum,"3 days"
164558,CA10,"JCM 33443, KACC 21234",1,1,"Chryseobacterium mulctrae",Chryseobacterium,mulctrae,"2 days"
133365,C-5-3,"KEMB 9005-411, KACC 18907, JCM 31469",1,1,"Chryseobacterium nepalense",Chryseobacterium,nepalense,"3 days"
130330,CT348,"DSM 25575, CCUG 63020",1,1,"Chryseobacterium oleae",Chryseobacterium,oleae,"1 day"
166185,7_F195,"LMG 30781, KCTC 62760",1,1,"Chryseobacterium pennipullorum",Chryseobacterium,pennipullorum,"2 days"
5712,CTM,"DSM 22249, ATCC BAA-1782, CCUG 57707, JCM 15960, KCTC 23267",1,1,"Chryseobacterium piperi",Chryseobacterium,piperi,"1 day"
164701,"NBC 122","JCM 33980, KCTC 72248",1,1,"Chryseobacterium salivictor",Chryseobacterium,salivictor,"5 days"
23023,,"DSM 25206, CCUG 50970, LMG 22846, CIP 108934",1,1,"Chryseobacterium vrystaatense",Chryseobacterium,vrystaatense,"1 day"
141028,THG-T1.18,"KACC 18929, CCTCC AB 2016179",1,1,"Chryseomicrobium deserti",Chryseomicrobium,deserti,"2 days"
159857,ET03,"KCTC 33943, LMG 30119, JCM 32415, MCC 3378",1,1,"Chryseomicrobium excrementi",Chryseomicrobium,excrementi,"<1 day"
163760,Ys,"JCM 30318, LMG 30359",1,1,"Chryseotalea sanaruensis",Chryseotalea,sanaruensis,"5 days"
133409,ED7,"JCM 30603, KCTC 42450",1,1,"Chthonobacter albigriseus",Chthonobacter,albigriseus,"3 days"
