ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,Kind of utilization tested,Utilization activity,Metabolite (utilization)
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,D-ribose
,,,,,,fermentation,+,glycogen
,,,,,,fermentation,+,maltose
,,,,,,fermentation,+,sucrose
7315,2Y-12,"DSM 20542, ATCC 15830, CCM 2298, NCIB 11029, CCUG 23848, IAM 1632, JCM 1480, BCRC 12127, CGMCC 1.1913, CIP 102694, IAM 15150, IAM 1623, IFO 12676, IMET 10360, KCCM 12167, KCTC 3493, LMG 8787, NBRC 12676, NCCB 71046, NCIMB 11029, VKM Ac-2188, VKM B-1210",1,1,Curtobacterium luteum,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,D-ribose
,,,,,,fermentation,+,lactose
,,,,,,fermentation,+,maltose
12636,,"LMG 16711, DSM 1897, ATCC 6919, CCUG 1794, JCM 6425, KCTC 3314, NCTC 737, BCRC 10723, CECT 5684, CGMCC 1.5003, CIP 53.117, KCTC 5008, LMG 3591, NBRC 107605, NRRL B-4224, VKM Ac-1450, VPI 0389",1,1,Cutibacterium acnes subsp. acnes,fermentation,+,glucose
,,,,,,fermentation,+,glycerol
,,,,,,fermentation,+,sorbitol
133242,,"ATCC 11828, JCM 6473, CCUG 6369, BCRC 16146, KCTC 3320, VPI 0391",1,1,Cutibacterium acnes subsp. defendens,fermentation,+,D-ribose
,,,,,,fermentation,+,glycerol
,,,,,,fermentation,+,ribose
12641,1689B,"DSM 4901, ATCC 25577, CCUG 36754, VPI 0179, CIP 103261, NCDO 2585, NCTC 11864, PCM 2467, NBRC 15671",1,1,Cutibacterium avidum,fermentation,+,D-mannose
158924,M12,"DSM 109769, JCM 33380",1,1,Cutibacterium modestum,fermentation,+,D-mannose
159049,WCA-380-WT-3A,"DSM 101006, JCM 34386",1,1,Cutibacterium porci,fermentation,+,D-mannose
675,"613, original","DSM 12, ATCC 14575, CCM 2213, JCM 2512, NCIB 9366, NCTC 10335, CCUG 7418, NRS 613, BCRC 11730, CECT 14, CIP 52.70, IAM 12464, IAM 14179, IFO 15306, KCTC 3626, LMG 7125, NBRC 15306, NCIMB 9366, NRRL B-14307, NRRL NRS-613, VKM B-498, VTT E-97061, NCDO 1762",1,1,Cytobacillus firmus,fermentation,+,D-mannitol
,,,,,,fermentation,+,maltose
,,,,,,fermentation,+,sucrose
130442,NEAU-TPG4,"DSM 46712, CGMCC 4.7152, JCM 31767",1,1,Dactylosporangium cerinum,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,D-xylose
140265,A6,"DSM 28090, ACCC 19951",1,1,Defluviitalea raffinosedens,fermentation,+,cellobiose
,,,,,,fermentation,+,D-arabinose
,,,,,,fermentation,+,D-fructose
,,,,,,fermentation,+,D-galactose
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannose
,,,,,,fermentation,+,D-ribose
,,,,,,fermentation,+,D-xylose
,,,,,,fermentation,+,lactose
,,,,,,fermentation,+,maltose
17838,"RODXS3, SV 45","DSM 19970, LMG 24795, NBRC 106155, JCM 17019",1,1,Demequina lutea,fermentation,+,D-glucose
,,,,,,fermentation,+,D-xylose
,,,,,,fermentation,+,sucrose
17839,KV-810,"DSM 22060, NBRC 105323",1,1,Demequina salsinemoris,fermentation,+,D-glucose
3918,"S69, S-69","DSM 7083, ATCC 49369, NCFB 2769, CCUG 32998, JCM 7448, CCM 4122, CECT 4165, CIP 105144, IFM 10528, IMSNU 21318, NBRC 106157, NCIMB 13131",1,1,Dermabacter hominis,fermentation,+,D-glucose
,,,,,,fermentation,+,glycogen
,,,,,,fermentation,+,maltose
,,,,,,fermentation,+,sucrose
132483,AD1-86,"DSM 100050, KCTC 39585",1,1,Dermabacter vaginalis,fermentation,+,raffinose
3925,MT2.1,"DSM 17574, CIP 109399, NCIMB 14081, CCUG 57203, JCM 14588, IFM 10799",1,1,Dermacoccus barathri,fermentation,+,sucrose
133076,,"DSM 29990, UNIQEM U994, Acr 1",1,1,Desulfitispora elongata,fermentation,+,crotonate
,,,,,,fermentation,+,pyruvate
133072,Prop6,"DSM 103420, JCM 31535",1,1,Desulfobulbus oligotrophicus,fermentation,+,lactate
,,,,,,fermentation,+,pyruvate
3984,PSv29,DSM 12344,1,1,Desulfofaba gelida,fermentation,+,fumarate
,,,,,,fermentation,+,pyruvate
3987,LSv21,DSM 12345,1,1,Desulfofrigus fragile,fermentation,+,malate
,,,,,,fermentation,+,pyruvate
3988,ASv26,DSM 12341,1,1,Desulfofrigus oceanense,fermentation,+,lactate
,,,,,,fermentation,+,malate
,,,,,,fermentation,+,pyruvate
4043,"HR100, HR<SUB>100</SUB>","DSM 5692, JCM 16813, ATCC 49708",1,1,Desulfohalobium retbaense,fermentation,+,pyruvate
132676,Bs105,"DSM 24088, JCM 31386",1,1,Desulforamulus aquiferis,fermentation,+,fructose
,,,,,,fermentation,+,fumarate
,,,,,,fermentation,+,pyruvate
132677,Bs107,"DSM 24093, JCM 31387",1,1,Desulforamulus profundi,fermentation,+,fumarate
,,,,,,fermentation,+,pyruvate
132391,MI-1,"DSM 100696, ATCC BAA-1160",1,1,Desulforamulus reducens,fermentation,+,pyruvate
140361,PL12,"DSM 103901, JCM 31728",1,1,Desulfosarcina alkanivorans,fermentation,+,fumarate
,,,,,,fermentation,+,lactate
,,,,,,fermentation,+,malate
140360,PP31,"DSM 103921, JCM 31729",1,1,Desulfosarcina widdelii,fermentation,+,fumarate
,,,,,,fermentation,+,malate
140297,63.6F,"DSM 101609, JCM 31106",1,1,Desulfosporosinus fructosivorans,fermentation,+,fructose
,,,,,,fermentation,+,glycerol
,,,,,,fermentation,+,malate
,,,,,,fermentation,+,pyruvate
4029,LSv514,DSM 12342,1,1,Desulfotalea arctica,fermentation,+,pyruvate
4030,LSv54,DSM 12343,1,1,Desulfotalea psychrophila,fermentation,+,fumarate
,,,,,,fermentation,+,pyruvate
158353,3408-1,"DSM 105356, VKM B-3183",1,1,Desulfothermobacter acidiphilus,fermentation,+,glucose
,,,,,,fermentation,+,maltose
,,,,,,fermentation,+,pyruvate
,,,,,,fermentation,+,sucrose
,,,,,,fermentation,+,yeast extract
140524,GSS09,"KCTC 15523, MCCC 1K01254",1,1,Desulforamulus ferrireducens,fermentation,+,fructose
,,,,,,fermentation,+,pyruvate
132457,TR1,"DSM 29984, JCM 30680",1,1,Desulfurella amilsii,fermentation,+,pyruvate
132926,,"DSM 105346, NCPPB 4580",1,1,Dickeya aquatica,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,L-rhamnose
,,,,,,fermentation,+,melibiose
,,,,,,fermentation,+,sucrose
4346,EC17,"CCUG 38766, LMG 2804, DSM 4610, ATCC 11663, CIP 82.99, DAR 35625, NCPPB 402, PDDCC 5703",1,1,Dickeya chrysanthemi,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,L-rhamnose
,,,,,,fermentation,+,melibiose
,,,,,,fermentation,+,myo-inositol
,,,,,,fermentation,+,sucrose
4350,B374,"DSM 18020, LMG 25991, NCPPB 898, CFBP 1269, CIP 109008, ICMP 1544, Hayward B374",1,1,Dickeya dadantii,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,L-rhamnose
,,,,,,fermentation,+,melibiose
,,,,,,fermentation,+,myo-inositol
,,,,,,fermentation,+,sucrose
4351,,"DSM 18054, CFBP 1200, ICMP 6427, LMG 2485, NCPPB 453, CN 26",1,1,Dickeya dianthicola,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,L-rhamnose
,,,,,,fermentation,+,melibiose
,,,,,,fermentation,+,sucrose
132585,JS5,"DSM 101947, CGMCC 1.15464",1,1,Dickeya fangzhongdai,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,L-rhamnose
,,,,,,fermentation,+,melibiose
,,,,,,fermentation,+,myo-inositol
,,,,,,fermentation,+,sucrose
4353,,"DSM 18069, ATCC 33242, CFBP 4178, CIP 109103, LMG 2542, NCPPB 2511",1,1,Musicola paradisiaca,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,L-rhamnose
,,,,,,fermentation,+,melibiose
,,,,,,fermentation,+,sucrose
23909,,"DSM 28711, LMG 25993, NCPPB 4479, IPO 2222",1,1,Dickeya solani,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,L-rhamnose
,,,,,,fermentation,+,melibiose
,,,,,,fermentation,+,sucrose
4352,Sr58,"DSM 18068, CFBP 2052, ICMP 5704, NCPPB 2538",1,1,Dickeya zeae,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,L-rhamnose
,,,,,,fermentation,+,melibiose
,,,,,,fermentation,+,myo-inositol
,,,,,,fermentation,+,sucrose
4265,72,"DSM 45698, JCM 16360, KACC 21126, NBRC 109780",1,1,Dietzia alimentaria,fermentation,+,sucrose
4260,,"DSM 45140, CCTCC AA 207016, JCM 16002, YIM 65002",1,1,Dietzia cercidiphylli,fermentation,+,sucrose
4258,K30-10,"DSM 44907, JCM 13325, MTCC 7007, CCUG 54952, BCRC 16834, CIP 109330, NBRC 105042, NCIMB 14304",1,1,Dietzia kunjamensis subsp. kunjamensis,fermentation,+,sucrose
4261,,"DSM 45139, CCTCC AA 207015, JCM 16003, YIM 65001",1,1,Dietzia kunjamensis subsp. schimae,fermentation,+,sucrose
229,2991-95,"DSM 15742, ATCC BAA-56, CCM 4936, CIP 106314, CCUG 39307",1,1,Dolosicoccus paucivorans,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,D-ribose
,,,,,,fermentation,+,D-xylose
,,,,,,fermentation,+,lactose
,,,,,,fermentation,+,maltose
,,,,,,fermentation,+,sucrose
164191,DM2,"JCM 32096, BCRC 81069",1,1,Dongshaea marina,fermentation,+,D-glucose
3777,"CP 183-8, CP183-8","DSM 16708, ATCC BAA-1036, KCTC 23639, CIP 109009, VTT E-072669",1,1,Dyadobacter crusticola,fermentation,+,D-galactose
,,,,,,fermentation,+,D-xylose
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,maltose
3776,"NS 114, NS114","DSM 18053, ATCC 700827, CIP 107007, KCTC 52180",1,1,Dyadobacter fermentans,fermentation,+,glucose
,,,,,,fermentation,+,sucrose
133376,4M-Z03,"NBRC 111980, KCTC 52131",1,1,Dyella acidisoli,fermentation,+,glucose
166465,4 G-K06,"LMG 30268, GDMCC 1.1188",1,1,Dyella monticola,fermentation,+,glucose
132260,HUA-2,"DSM 100214, HUT 8134",1,1,Dysgonomonas alginatilytica,fermentation,+,D-mannose
,,,,,,fermentation,+,raffinose
12516,,"DSM 22835, CCUG 17996, CIP 107043, LMG 11519, JCM 16697, CDC F9047",1,1,Dysgonomonas capnocytophagoides,fermentation,+,D-mannose
,,,,,,fermentation,+,raffinose
12515,,"DSM 22811, ATCC BAA-286, CCUG 42882, CIP 106420, JCM 16698",1,1,Dysgonomonas gadei,fermentation,+,D-mannose
132892,MX 1040,"DSM 104969, CCM 7606, CCUG 54731, JCM 17038",1,1,Dysgonomonas hofstadii,fermentation,+,D-mannose
130541,Dys-CH1,"DSM 27370, JCM 19375, KCTC 15501",1,1,Dysgonomonas macrotermitis,fermentation,+,D-mannose
12517,,"DSM 22836, CCUG 43457, CDC F9489, CIP 107079, JCM 16699",1,1,Dysgonomonas mossii,fermentation,+,D-mannose
,,,,,,fermentation,+,raffinose
132942,N-10,"DSM 104772, CCUG 66188, JCM 30204",1,1,Dysgonomonas termitidis,fermentation,+,D-mannose
,,,,,,fermentation,+,raffinose
17719,,"DSM 19836, KCTC 12368, KMM 6172, LMG 23350",1,1,Echinicola pacifica,fermentation,+,D-glucose
159869,4MSH08,"GDMCC 1.1317, KCTC 62475",1,1,Edaphobacter bradus,fermentation,+,glucose
159199,SYP-B2100,"DSM 105170, CGMCC 1.5857, KCTC 62024",1,1,Edaphovirga cremea,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,L-rhamnose
,,,,,,fermentation,+,sorbitol
131380,ET080813,"DSM 27202, CCTCC AB 2013118, CCUG 64215, MCCC 1K00238",1,1,Edwardsiella anguillarum,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
4357,Feb-78,"DSM 13771, ATCC 33379, CIP 78.56, JCM 1679, NCTC 12121, CCUG 14800, NBRC 105699",1,1,Edwardsiella hoshinae,fermentation,+,glucose
,,,,,,fermentation,+,mannitol
4356,"GA 77-52, 1976-78","CCUG 18764, CECT 885, DSM 13697, ATCC 33202, CDC 1976-78, JCM 16934, JCM 1680, CGMCC 1.1873, CIP 81.96, KCTC 12264, LMG 7860, NBRC 105724, NCIMB 13272, NCTC 12122",1,1,Edwardsiella ictaluri,fermentation,+,D-glucose
132153,ET883,"DSM 104083, CCUG 62929, NCIMB 14824",1,1,Edwardsiella piscicida,fermentation,+,D-glucose
4355,"K 349, K349, 4-78, 1483-59","DSM 30052, NBRC 105688, ATCC 15947, ATCC 23656, CCM 2238, NCTC 10396, CCUG 1638, LMG 2793, CIP 78.61, JCM 1656, NCDC 1483-59, BCRC 10670, CDC 1483-59, CECT 849",1,1,Edwardsiella tarda,fermentation,+,D-glucose
167902,,"KCTC 62323, YIM 72297, CCTCC AB 2017169",1,1,Elioraea thermophila,fermentation,+,D-glucose
,,,,,,fermentation,+,pyruvate
140681,ZZ-4,"KCTC 52344, CCTCC AB 2016137",1,1,Emticicia soli,fermentation,+,D-glucose
4374,,"DSM 17506, ATCC 35953, CCUG 25714, CDC 1497-78, CIP 103358, JCM 6051, NCTC 12123, CCUG 25588, HUT 8116, KCTC 23920, NBRC 109912, CCM 8619",1,1,Enterobacter asburiae,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,mannitol
,,,,,,fermentation,+,sorbitol
,,,,,,fermentation,+,sucrose
132404,"247, 247BMC, EB-247","DSM 29888, NCCB 100573",1,1,Enterobacter bugandensis,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,D-sorbitol
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,L-rhamnose
,,,,,,fermentation,+,melibiose
,,,,,,fermentation,+,myo-inositol
,,,,,,fermentation,+,sorbitol
,,,,,,fermentation,+,sucrose
4375,A-1,"DSM 17580, ATCC 33241, CCM 2421, LMG 2693, NCPPB 2176, CCUG 25231, PDDCC 5706, CIP 103787",1,1,Enterobacter cancerogenus,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,L-rhamnose
,,,,,,fermentation,+,mannitol
4373,,"DSM 30054, ATCC 13047, CIP 60.85, IFO 13535, NBRC 13535, NCTC 10005, WDCM 00083, NCDC 279-56, JCM 1232, ACM 1975, BCRC 10401, CCUG 28448, CCUG 29301, CCUG 6323, CDC 442-68, CECT 194, HAMBI 1295, HAMBI 96, HUT 8108, IAM 12349, KCTC 2361, LMG 2783, NCIMB 10101, VTT E-84198",1,1,Enterobacter cloacae subsp. cloacae,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,L-rhamnose
,,,,,,fermentation,+,lactose
,,,,,,fermentation,+,mannitol
,,,,,,fermentation,+,melibiose
,,,,,,fermentation,+,sorbitol
4371,"W-4, 8122-86","DSM 16657, ATCC 23373, CIP 105586, ICMP 1570, NCPPB 1850, NRRL B-154, CCUG 25230, LMG 2683, JCM 6049, ICPB ED 105, ICPB 1570",1,1,Enterobacter cloacae subsp. dissolvens,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,L-rhamnose
,,,,,,fermentation,+,lactose
,,,,,,fermentation,+,mannitol
,,,,,,fermentation,+,melibiose
,,,,,,fermentation,+,myo-inositol
130939,EN-114,"DSM 14563, LMG 30171",1,1,Enterobacter hormaechei subsp. hoffmannii,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,L-rhamnose
,,,,,,fermentation,+,melibiose
,,,,,,fermentation,+,sorbitol
,,,,,,fermentation,+,sucrose
4368,992-77,"DSM 12409, ATCC 49162, CCUG 26642, CCUG 27126, CIP 103441, CCM 8620",1,1,Enterobacter hormaechei subsp. hormaechei,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,L-rhamnose
,,,,,,fermentation,+,mannitol
,,,,,,fermentation,+,sucrose
131087,EN-314,"DSM 16687, CCM 8660, CCUG 53905, CIP 108490",1,1,Enterobacter hormaechei subsp. oharae,fermentation,+,glucose
,,,,,,fermentation,+,mannitol
131104,EN-562,"DSM 16691, CCM 8661, CCUG 53904, CIP 108489",1,1,Enterobacter hormaechei subsp. steigerwaltii,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,L-rhamnose
,,,,,,fermentation,+,mannitol
,,,,,,fermentation,+,melibiose
,,,,,,fermentation,+,myo-inositol
,,,,,,fermentation,+,sorbitol
132178,17-Oct,"DSM 101093, CCUG 62994, LMG 27195, NCIMB 14836",1,1,Enterobacter hormaechei subsp. xiangfangensis,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,L-rhamnose
,,,,,,fermentation,+,melibiose
,,,,,,fermentation,+,sorbitol
,,,,,,fermentation,+,sucrose
131083,,"DSM 13645, CCUG 49023, JCM 8580, NIH 1485-79, ATCC BAA-260, CIP 105566, DSM 27110, VTT E-052846",1,1,Enterobacter kobei,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,L-rhamnose
,,,,,,fermentation,+,lactose
,,,,,,fermentation,+,mannitol
,,,,,,fermentation,+,melibiose
,,,,,,fermentation,+,myo-inositol
4372,EN-119,"CCUG 51323, DSM 16688, CCM 8602, CIP 108491, KCTC 23921",1,1,Enterobacter ludwigii,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,L-rhamnose
,,,,,,fermentation,+,mannitol
,,,,,,fermentation,+,melibiose
,,,,,,fermentation,+,myo-inositol
,,,,,,fermentation,+,sorbitol
4384,R18-2,"DSM 26271, CGMCC 1.10322, LMG 25706",1,1,Enterobacter mori,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,L-rhamnose
,,,,,,fermentation,+,melibiose
,,,,,,fermentation,+,myo-inositol
,,,,,,fermentation,+,sorbitol
,,,,,,fermentation,+,sucrose
132602,,"DSM 28020, CGMCC 1.15707, KACC 17832, KCTC 42694, YIM Hb-3, JCM 19646",1,1,Enterobacter mori,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,L-rhamnose
,,,,,,fermentation,+,melibiose
,,,,,,fermentation,+,myo-inositol
,,,,,,fermentation,+,sorbitol
,,,,,,fermentation,+,sucrose
5276,"20, W 99","DSM 20680, ATCC 25788, CCM 2478, NCDO 2372, NCIB 11449, CCUG 18657, NCTC 12361, JCM 8723, CECT 969, CGMCC 1.9124, CIP 103018, KCTC 3638, LMG 10745, NBRC 100478, NCIMB 11449, NRRL B-3502, VTT E-97775",1,1,Enterococcus casseliflavus,fermentation,+,D-mannitol
,,,,,,fermentation,+,D-ribose
,,,,,,fermentation,+,D-xylose
,,,,,,fermentation,+,lactose
,,,,,,fermentation,+,maltose
,,,,,,fermentation,+,sucrose
17215,"RE35/F12, RE35F12","DSM 14347, ATCC BAA-606, CCUG 48319 B, CECT 7414, CIP 107077, CCUG 48319",1,1,Enterovibrio calviensis,fermentation,+,D-glucose
17218,,"DSM 22720, CAIM 661, CECT 7320, DAl 1-1-5",1,1,Enterovibrio nigricans,fermentation,+,D-glucose
17216,R-3710,"DSM 15893, LMG 19839, CCUG 47417, CAIM 430, CIP 108237",1,1,Enterovibrio norvegicus,fermentation,+,glucose
,,,,,,fermentation,+,lactose
132372,SW014,"DSM 25033, KCTC 42425, MCCC 1K00500, CAIM 1920, JCM 17855",1,1,Veronia pacifica,fermentation,+,arabinose
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,mannitol
,,,,,,fermentation,+,sucrose
4386,S59/5,"DSM 30165, ATCC 15580, CCM 1114, IFO 12687, NBRC 12687, NCPPB 683, PDDCC 15, PDDCC 1540, CCUG 4906, IFO 13538",1,1,Erwinia amylovora,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,sorbitol
,,,,,,fermentation,+,sucrose
4403,X001,"DSM 19347, IAM 14479, JCM 21238, CFBP 6829, CIP 106296, LMG 24877, NBRC 102417",1,1,Erwinia aphidicola,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,L-rhamnose
,,,,,,fermentation,+,mannitol
,,,,,,fermentation,+,melibiose
,,,,,,fermentation,+,myo-inositol
,,,,,,fermentation,+,sucrose
4398,E63,"DSM 17872, LMG 2613, NCPPB 661, CIP 106121",1,1,Erwinia billingiae,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,L-rhamnose
,,,,,,fermentation,+,mannitol
,,,,,,fermentation,+,myo-inositol
,,,,,,fermentation,+,sorbitol
140918,BSTT30,"LMG 28457, CECT 8692",1,1,Erwinia endophytica,fermentation,+,glucose
140886,EM595,"LMG 28990, CCOS 903",1,1,Duffyella gerundensis,fermentation,+,D-mannitol
,,,,,,fermentation,+,D-mannose
,,,,,,fermentation,+,glycerol
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,L-rhamnose
,,,,,,fermentation,+,maltose
,,,,,,fermentation,+,melibiose
,,,,,,fermentation,+,myo-inositol
,,,,,,fermentation,+,potassium 2-dehydro-D-gluconate
,,,,,,fermentation,+,potassium gluconate
4388,"AM1, AM-1","DSM 4565, ATCC 29573, NCPPB 2851, PDDCC 5705, CIP 105197, CFBP 2503",1,1,Erwinia mallotivora,fermentation,+,glucose
,,,,,,fermentation,+,lactose
,,,,,,fermentation,+,mannitol
4396,MTQ2-1,"DSM 16540, CFBP 5189, NCPPB 4294, CIP 108341",1,1,Erwinia papayae,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,myo-inositol
,,,,,,fermentation,+,sucrose
4402,"HK 204, 9108-82","DSM 19328, ATCC 35998, CDC 9108-82, IAM 12843, JCM 3704, AJ 2716, CFBP 3622, CIP 105199, ICMP 12532, LMG 11254, NBRC 102418, NCIMB 13181, NCPPB 3774",1,1,Erwinia persicina,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,L-rhamnose
,,,,,,fermentation,+,mannitol
,,,,,,fermentation,+,melibiose
,,,,,,fermentation,+,myo-inositol
,,,,,,fermentation,+,sorbitol
4404,,"DSM 26166, CECT 7348, CFBP 5888, IVIA 2057.5",1,1,Erwinia piriflorinigrans,fermentation,+,D-glucose
4397,,"DSM 17597, LMG 7039, NCPPB 3555, IBSBF 435, PDDCC 8426, CIP 105200, CFBP 3627, ICMP 8426",1,1,Erwinia psidii,fermentation,+,glucose
,,,,,,fermentation,+,lactose
,,,,,,fermentation,+,mannitol
4389,"CP/28, CP 28","DSM 4484, ATCC 29283, ICPB ER 102, NCPPB 1578, CIP 105202, CFBP 3618, ICMP 1582",1,1,Erwinia rhapontici,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,L-rhamnose
,,,,,,fermentation,+,lactose
,,,,,,fermentation,+,mannitol
,,,,,,fermentation,+,melibiose
,,,,,,fermentation,+,myo-inositol
4400,Et1/99,"DSM 17950, CIP 109463, NCPPB 4357",1,1,Erwinia tasmaniensis,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,melibiose
,,,,,,fermentation,+,sucrose
4401,A37,"DSM 18073, ATCC 700880, CECT 5263, CFBP 6631, CIP 108675",1,1,Winslowiella toletana,fermentation,+,glucose
,,,,,,fermentation,+,mannitol
4390,52,"DSM 21139, CFPB 2355, CIP 105205, LMG 2906, NCPPB 2452",1,1,Erwinia tracheiphila,fermentation,+,glucose
,,,,,,fermentation,+,lactose
,,,,,,fermentation,+,mannitol
130977,LV 19,"DSM 28480, KCTC 33523, KCTC 4669",1,1,Erysipelothrix larvae,fermentation,+,D-mannose
,,,,,,fermentation,+,raffinose
5371,T-305,"DSM 14972, ATCC 43339, CCUG 31352, CIP 105960, JCM 8533",1,1,Erysipelothrix tonsillarum,fermentation,+,D-glucose
,,,,,,fermentation,+,D-ribose
4932,19982,"DSM 17582, CCUG 46494, CIP 107988, LMG 20976, CCM 7160, JCM 17328, CIP 107-988, NBRC 107761",1,1,Escherichia albertii,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,mannitol
