ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,"Kind of pH","Testresult (pH)",pH
133957,RC2,"MTCC 9831, MCC 2100, KCTC 13724, CCM 7754, CIP 110697",1,1,"Priestia paraflexa",Priestia,growth,positive,05-11
140968,NH24A2,"MCCC 1A04098, KCTC 33709, LMG 28876, NBRC 113922, CIP 111461",1,1,"Bacillus paramycoides",Bacillus,growth,positive,5.0-9.0
140960,Mn5,"MCCC 1A00395, KCTC 33714, LMG 28873, NBRC 113914, CIP 111454",1,1,"Bacillus paranthracis",Bacillus,growth,positive,5.0-10.0
23712,8-4-E12,"DSM 23947, LMG 27601",1,1,"Oikeobacillus pervagus",Oikeobacillus,growth,positive,05-09
140881,NR1-3-2,"JCM 19598, LMG 28281, PCU 340, TISTR 2295",1,1,"Bacillus piscicola",Bacillus,growth,positive,5-10
134281,YN-1,"JCM 14604, NCIMB 14282, LMG 24733",1,1,"Evansella polygoni",Evansella,growth,positive,08-12
140966,TD42,"MCCC 1A00365, KCTC 33715, LMG 28870, NBRC 113920, CIP 111459",1,1,"Bacillus proteolyticus",Bacillus,growth,positive,5.0-10.0
1151,,"DSM 12442, NRRL B-617, JCM 12231, CIP 105700, LMG 18993, KCTC 3862, NBRC 101232, BCRC 17606, BCRC 17107",1,1,"Bacillus pseudomycoides",Bacillus,growth,positive,5.7
,,,,,,,growth,positive,6
756,272,"DSM 27, ATCC 7061, CCM 2144, IFO 12092, JCM 2508, NBRC 12092, NCIB 9369, NCTC 10337, NRS 272, BCRC 11706, CCUG 26015, CECT 29, CGMCC 1.3533, CIP 52.67, IAM 12469, IAM 14177, KCTC 3348, LMG 7132, NCIMB 9369, NRIC 1010, NRRL NRS-272, VKM B-508, VTT E-95572, NCDO 1766",1,1,"Bacillus pumilus",Bacillus,growth,positive,6
166351,SPB7,"NRRL B-65559, CICC 24827, MCC 4185",1,1,"Bacillus rugosus",Bacillus,growth,positive,6.0-10.0
166417,,"LMG 30124, CECT 9344, BC 09",1,1,"Bacillus safensis subsp. osmophilus",Bacillus,growth,positive,5.7-8
134001,A24,"IBRC-M10078, KCTC 13816, IBRC-M 10078, CIP 110635",1,1,"Litchfieldia salsa",Litchfieldia,growth,positive,7.0-9.0
1253,"BH 724, 6.101, BH724","DSM 16464, CIP 110058, KCTC 3913",1,1,"Bacillus seohaeanensis",Bacillus,growth,positive,05-08
159795,AK72,"MTCC 12636, KCTC 33981, JCM 32183",1,1,"Bacillus shivajii",Bacillus,growth,positive,6-10
1302,PD-A10,"DSM 25261, BCC 22614, KACC 16244, KCTC 13613, CIP 110217",1,1,"Bacillus siamensis",Bacillus,growth,positive,4.5-9
134009,H1-1M,"KCTC 13881, CCUG 61889, CAU 1033",1,1,"Bacillus songklensis",Bacillus,growth,positive,4.5-10.0
1201,"L87-10, TG8-8","DSM 13779, NRRL B-23154, JCM 12232, CIP 107271, KCTC 13918, NBRC 101234",1,1,"Bacillus sonorensis",Bacillus,growth,positive,5.7
,,,,,,,growth,positive,6
1193,TU-B-10,"DSM 15029, NRRL B-23049, JCM 12233, CIP 106094, LMG 19156, NBRC 101239",1,1,"Bacillus spizizenii",Bacillus,growth,positive,6
1172,"Marburg, 744","DSM 10, ATCC 6051, CCM 2216, IAM 12118, IFO 13719, JCM 1465, LMG 7135, NBRC 13719, NCIB 3610, NCTC 3610, NRS 744, CCUG 163 B, BCRC 10255, CECT 39, CIP 52.65, IFO 16412, IMET 10758, KCTC 3135, NBRC 16412, NCFB 1769, NCIMB 3610, NRRL B-4219, NRRL NRS-744, VKM B-501, VKM B-758, VKM B-919, VTT E-97009, UCCCB117, NCDO 1769",1,1,"Bacillus subtilis",Bacillus,growth,positive,6
140690,,"CCUG 70177, NRRL B-41294",1,1,"Bacillus swezeyi",Bacillus,growth,positive,5.5-10
158609,,"KCTC 33703, CGMCC 1.15917, EGI 80668",1,1,"Evansella tamaricis",Evansella,growth,positive,8-10
166386,,"KCTC 43131, CGMCC 1.17491, SYSU G01002",1,1,"Peribacillus tepidiphilus",Peribacillus,growth,positive,6.0-8.0
134164,10b,"ATCC BAA-819, NCTC 13306, CIP 109396, NRRL B-41771, KCTC 13622",1,1,"Bacillus tequilensis",Bacillus,growth,positive,5.5-8
140573,RA9,"LMG 29736, CECT 9170",1,1,"Siminovitchia terrae",Siminovitchia,growth,positive,6-8
133927,SgZ-7,"CCTCC AB 2012030, KACC 16700",1,1,"Neobacillus thermocopriae",Neobacillus,growth,positive,6.0-10.0
133977,SgZ-8,"CCTCC AB 2012108, KACC 16706",1,1,"Bacillus thermotolerans",Bacillus,growth,positive,6.0-9.0
140962,N24,"MCCC 1A01406, KCTC 33711, LMG 28874, NBRC 113916, CIP 111455, MCCC 1A1406",1,1,"Bacillus tropicus",Bacillus,growth,positive,5.0-9.0
1150,"DV1-F-3, DV-1-F3","DSM 11031, NRRL B-14890, JCM 12234, ATCC 700092, BCRC 17183, CIP 104792, KCTC 3707, LMG 18725, NBRC 101236",1,1,"Bacillus vallismortis",Bacillus,growth,positive,5.7
,,,,,,,growth,positive,6
140354,FJAT-27215,"DSM 100757, CCTCC AB 2015266",1,1,"Bacillus wudalianchiensis",Bacillus,growth,positive,5-10
164466,FJAT-46582,"JCM 33155, CCTCC AB 2017047",1,1,"Bacillus xiapuensis",Bacillus,growth,positive,6.0-11.0
164475,XXST-01,"JCM 33181, MCCC 1A14143",1,1,"Robertmurraya yapensis",Robertmurraya,growth,positive,6.0-9.0
140879,DW5-4,"MCCC 1A08372, LMG 27144, KCTC 33531",1,1,"Bacillus zhangzhouensis",Bacillus,growth,positive,5-11
133276,sw100,"JCM 30597, MCCC 1K00501, KCTC 42424",1,1,"Bacterioplanoides pacificum",Bacterioplanoides,growth,positive,6.0-9.0
140882,"LIPI12-4-Ck732, JSAT12-4-Ck732, C13EG70","InaCC B449, NBRC 110958",1,1,"Bacteroides caecicola",Bacteroides,growth,positive,4-8
1623,CRE21,"DSM 14838, CCUG 44979, JCM 15632",1,1,"Bacteroides cellulosilyticus",Bacteroides,growth,positive,6.5-7.2
1628,"A 20","DSM 22519, JCM 16067, CCUG 60911, YIT 12056, KCTC 15128",1,1,"Bacteroides clarus",Bacteroides,growth,positive,7
158883,KGMB02408,"DSM 107828, KCTC 15687, JCM 34008",1,1,"Bacteroides faecalis",Bacteroides,growth,positive,5-9
1610,199,"DSM 17565, JCM 13345, CCUG 53890",1,1,"Bacteroides finegoldii",Bacteroides,growth,positive,7
1629,,"CCUG 60912, DSM 22534, JCM 16101, YIT 12057, KCTC 15129",1,1,"Bacteroides fluxus",Bacteroides,growth,positive,7
140883,"LIPI12-4-Ck844, JSAT12-4-Ck884, C13EG186","InaCC B451, NBRC 110963",1,1,"Bacteroides gallinaceus",Bacteroides,growth,positive,6-7
1609,341,"CCUG 53889, DSM 17393, JCM 13265",1,1,"Bacteroides intestinalis",Bacteroides,growth,positive,7
158670,YS-aM39,"KCTC 15520, JCM 31393",1,1,"Bacteroides koreensis",Bacteroides,growth,positive,5.5-10.0
,,,,,,,growth,positive,6.5
158671,R2F3-3-3,"KCTC 15460, JCM 31391",1,1,"Bacteroides kribbi",Bacteroides,growth,positive,5.5-10
1630,,"DSM 22535, JCM 16102, CCUG 60913, YIT 12058, KCTC 15130",1,1,"Bacteroides oleiciplenus",Bacteroides,growth,positive,7
1626,XB1A,"DSM 18836, CCUG 53782, JCM 15633",1,1,"Bacteroides xylanisolvens",Bacteroides,growth,positive,6-7.2
,,,,,,,growth,positive,6.0-7.2
158509,,"DSM 108226, CGMCC 4.7547, KCTC 49229, YIM 75507",1,1,"Bailinhaonella thermotolerans",Bailinhaonella,growth,positive,7-8
17640,17S,"DSM 16304, ATCC BAA-736, JCM 11970",1,1,"Balnearium lithotrophicum",Balnearium,growth,positive,4.9-7.2
133009,KHALHBd91,"DSM 28579, JCM 19909",1,1,"Balneicella halophila",Balneicella,growth,positive,5.5-7.8
17739,CM41_14b,"DSM 19538, CIP 109603, OOB 103",1,1,"Balneola alkaliphila",Balneola,growth,positive,06-10
17738,"13IX/A01/164, 131X/A01/164","DSM 17893, CIP 109092, OOB 256",1,1,"Balneola vulgaris",Balneola,growth,positive,05-10
12519,,"DSM 21032, JCM 15079, YIT 11860",1,1,"Barnesiella intestinihominis",Barnesiella,growth,positive,7
3935,39,"DSM 24617, CGMCC 4.6864, JCM 19663",1,1,"Barrientosiimonas humi",Barrientosiimonas,growth,positive,06-10
22987,MSW-24,"DSM 21415, JCM 19562, KCTC 19485",1,1,"Barrientosiimonas marina",Barrientosiimonas,growth,positive,05-12
1640,AUST/NH20,"DSM 23499, CCUG 52174, CIP 109064, CSUR B619",1,1,"Bartonella coopersplainsensis",Bartonella,growth,positive,05-10
133124,D-402,"DSM 14946, UNIQEM U 779",1,1,"Beggiatoa leptomitoformis",Beggiatoa,growth,positive,6.0-8.2
1672,"BF-2819, Hilger","DSM 19635, CECT 7311, LMG 2819",1,1,"Beijerinckia doebereinerae",Beijerinckia,growth,positive,3-10
17716,"BA134, BA 134T","DSM 15883, CIP 108006, LMG 21964, UCCCB126",1,1,"Belliella baltica",Belliella,growth,positive,06-10
,,,,,,,growth,positive,6-10
140946,5C,"VKM B-2724, KCTC 32194",1,1,"Belliella buryatensis",Belliella,growth,positive,7-10
24721,CC-SAL-25,"DSM 46698, BCRC 17883, KCTC 13248",1,1,"Belliella pelovolcani",Belliella,growth,positive,6.0-9.0
505,GOMI-1,"DSM 17877, JCM 13669",1,1,"Bellilinea caldifistulae",Bellilinea,growth,positive,6-7.5
38,CP2C,"DSM 16746, ATCC BAA-1043, CIP 109215",1,1,"Belnapia moabensis",Belnapia,growth,positive,6-8
23491,PB-K8,"DSM 28067, JCM 18033, KCTC 23765",1,1,"Belnapia soli",Belnapia,growth,positive,5.0-8.0
12009,ge10,"DSM 19037, CGMCC 1.6762",1,1,"Bhargavaea beijingensis",Bhargavaea,growth,positive,5.5-11
12011,DSE10,"DSM 22132, JCM 14375, LMG 24411",1,1,"Bhargavaea cecembensis",Bhargavaea,growth,positive,7-7.5
12010,ge14,"DSM 19038, CGMCC 1.6763",1,1,"Bhargavaea ginsengi",Bhargavaea,growth,positive,06-11
23197,ZMA-19,"DSM 26128, CCM 8429, LMG 27071, ZMA 19, CIP 110542",1,1,"Bhargavaea ullalensis",Bhargavaea,growth,positive,5.5-11
140310,RP115,"DSM 100238, CCM 8605, LMG 28779",1,1,"Bifidobacterium apri",Bifidobacterium,growth,positive,3.5-7.5
140884,"R 54638","LMG 28769, CCUG 67145",1,1,"Bifidobacterium aquikefiri",Bifidobacterium,growth,positive,4-8
1739,BluCI/TP,"DSM 19703, ATCC BAA-1567, KCTC 15159",1,1,"Bifidobacterium bombi",Bifidobacterium,growth,positive,>4.5
164528,2028B,"JCM 33352, CCUG 72814, LMG 30938",1,1,"Bifidobacterium callimiconis",Bifidobacterium,growth,positive,4-6
158380,,"DSM 103152, JCM 31790, TRI 5",1,1,"Bifidobacterium callitrichidarum",Bifidobacterium,growth,positive,4-7.5
164527,2020B,"JCM 33351, CCUG 72816, LMG 30937",1,1,"Bifidobacterium castoris",Bifidobacterium,growth,positive,5-6
158387,,"DSM 103154, MRM 8.19, JCM 31794",1,1,"Bifidobacterium catulorum",Bifidobacterium,growth,positive,4-8
164531,2036B,"JCM 33355, CCUG 72818, LMG 30941",1,1,"Bifidobacterium dolichotidis",Bifidobacterium,growth,positive,5-6
132454,LMM_E3,"DSM 100216, JCM 30801",1,1,"Bifidobacterium eulemuris",Bifidobacterium,growth,positive,5.5-7
164529,2034B,"JCM 33353, CCUG 72815, LMG 30939",1,1,"Bifidobacterium goeldii",Bifidobacterium,growth,positive,4-6
132346,MRM_8.14,"DSM 100202, JCM 30799, MRM 8.14",1,1,"Bifidobacterium hapali",Bifidobacterium,growth,positive,4.5-7.5
159320,,"DSM 103362, JCM 31788, MRM 9.3",1,1,"Bifidobacterium jacchi",Bifidobacterium,growth,positive,4.0-7.5
1747,,"DSM 21395, JCM 15461, YIT 10443, KCTC 5848",1,1,"Bifidobacterium mongoliense",Bifidobacterium,growth,positive,4.5-8.0
132345,MRM_5.9,"DSM 100196, JCM 30796, MRM 5.9, KCTC 15589",1,1,"Bifidobacterium myosotis",Bifidobacterium,growth,positive,4.5-8
160296,,"DSM 106029, SMA 15, BCRC 81224, NBRC 114051",1,1,"Bifidobacterium platyrrhinorum",Bifidobacterium,growth,positive,5.5-7
1738,T16,"DSM 22366, LMG 21775, NCIMB 13940, JCM 15958",1,1,"Bifidobacterium psychraerophilum",Bifidobacterium,growth,positive,4.0-4.5
160002,,"DSM 106020, SMA 1, BCRC 81223, NBRC 114049",1,1,"Bifidobacterium saimiriisciurei",Bifidobacterium,growth,positive,5.5-7
164530,2033B,"JCM 33354, CCUG 72817, LMG 30940",1,1,"Bifidobacterium samirii",Bifidobacterium,growth,positive,4-6
132348,MRM_5.18,"DSM 100201, JCM 30798, MRM 5.18, KCTC 15590",1,1,"Bifidobacterium tissieri",Bifidobacterium,growth,positive,5.5-7.5
141014,Tam10B,"LMG 30126, CCUG 70655, CCUG 70655 A",1,1,"Bifidobacterium vansinderenii",Bifidobacterium,growth,positive,3.5-6.0
164467,SK-G1,"JCM 33158, CCAM 530, KCTC 15783",1,1,"Biomaibacter acetigenes",Biomaibacter,growth,positive,6.0-8.5
5714,"CCM-A-29 1259, JUB59","DSM 19628",1,1,"Bizionia argentinensis",Bizionia,growth,positive,7
158654,RA3-3-1,"KCTC 62140, NBRC 113024",1,1,"Bizionia berychis",Bizionia,growth,positive,5.5
133837,T-y7,"KCTC 23881, CCUG 62110",1,1,"Bizionia hallyeonensis",Bizionia,growth,positive,5.5-8
140551,P131,"MCCC 1H00124, KCTC 42587",1,1,"Bizionia sediminis",Bizionia,growth,positive,5.5-9
159723,P6,"NCIMB 15090, NRRL B-65468",1,1,"Blastococcus atacamensis",Blastococcus,growth,positive,6-12
132667,,"DSM 46835, CECT 8876, BMG 804",1,1,"Blastococcus capsensis",Blastococcus,growth,positive,5.5-9.0
24054,,"DSM 45413, CCTCC AA 209045, KCTC 19998, YIM 68236, JCM 17896, JCM 31483",1,1,"Trujillonella endophytica",Trujillonella,growth,positive,5.0-8.0
159637,GP-S2-8,"DSM 106127, JCM 32354, KCCM 43275, KCTC 49078",1,1,"Blastococcus litoris",Blastococcus,growth,positive,4.0-11.0
5813,,"CCUG 61911, DSM 44509, JCM 13239, NRRL B-24246, BC 444",1,1,"Blastococcus saxobsidens",Blastococcus,growth,positive,5-8.6
140448,,"DSM 46842, CECT 8884, BMG 862",1,1,"Blastococcus xanthinilyticus",Blastococcus,growth,positive,6-10
140974,T2,"KCTC 42354, JCM 30467, DSM 112298",1,1,"Blastomonas fulva",Blastomonas,growth,positive,6.0-8.0
140358,SSR2A-4-2,"DSM 103453, CGMCC 1.15297",1,1,"Blastomonas marina",Blastomonas,growth,positive,6-8
133887,LHWP2,"KACC 15559, JCM 17758",1,1,"Bremerella cremea",Bremerella,growth,positive,6.0-8.0
160830,"Enrichment 8, Enr8","DSM 100415, LMG 29081, LMG 2908",1,1,"Blastopirellula retiformator",Blastopirellula,growth,positive,6.0-8.0
1787,,"CCUG 55772, DSM 13099, ATCC 700918, CIP 106457, AMX 51",1,1,"Bosea minatitlanensis",Bosea,growth,positive,5.0-8.0
166471,1131,"NRRL B-65405, LMG 30034",1,1,"Bosea psychrotolerans",Bosea,growth,positive,5.5-8
166358,Pla108,"DSM 103355, LMG 29803",1,1,"Botrimarina colliarenosi",Botrimarina,growth,positive,6.5-8.5
160326,Pla111,"DSM 103485, STH 00945",1,1,"Botrimarina hoheduenensis",Botrimarina,growth,positive,6.5-7
160513,Spa11,"DSM 100745, LMG 31350, CECT 9852, VKM B-3431",1,1,"Botrimarina mediterranea",Botrimarina,growth,positive,5-9.5
166437,,"KCTC 52794, NBRC 112957, SYSU D60016",1,1,"Botryobacter ruber",Botryobacter,growth,positive,6-8
133432,W3-3A,"CGMCC 1.7086, LMG 24568, MCCC 1A01018",1,1,"Bowmanella pacifica",Bowmanella,growth,positive,06-10
132661,KWS-1,"DSM 28796, JCM 30059, MTCC 11836",1,1,"Brachybacterium aquaticum",Brachybacterium,growth,positive,11
,,,,,,,growth,positive,7.0-11.0
159799,M1HQ-2,"KCTC 49087, CGMCC 1.16391, JCM 33403",1,1,"Brachybacterium endophyticum",Brachybacterium,growth,positive,5-11
140947,THG-S15-4,"KCTC 39563, CCTCC AB 2015116, JCM 31742",1,1,"Brachybacterium horti",Brachybacterium,growth,positive,6-7.5
3915,phenol-A,"DSM 22299, BCRC 17589, JCM 15157, LMG 23707",1,1,"Brachybacterium phenoliresistens",Brachybacterium,growth,positive,05-10
3917,"JG 06","DSM 23186, IMCC 252, JCM 19544",1,1,"Brachybacterium saurashtrense",Brachybacterium,growth,positive,06-11
133630,M-6-3,"KACC 14221, JCM 16464",1,1,"Brachybacterium squillarum",Brachybacterium,growth,positive,06-09
3916,JB,"DSM 18832, CGMCC 1.6508, LMG 23926, JCM 15471",1,1,"Brachybacterium zhongshanense",Brachybacterium,growth,positive,05-11
2909,AIMA4,"DSM 19884, LMG 24400",1,1,"Brachymonas chironomi",Brachymonas,growth,positive,5.0-9.0
166188,39S1MB,"LMG 29934, HAMBI 3680",1,1,"Bradyrhizobium amphicarpaeae",Bradyrhizobium,growth,positive,5.0-10.0
140541,AMBPC1011,"CECT 9227, LMG 29967",1,1,"Bradyrhizobium cajani",Bradyrhizobium,growth,positive,5-9
1812,BTA-1,"DSM 16623, ATCC BAA-1002, CFNE 1008, LMG 22265",1,1,"Bradyrhizobium canariense",Bradyrhizobium,growth,positive,9
1817,CTAW11,"DSM 23720, CECT 7749, LMG 25866",1,1,"Bradyrhizobium cytisi",Bradyrhizobium,growth,positive,6.0-8.0
133740,,"LMG 26137, HAMBI 3184, CGMCC 1.10947, CCBAU 15774",1,1,"Bradyrhizobium daqingense",Bradyrhizobium,growth,positive,06-09
166287,"U686, CL 20","USDA 10052, CNPSo 3426",1,1,"Bradyrhizobium frederickii",Bradyrhizobium,growth,positive,4.0-9.0
133742,,"LMG 26136, CGMCC 1.10948, HAMBI 3180, CCBAU 23303",1,1,"Bradyrhizobium huanghuaihaiense",Bradyrhizobium,growth,positive,06-09
1816,PAC68,"DSM 19632, CECT 7395, LMG 24556",1,1,"Bradyrhizobium jicamae",Bradyrhizobium,growth,positive,6.0-8.0
140478,U675,"LMG 30031, BR 6010, CNPSo 1165, SEMIA 6399",1,1,"Bradyrhizobium mercantei",Bradyrhizobium,growth,positive,4.5
,,,,,,,growth,positive,8
141148,5-10,"LMG 28789, DSM 100300, NTCCM 0017",1,1,"Bradyrhizobium namibiense",Bradyrhizobium,growth,positive,5.5-9
166262,"U687, CL 40","CNPSo 3448, USDA 10051",1,1,"Bradyrhizobium niftali",Bradyrhizobium,growth,positive,4.0-9.0
1815,PAC48,"DSM 19631, CECT 7396, LMG 24246",1,1,"Bradyrhizobium pachyrhizi",Bradyrhizobium,growth,positive,4.5-8.0
159767,,"LMG 30283, DSM 105795, NTCCM 0019, WR 4",1,1,"Bradyrhizobium ripae",Bradyrhizobium,growth,positive,5-9
140809,H-8,"CNPSo 2823, HAMBI 3668, BR 446",1,1,"Bradyrhizobium stylosanthis",Bradyrhizobium,growth,positive,4.5-8
168996,85S1MB,"LMG 29937, HAMBI 3684",1,1,"Bradyrhizobium symbiodeficiens",Bradyrhizobium,growth,positive,5-10
132365,7-2,"DSM 100297, LMG 28791, NTCCM 0018, DSMZ 100297",1,1,"Bradyrhizobium vignae",Bradyrhizobium,growth,positive,5-9
22967,BM,"DSM 24659, JCM 16868",1,1,"Brassicibacter mesophilus",Brassicibacter,growth,positive,06-09
160632,"Pan 97, Pan97","DSM 101992, LMG 29460",1,1,"Bremerella volcania",Bremerella,growth,positive,5.5-9.5
166420,gBX10-1-2,"CFCC 11842, KCTC 42840",1,1,"Brenneria corticis",Brenneria,growth,positive,4-11
140740,D8-10-2-5,"CFCC 11935, KCTC 42841",1,1,"Brenneria populi subsp. brevivirga",Brenneria,growth,positive,4-10
140739,D9-5,"CFCC 11963, KCTC 42088",1,1,"Brenneria populi",Brenneria,growth,positive,4-10
11416,"13, NRS-1219","DSM 6348, ATCC 51663, CCUG 31345, NRRL NRS-1219, LMG 15103, NRS 1219, JCM 9067, CCM 4535, CGMCC 1.3103, CIP 104002, IFO 15538, KCTC 3573, LMG 15598, NBRC 15538",1,1,"Brevibacillus agri",Brevibacillus,growth,positive,6
11441,PDF25,"DSM 24395, LMG 26289",1,1,"Brevibacillus aydinogluensis",Brevibacillus,growth,positive,06-10
11421,"B4, NRS-818","DSM 6347, ATCC 51668, CIP 104545, IFO 15714, JCM 9022, NBRC 15714, CCUG 51058, NRRL NRS-818, LMG 16009, NRS 818, CGMCC 1.3102",1,1,"Brevibacillus borstelensis",Brevibacillus,growth,positive,6
11402,"27B, 604","DSM 30, ATCC 8246, CCM 2050, JCM 2503, LMG 16703, NCIB 9372, NCTC 2611, CCUG 7413, NRS 604, BCRC 14682, CECT 5, CGMCC 1.3098, CIP 52.86, IFO 15304, KCTC 3743, LMG 7123, NBRC 15304, NCIMB 9372, NRRL B-14602, NRRL NRS-604, NRRL NRS-819, VKM B-503, NCDO 1770",1,1,"Brevibacillus brevis",Brevibacillus,growth,positive,6
11425,"NRRL-NRS 664, NRS-664","DSM 8445, ATCC 51661, CCUG 31347, NRRL NRS-664, NRS 664, JCM 9071, CGMCC 1.3104, CIP 104003, IFO 15540, KCTC 3863, KCTC 3887, LMG 15106, LMG 15603, NBRC 15540",1,1,"Brevibacillus centrosporus",Brevibacillus,growth,positive,6
11423,"HPD 52, HPD52","DSM 8552, ATCC 51359, CIP 103838, IFO 15518, JCM 8505, NBRC 15518, CCUG 51061, NRRL B-23247, LMG 15968, CGMCC 1.3099, KCTC 3836, NCIMB 13345",1,1,"Brevibacillus choshinensis",Brevibacillus,growth,positive,6
11440,CJ71,"DSM 23904, JCM 15716, KACC 13381",1,1,"Brevibacillus fluminis",Brevibacillus,growth,positive,05-08
132387,PDF4,"DSM 100115, NCCB 100559",1,1,"Brevibacillus gelatini",Brevibacillus,growth,positive,6-9
133398,,"ACCC 06527, JCM 30849, LAM 0312, KCTC 43189",1,1,"Brevibacillus halotolerans",Brevibacillus,growth,positive,4-12
11436,"B2156, C3774, B2156T","DSM 16423, CIP 106911, LMG 18962, NCIMB 13772, JCM 12215",1,1,"Brevibacillus invocatus",Brevibacillus,growth,positive,6
11437,"R-12315, B-1657","DSM 18918, CIP 108307, KCTC 13000, LMG 22481, Logan B-1657",1,1,"Brevibacillus levickii",Brevibacillus,growth,positive,4.5-6.5
,,,,,,,growth,positive,6
11435,L13,"DSM 6472, NRRL NRS-887, NRS 887, CIP 108411",1,1,"Brevibacillus limnophilus",Brevibacillus,growth,positive,6
23172,DA2,"DSM 26674, JCM 15774, NCIMB 14531",1,1,"Brevibacillus nitrificans",Brevibacillus,growth,positive,05-08
11439,,"DSM 22869, JCM 15085, KCTC 13206, DCY 35",1,1,"Brevibacillus panacihumi",Brevibacillus,growth,positive,05-09
132383,,"DSM 29928, CPCC 100738, YIM 78300, JCM 30638",1,1,"Brevibacillus sediminis",Brevibacillus,growth,positive,6-8
1868,,"DSM 18261, CCTCC AB 206112, KCTC 19173, YIM 90718, JCM 15617",1,1,"Brevibacterium album",Brevibacterium,growth,positive,06-08
133819,"KEMC41-098, A1","JCM 17537, KACC 15558, KEMC 41-098",1,1,"Brevibacterium ammoniilyticum",Brevibacterium,growth,positive,06-10
1861,F-77,"DSM 15453, CIP 108809, JCM 13521, KMM 3637, ATCC BAA-809, LMG 21950",1,1,"Brevibacterium celere",Brevibacterium,growth,positive,05-10
159885,BS05,"KACC 18875, LMG 29562, JCM 30949",1,1,"Brevibacterium hankyongi",Brevibacterium,growth,positive,6.0-7.0
130226,SJ5-8,"DSM 29217, JCM 18571, KACC 16911",1,1,"Brevibacterium jeotgali",Brevibacterium,growth,positive,6.0-9.0
1867,HFW-26,"DSM 18964, JBRI 2001, KCTC 19221, JCM 15618",1,1,"Brevibacterium marinum",Brevibacterium,growth,positive,5.1-12.1
1866,BBH7,"DSM 21578, IAM 15353, JCM 21798, LMG 23457, BCRC 16991, NCIMB 14558, CIP 109608",1,1,"Brevibacterium oceani",Brevibacterium,growth,positive,5.2-9.5
1860,R-5391,"DSM 16132, CIP 108823, LMG 22061, JCM 13319",1,1,"Brevibacterium picturae",Brevibacterium,growth,positive,06-09
1870,TP12,"DSM 21720, JCM 17808, NCCB 100255",1,1,"Brevibacterium pityocampae",Brevibacterium,growth,positive,06-10
1872,,"DSM 24775, CCTCC AB 208328, JCM 15900, KCTC 19616, TRM 415",1,1,"Brevibacterium salitolerans",Brevibacterium,growth,positive,05-09
1865,SST-8,"DSM 19451, KCCM 42316, NRRL B-41420, JCM 14546",1,1,"Brevibacterium samyangense",Brevibacterium,growth,positive,6.1-10.1
1871,01-Je-003,"DSM 22082, CCM 7649, CCUG 57423, JCM 30489",1,1,"Brevibacterium sandarakinum",Brevibacterium,growth,positive,5.5-12.5
133018,FXJ8.269,"DSM 102229, CGMCC 1.15472, JCM 32488",1,1,"Brevibacterium sediminis",Brevibacterium,growth,positive,5.0-11.0
22937,MB18,"DSM 23676, LMG 25772, JCM 30994",1,1,"Brevibacterium siliguriense",Brevibacterium,growth,positive,05-12
22938,MN-6-a,"DSM 24850, JCM 17779",1,1,"Brevibacterium yomogidense",Brevibacterium,growth,positive,6.5-10.5
133971,DC2c-G4,"NBRC 108608, CIP 110457",1,1,"Brevifollis gellanilyticus",Brevifollis,growth,positive,06-08
132620,Ac_11_E3,"DSM 27934, LMG 28618",1,1,"Brevitalea aridisoli",Brevitalea,growth,positive,4.7-8.1
132621,Ac_16_C4,"DSM 29892, LMG 28995, LMG 29713",1,1,"Brevitalea deliciosa",Brevitalea,growth,positive,4.7-9.0
133873,TAR-001,"JCM 18150, CECT 8073, CIP 110627",1,1,"Brevundimonas abyssalis",Brevundimonas,growth,positive,6.5-10.0
140885,NHI-13,"KEME 9005-016, KACC 18249, JCM 30385",1,1,"Brevundimonas albigilva",Brevundimonas,growth,positive,6-8.5
2318,EMB102,"DSM 17977, KCTC 12609",1,1,"Brevundimonas aveniformis",Brevundimonas,growth,positive,6.0-9.0
133379,FDRGB2b,"DSM 29841, NCAIM B.02621",1,1,"Brevundimonas balnearis",Brevundimonas,growth,positive,7.0-10.0
2321,J22,"DSM 25335, JCM 15911, KCTC 22177",1,1,"Brevundimonas basaltis",Brevundimonas,growth,positive,5.5-10
133414,GTAE24,"LMG 29500, CECT 9126",1,1,"Brevundimonas canariensis",Brevundimonas,growth,positive,6-8
167374,LA-55,"LMG 30850, KACC 19639",1,1,"Brevundimonas fluminis",Brevundimonas,growth,positive,6.0-8.0
158618,CA-15,"KEMB 9005-528, KACC 19106, NBRC 112677",1,1,"Brevundimonas humi",Brevundimonas,growth,positive,6-10
2312,KSL-102,"DSM 17033, CIP 109906, JCM 12928, KCTC 12380",1,1,"Brevundimonas kwangchunensis",Brevundimonas,growth,positive,6-9.5
2319,DS-18,"DSM 23960, JCM 14602, KCTC 12871",1,1,"Brevundimonas lenta",Brevundimonas,growth,positive,6.0-9.5
166488,NS26,"CGMCC 1.13680, NBRC 113554",1,1,"Brevundimonas lutea",Brevundimonas,growth,positive,5.5-10.5
2320,BIO-TAS2-2,"DSM 23858, CCUG 57609, KCTC 22631",1,1,"Brevundimonas naejangsanensis",Brevundimonas,growth,positive,5.5-10
133756,F3,"CGMCC 1.10683, JCM 17426",1,1,"Brevundimonas viscosa",Brevundimonas,growth,positive,5.5-11
