ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,species_epithet,"Voges-Proskauer-test (Acetoin)"
3214,M106/00/5,"DSM 44850, CCUG 44566, CIP 107965, JCM 13387",1,1,"Corynebacterium caspium",Corynebacterium,caspium,-
3216,"BIST 13, BS 13, BS13","DSM 44920, CCUG 47525, CECT 5779, CIP 108588, JCM 13388",1,1,"Corynebacterium ciconiae",Corynebacterium,ciconiae,-
3183,,"JCM 12102, DSM 44384, CCUG 38267, DMMZ 2439, CIP 105403, LMG 19073",1,1,"Corynebacterium confusum",Corynebacterium,confusum,-
3159,,"CCUG 38194, LMG 19044, CIP 104919, JCM 10381, DSM 44184, CCUG 35014, DMMZ 214, ATCC 700219, CCM 4669",1,1,"Corynebacterium coyleae",Corynebacterium,coyleae,+
3084,"42 Fukuya","DSM 20524, ATCC 29593, CCUG 28794, JCM 3715, BCRC 12320, CCM 5742, CECT 4048, CGMCC 1.1932, CIP 103424, IFO 15284, KCTC 3433, LMG 19065, NBRC 15284, NCTC 11863",1,1,"Corynebacterium cystitidis",Corynebacterium,cystitidis,+
3153,"C7s, C7 s (-) tox-","DSM 44123, ATCC 27010, CIP 100721, NCTC 11397, CCUG 37874",1,1,"Corynebacterium diphtheriae",Corynebacterium,diphtheriae,-
3181,,"IFO 16161, LMG 19045, CIP 105490, CCM 4727, DSM 45333, CCUG 37331, DSM 44351, JCM 11948, NBRC 16161",1,1,"Corynebacterium durum",Corynebacterium,durum,+
3195,"AJ-12310, YS-314","DSM 44549, JCM 11189, FERM 9246, AJ 12310, CCM 7123, CCUG 47130, CCUG 48037, CIP 107632, NBRC 100395",1,1,"Corynebacterium efficiens",Corynebacterium,efficiens,-
3180,"BL 8171","DSM 44353, CCUG 33651, LMG 19046, CCM 4913, CIP 105466, JCM 11949, ATCC BAA-596, DMMZ 2537",1,1,"Corynebacterium falsenii",Corynebacterium,falsenii,-
3192,"M714/95/5, M714-95-5, 980915","DSM 44508, CCUG 39943, CIP 106740, ATCC BAA-468, JCM 12103, VTT E-072718",1,1,"Corynebacterium felinum",Corynebacterium,felinum,-
3085,"OJ8, OJ 8","CCUG 28791, DSM 20296, ATCC 10340, NCDO 1320, NCIB 8707, JCM 1317, BCRC 12131, CECT 536, CGMCC 1.1885, CIP 69.5, IAM 12638, IAM 1642, IFO 14136, IMET 11080, IMSNU 21211, KCCM 41095, KCTC 3414, LMG 4046, NBRC 14136, NCCB 42012, NCFB 1320, NCIMB 8707, VKM Ac-1956",1,1,"Corynebacterium flavescens",Corynebacterium,flavescens,+
3190,6695110,"CCUG 45704, CIP 106767, JCM 45704, DSM 44506, JCM 12104",1,1,"Corynebacterium freneyi",Corynebacterium,freneyi,+
3196,,"DSM 44530, CIP 107989, NRRL B-24142, CCUG 48297, JCM 12208, IMMIB R-5091",1,1,"Corynebacterium glaucum",Corynebacterium,glaucum,-
3092,534,"DSM 20300, ATCC 13032, NCIB 10025, CCUG 27702, CCTM La 2336, JCM 1318, BCRC 11384, CCM 2428, CECT 4157, CGMCC 1.1886, CIP 82.8, HAMBI 2052, IAM 12435, IFO 12168, IMET 10482, IMSNU 10063, IMSNU 21196, KCCM 40245, KCTC 1445, KCTC 9097, LMG 19741, LMG 3730, NBRC 12168, NCCB 70082, NCCB 72028, NCIMB 10025, NRRL B-2784",1,1,"Corynebacterium glutamicum",Corynebacterium,glutamicum,+
,,,,,,,,-
140638,S01,"KCTC 39608, CCTCC AB 2015423, GDMCC 1.1022, DSM 107476",1,1,"Corynebacterium guangdongense",Corynebacterium,guangdongense,-
3227,C-138,"JCM 15293, DSM 45109, CCUG 53252, CIP 108444",1,1,"Corynebacterium hansenii",Corynebacterium,hansenii,-
3162,,"LMG 19048, DSM 44264, CCUG 36877, IFO 16163, NBRC 100416, NBRC 16163, NCTC 13015, JCM 10386, ATCC 700354, CCM 4676, CIP 105130, DMMZ 2023",1,1,"Corynebacterium imitans",Corynebacterium,imitans,-
3142,D1076,"DSM 7171, ATCC 43734, CIP 103337, DSM 46361, IFO 15298, IMET 11513, NBRC 15298, NCTC 11913, CCUG 27192, LMG 19049, JCM 9384, NCIMB 14491",1,1,"Corynebacterium jeikeium",Corynebacterium,jeikeium,-
3184,,"DSM 44385, CCUG 35717, CIP 105744, LMG 19050, JCM 11950",1,1,"Corynebacterium kroppenstedtii",Corynebacterium,kroppenstedtii,+
3101,,"DSM 20755, ATCC 15677, NCTC 11138, CCUG 27535, CIP 103423, JCM 9385, NBRC 15288, CECT 4035, IFO 15288, LMG 19169",1,1,"Corynebacterium kutscheri",Corynebacterium,kutscheri,+
3174,,"DSM 44291, CCUG 37336, DMMZ 1944, LMG 19051, JCM 10383, ATCC 700352, CCM 4677, CIP 105127",1,1,"Corynebacterium lipophiloflavum",Corynebacterium,lipophiloflavum,-
3171,"JCP 2, JCL-2","DSM 44284, ATCC 51787, CCUG 32361, CIP 104099, JCM 11684, JCL 2, JCM 10393, LMG 19066",1,1,"Corynebacterium macginleyi",Corynebacterium,macginleyi,-
3223,"7015, D7015","DSM 44953, CGMCC 1.6998, NRRL B-24779, JCM 17491, CIP 110199",1,1,"Corynebacterium marinum",Corynebacterium,marinum,+
3178,S-8,"DSM 44356, CCUG 38654, CECT 4843, CIP 105509, IFO (NBRC) 16160, JCM 12269, IFO 16160, LMG 19040, NBRC 16160",1,1,"Corynebacterium mastitidis",Corynebacterium,mastitidis,-
3102,47,"DSM 20635, ATCC 14266, DSM 43761, NCTC 10254, JCM 9386, BCRC 14869, CCUG 27545, CCUG 46620, CIP 81.82, IFO 15360, LMG 19647, NBRC 15360",1,1,"Corynebacterium matruchotii",Corynebacterium,matruchotii,+
3105,Barton,"DSM 20651, ATCC 23348, NCTC 10288, CCUG 541, JCM 9387, BCRC 14870, CCM 4728, CECT 4158, CIP 100652, IFO 15361, NBRC 15361",1,1,"Corynebacterium minutissimum",Corynebacterium,minutissimum,+
,,,,,,,,-
3163,,"DSM 44265, CCUG 36878, CIP 105129, DMMZ 2278, JCM 10384, ATCC 700355, CCM 4678, LMG 19067",1,1,"Corynebacterium mucifaciens",Corynebacterium,mucifaciens,-
3107,,"DSM 20632, ATCC 43995, NCTC 9864, CCUG 27538, JCM 9388, BCRC 14871, CIP 55.51, IFO 15289, IMSNU 21213, NBRC 15289",1,1,"Corynebacterium mycetoides",Corynebacterium,mycetoides,+
134610,,"CIP 107094, CCUG 42723",1,1,"Corynebacterium oriphocae",Corynebacterium,oriphocae,-
3245,"GF 234/92","CCUG 32254, DSM 8821, ATCC 51513, JCM 12146, CCM 4568, CIP 104075, IFM 10650, LMG 19071, NBRC 106139",1,1,"Corynebacterium otitidis",Corynebacterium,otitidis,-
3204,"Collins 31, M408/89/1, 31","DSM 44612, CCUG 38205, CIP 105741, LMG 19052, NCIMB 13757, JCM 12105",1,1,"Corynebacterium phocae",Corynebacterium,phocae,+
3108,"46 Hara","CCUG 27193, JCM 3714, NCTC 11862, CIP 103422, CCM 6140, DSM 20521, ATCC 29592, CECT 4049, CGMCC 1.1931, IFO 15285, KCTC 3434, LMG 19068, NBRC 15285",1,1,"Corynebacterium pilosum",Corynebacterium,pilosum,+
3172,"Riegel B 77159, B 77159","JCM 12106, DSM 44285, ATCC 51488, CCUG 33048, CIP 103792, LMG 19069",1,1,"Corynebacterium propinquum",Corynebacterium,propinquum,-
3116,"Charita a, Charita-a","DSM 20688, ATCC 19412, NCTC 7448, CCUG 27542, JCM 9391, BCRC 10657, CECT 4082, CIP 103421, HAMBI 2321, IFO 15290, NBRC 15290, PCM 2053",1,1,"Corynebacterium renale",Corynebacterium,renale,+
3175,697-97,"LMG 19055, DSM 44326, CCUG 38180, CIP 105310, DMMZ 2415, JCM 10389, ATCC 700782, CCM 4679",1,1,"Corynebacterium riegelii",Corynebacterium,riegelii,-
3187,"Co 553","DSM 44415, ATCC BAA-15, CCUG 43305, LMG 19516, JCM 12107, CIP 106488, CCM 4908, UCL 553",1,1,"Corynebacterium simulans",Corynebacterium,simulans,-
3182,,"DSM 44357, CCUG 37330, CIP 105491, IBS B52218, IFO 16162, NBRC 16162, LMG 19056, CCM 4729, JCM 10385",1,1,"Corynebacterium singulare",Corynebacterium,singulare,+
3212,"38, Garayzabal 38","DSM 44792, CCUG 46398, CECT 5990, CIP 108094, JCM 12270",1,1,"Corynebacterium sphenisci",Corynebacterium,sphenisci,-
3210,"J11, PG 39","DSM 44757, CCUG 45512, CECT 5986, CIP 107875, JCM 12271",1,1,"Corynebacterium spheniscorum",Corynebacterium,spheniscorum,-
3078,622,"DSM 20302, ATCC 14403, CCUG 43497, CIP 104228, JCM 11611, NBRC 12144, VKM B-1228, CCTM La2748, NCIMB 565, BCRC 11885, CCM 317, CECT 4275, IFO 12144, KCCM 12153, KCTC 3254, NBIMCC 1435, VKM Ac-2184, CCTM La 2748",1,1,"Corynebacterium stationis",Corynebacterium,stationis,-
3123,,"DSM 20668, ATCC 6940, NCTC 764, CCUG 27949, CIP 81.15, IFO 15291, JCM 9390, CECT 4159, LMG 19648, NBRC 15291",1,1,"Corynebacterium striatum",Corynebacterium,striatum,+
,,,,,,,,-
3215,P81/02,"DSM 44851, DSM 45110, CCUG 46963, CECT 5724, CIP 108201, JCM 12370",1,1,"Corynebacterium suicordis",Corynebacterium,suicordis,-
3205,"AN 119","DSM 44613, CCUG 36622, CIP 105936, LMG 19057, DSM 107545, JCM 12401",1,1,"Corynebacterium sundsvallense",Corynebacterium,sundsvallense,-
3208,Y-11,"DSM 44721, CIP 105927, IFO 14764, JCM 10555, NBRC 14764, VKM Ac-2071, CCUG 46354, CCUG 44585, LMG 22191",1,1,"Corynebacterium terpenotabidum",Corynebacterium,terpenotabidum,+
,,,,,,,,-
3206,M935/96/4,"DSM 44614, ATCC BAA-467, CCUG 41823, CIP 106763, JCM 12108, NCIMB 14414",1,1,"Corynebacterium testudinoris",Corynebacterium,testudinoris,-
3164,"96-649, Tho 218/95","DSM 44276, CCUG 38516, JCM 12109, CIP 105597",1,1,"Corynebacterium thomssenii",Corynebacterium,thomssenii,-
3221,LDC-20,"DSM 44922, ATCC 35529, ATCC 35692, CCUG 45418, CIP 107291, JCM 13389, Medalle X",1,1,"Corynebacterium tuberculostearicum",Corynebacterium,tuberculostearicum,-
3147,20184,"ATCC 51799, LMG 19058, DSM 46325, CCUG 2708, IMET 11148, NCTC 7910, PCM 554, JCM 10387, CIP 106504",1,1,"Corynebacterium ulcerans",Corynebacterium,ulcerans,-
3224,,"DSM 45051, CCUG 53377, CIP 109611, JCM 15295, IMMIB RIV-2301",1,1,"Corynebacterium ureicelerivorans",Corynebacterium,ureicelerivorans,+
3124,"FK 31","DSM 20132, ATCC 15753, CCM 1565, NCIB 9455, JCM 2154, BCRC 12115, CCUG 23608, CCUG 45246, CECT 4178, CGMCC 1.1922, CIP 102112, HAMBI 1872, IAM 12346, IFO 15286, IMET 10433, LMG 22560, NBRC 15286, NCIMB 9455, NRRL B-4201, VKM Ac-1122, IFM 3030",1,1,"Corynebacterium variabile",Corynebacterium,variabile,+
,,,,,,,,-
3128,,"CCUG 28792, DSM 20294, ATCC 10234, NCIB 9291, JCM 1323, CECT 537, CGMCC 1.1889, CIP 82.7, IAM 12429, IFO 12143, IMSNU 21210, KCCM 12165, KCTC 9648, LMG 19075, NBRC 12143, NCCB 52028, NCIMB 9291, VKM B-1211, VTT E-97777",1,1,"Corynebacterium vitaeruminis",Corynebacterium,vitaeruminis,+
3131,,"CCUG 56051, CCM 2824, NCTC 11861, CIP 100653, IFO 15287, DSM 20743, ATCC 373, JCM 1971, BCRC 14413, CCM 1.1919, CCUG 27544, CECT 4160, IFO 16721, KCCM 40941, KCTC 3435, LMG 19544, NBRC 15287, NBRC 16721",1,1,"Corynebacterium xerosis",Corynebacterium,xerosis,+
5250,,"DSM 4482, ATCC 19692, BCRC 12222, CCRC 12222, CCUG 18769, CIP 106872, JCM 1670, LMG 7876, NCIMB 13273, NBRC 105711",1,1,"Proteus myxofaciens",Proteus,myxofaciens,+
131092,NS130,"DSM 15488, CIP 105707, JCM 9933",1,1,"Craurococcus roseus",Craurococcus,roseus,-
140814,KMU-32,"KCTC 42980, NBRC 111834, DSM 108273, KCTC 42981",1,1,"Cribrihabitans pelagius",Cribrihabitans,pelagius,+
135526,,"CIP 108009, KCTC 12090, ATCC BAA-628, JCM 21780, IAM 15332",1,1,"Croceibacter atlanticus",Croceibacter,atlanticus,-
133014,Ery22,"DSM 101481, CGMCC 1.15360",1,1,"Croceicoccus mobilis",Croceicoccus,mobilis,+
133013,Ery9,"DSM 101479, CGMCC 1.15358",1,1,"Croceicoccus pelagius",Croceicoccus,pelagius,+
140752,HSG9,"MCCC 1A06690, KCTC 52589",1,1,"Croceivirga radicis",Croceivirga,radicis,+
140753,"182, 0182","KCTC 42868, MCCC 1H00128",1,1,"Crocinitomix algicola",Crocinitomix,algicola,-
3814,H13,"DSM 4133, ATCC 23190, NCMB 1418, CIP 108127, NCIMB 1418",1,1,"Crocinitomix catalasitica",Crocinitomix,catalasitica,-
23990,1330,"DSM 27966, CECT 7863, LMG 26250",1,1,"Cronobacter condimenti",Cronobacter,condimenti,+
5239,CFS237,"CCUG 55851, DSM 18705, LMG 23823, DES 187, JCM 16467",1,1,"Cronobacter dublinensis",Cronobacter,dublinensis,+
5240,E464,"DSM 18707, LMG 23825, CCUG 58094, JCM 16468",1,1,"Cronobacter dublinensis subsp. lactaridi",Cronobacter,dublinensis,+
5237,E825,"CCUG 56035, DSM 18702, LMG 23826, API 76-2121, CDC 1058-77",1,1,"Cronobacter malonaticus",Cronobacter,malonaticus,+
5242,"83-07-023, E603, LRA 023 07 83","DSM 21870, ATCC 51329, CIP 103581, WDCM 00213, CECT 9143",1,1,"Cronobacter muytjensii",Cronobacter,muytjensii,+
5236,,"DSM 4485, ATCC 29544, NCTC 11467, WDCM 00214, CCUG 14558, CECT 858, CDC 4562-70, JCM 1233, BCRC 13988, CGMCC 1.6765, CIP 103183, HUT 8109, IAM 12660, KCTC 2949, LMG 5740, NBRC 102416, NBRC 105698, VTT E-991283",1,1,"Cronobacter sakazakii",Cronobacter,sakazakii,+
,,,,,,,,-
5238,3032,"DSM 18703, LMG 23827, CCUG 55852",1,1,"Cronobacter turicensis",Cronobacter,turicensis,+
23991,,"DSM 27963, CECT 7864, LMG 26249, NCTC 9529",1,1,"Cronobacter universalis",Cronobacter,universalis,+
13288,TS-1980,"DSM 44230, ATCC 51143, IFO 14475, JCM 9111, NBRC 14475, NCIMB 13187, NRRL B-16238, CGMCC 4.1710, CIP 107132, IMSNU 21335, KCTC 9391, VKM Ac-1965",1,1,"Crossiella cryophila",Crossiella,cryophila,+
,,,,,,,,-
13289,,"DSM 44580, LDDC 22291-98, NRRL B-24104, JCM 12685, CIP 107800, NBRC 101840",1,1,"Crossiella equi",Crossiella,equi,-
158651,Hh31,"NBRC 107882, CGMCC 1.11213",1,1,"Cryobacterium aureum",Cryobacterium,aureum,-
166224,Hh39,"NBRC 107884, CGMCC 1.11212",1,1,"Cryobacterium melibiosiphilum",Cryobacterium,melibiosiphilum,+
7301,27-O-b,"DSM 4854, ATCC 43563, IAM 12024, IFO 15735, JCM 1463, NBRC 15735, NCIMB 2068, CCM 3311, CGMCC 1.1912, CGMCC 1.4292, CIP 105227, KCTC 3487, LMG 23845, VKM Ac-2100",1,1,"Cryobacterium psychrophilum",Cryobacterium,psychrophilum,-
164251,GCJ02,"JCM 32391, CCTCC M 2016604, MCCC 1K03549",1,1,"Cryobacterium soli",Cryobacterium,soli,-
131252,ASC-732,"DSM 28880, CIP 110330, LMG 26294",1,1,"Cupriavidus alkaliphilus",Cupriavidus,alkaliphilus,-
2042,,"DSM 17293, CCUG 44526, CIP 107177, LMG 19282",1,1,"Cupriavidus campinensis",Cupriavidus,campinensis,-
136810,1263a,"CIP 108726, PNCM 10347, KCTC 22126, CCUG 53908, DSM 19552",1,1,"Cupriavidus laharis",Cupriavidus,laharis,-
140833,X1,"KCTC 42909, LMG 29218",1,1,"Cupriavidus nantongensis",Cupriavidus,nantongensis,-
2043,E6793,"DSM 17313, CCM 4867, CCUG 12507, CDC E6793, CIP 105943, LMG 3244, JCM 11286, ATCC 700817, BCRC 17496",1,1,"Cupriavidus pauculus",Cupriavidus,pauculus,-
2053,1245,"DSM 19553, CIP 108725, PNCM 10346, CCUG 53907, KCTC 22125",1,1,"Cupriavidus pinatubonensis",Cupriavidus,pinatubonensis,-
7307,Y-3-2,"DSM 20512, ATCC 15831, CCM 2296, IAM 1631, NCIB 11030, JCM 1344, AJ 1472, BCRC 12116, CGMCC 1.1650, CGMCC 1.1903, CIP 102693, HAMBI 2039, IAM 12367, IFO 15078, JCM 20229, KCTC 3491, NBIMCC 1100, NBRC 15078, NCIMB 11030, VKM Ac-2186, VKM B-1206",1,1,"Curtobacterium albidum",Curtobacterium,albidum,+
7308,2Y-10,"DSM 20528, ATCC 15828, CCM 2297, IAM 1614, NCIB 10702, JCM 1345, BCRC 12126, CCUG 12163, CCUG 28999, CGMCC 1.1904, CIP 81.26, IFO 12677, IMET 10359, KCCM 12166, KCTC 9100, LMG 8786, NBRC 12677, NCIMB 10702, NRIC 1859, VKM Ac-2187, VKM B-1207, CCUG 23579",1,1,"Curtobacterium citreum",Curtobacterium,citreum,-
7320,"P 420/07, P420/07","DSM 14013, LMG 19917, JCM 12140, CIP 108224, IAM 15148, NBRC 103064, VKM Ac-2512",1,1,"Curtobacterium herbarum",Curtobacterium,herbarum,-
7317,100,"DSM 20527, ATCC 19096, IAM 1479, NCIB 10354, JCM 1350, BCRC 10376, CGMCC 1.1905, CIP 81.24, IFO 12674, IMET 11077, KCCM 12168, KCTC 3492, LMG 8788, NBRC 12674, NCIMB 10354, VKM Ac-1413, VKM Ac-2099",1,1,"Curtobacterium pusillum",Curtobacterium,pusillum,-
2939,146,"DSM 11558, ATCC 14667, CCUG 15846, LMG 4328, LMG 4327, IAM 14955, NBRC 14919, JCM 15147, BCRC 80545, IFO 14919, JCM 21432, CIP 107314, NCIMB 9419",1,1,"Curvibacter delicatus",Curvibacter,delicatus,-
135266,,"CIP 108608, IAM 15033, ATCC BAA-807, CCUG 49445, JCM 21496",1,1,"Curvibacter gracilis",Curvibacter,gracilis,-
12636,,"LMG 16711, DSM 1897, ATCC 6919, CCUG 1794, JCM 6425, KCTC 3314, NCTC 737, BCRC 10723, CECT 5684, CGMCC 1.5003, CIP 53.117, KCTC 5008, LMG 3591, NBRC 107605, NRRL B-4224, VKM Ac-1450, VPI 0389",1,1,"Cutibacterium acnes",Cutibacterium,acnes,-
12645,,"DSM 20700, ATCC 25564, CIP 110009, JCM 6498, LMG 16726, NCTC 11865, CCUG 32987, VPI 0507, BCRC 17368, CIP 103262, GIFU 7612, IFO 15672, NBRC 15672, NCFB 2586, NCIMB 702586, NCDO 2586, VPI 050",1,1,"Cutibacterium granulosum",Cutibacterium,granulosum,-
134150,,"KCTC 12363, LMG 23026, KMM 6143, CIP 108848",1,1,"Cyclobacterium amurskyense",Cyclobacterium,amurskyense,-
166288,,"DSM 103992, KCTC 52558, SYSU SYW-6",1,1,"Cysteiniphilum halobium",Cysteiniphilum,halobium,+
140321,,"DSM 101832, CGMCC 1.15758, KCTC 52386, NBRC 112441, SYSU D3-2",1,1,"Cysteiniphilum litorale",Cysteiniphilum,litorale,-
158260,5L6,"DSM 104513, CICC 23855, KCTC 33663",1,1,"Cytobacillus solani",Cytobacillus,solani,-
675,"613, original","DSM 12, ATCC 14575, CCM 2213, JCM 2512, NCIB 9366, NCTC 10335, CCUG 7418, NRS 613, BCRC 11730, CECT 14, CIP 52.70, IAM 12464, IAM 14179, IFO 15306, KCTC 3626, LMG 7125, NBRC 15306, NCIMB 9366, NRRL B-14307, NRRL NRS-613, VKM B-498, VTT E-97061, NCDO 1762",1,1,"Cytobacillus firmus",Cytobacillus,firmus,-
140355,FJAT-25547,"DSM 101002, CCTCC AB 2015208",1,1,"Cytobacillus praedii",Cytobacillus,praedii,-
7873,SF-2113,"DSM 43917, ATCC 43301, IFO 14381, JCM 5631, NBRC 14381, BCRC 13411, CGMCC 4.5629, HUT 6561, IMSNU 22055, KCTC 9356, NRRL B-16292",1,1,"Dactylosporangium fulvum",Dactylosporangium,fulvum,+
7871,,"DSM 43810, ATCC 31570, FERM P-4670, IFO 14259, JCM 3311, KCC A-0311, NBRC 14259, BCRC 13388, IMSNU 20065, KCTC 9546, NCIMB 12890, NRRL B-16293, VKM Ac-1321",1,1,"Dactylosporangium matsuzakiense",Dactylosporangium,matsuzakiense,+
7872,SF-2186,"DSM 43916, IFO 14352, JCM 3364, NBRC 14352, BCRC 13414, IMSNU 20066, KCTC 9357, NRRL B-16295",1,1,"Dactylosporangium roseum",Dactylosporangium,roseum,+
7870,D-449,"DSM 43158, ATCC 23490, IFO 12593, KCC A-0084, NBRC 12593, JCM 3084, BCRC 13643, CBS 620.67, CGMCC 4.1156, CGMCC 4.5628, IFM 1209, IMET 9029, IMSNU 20068, KCTC 9358, NCIMB 12749, RIA 923, VKM Ac-655",1,1,"Dactylosporangium thailandense",Dactylosporangium,thailandense,-
7874,SF-2127,"DSM 43823, ATCC 35207, IFO 14181, JCM 3307, KCC A-0307, NBRC 14181, NCIMB 12891, BCRC 13327, HUT 6560, IMSNU 22056, KCTC 9359, NRRL B-16297, VKM Ac-1322",1,1,"Dactylosporangium vinaceum",Dactylosporangium,vinaceum,-
140990,DL5-4,"MCCC 1A06955, LMG 29616",1,1,"Defluviimonas nitratireducens",Defluviimonas,nitratireducens,+
166257,OD32,"KCTC 33972, CICC 24671",1,1,"Deinococcus arcticus",Deinococcus,arcticus,+
133034,FeSTC15-38,"DSM 101791, NCAIM B.02630",1,1,"Deinococcus budaensis",Deinococcus,budaensis,-
158506,FeSDHB5-19,"DSM 106917, NCAIM B.02639",1,1,"Deinococcus fonticola",Deinococcus,fonticola,-
3855,AG-3a,"DSM 11300, CIP 105573",1,1,"Deinococcus geothermalis",Deinococcus,geothermalis,-
3862,Wt/1a,"DSM 15307, MTCC 4913, CIP 108415",1,1,"Deinococcus indicus",Deinococcus,indicus,-
159760,17bor-2,"KCTC 33907, NBRC 113037",1,1,"Deinococcus irradiatisoli",Deinococcus,irradiatisoli,+
3858,ALT-1b,"DSM 11303, CCUG 50777, CIP 105574",1,1,"Deinococcus murrayi",Deinococcus,murrayi,-
3852,"R1, R<SUB>1</SUB>","CCUG 27074, DSM 20539, ATCC 13939, CCM 1700, JCM 16871, NCIB 9279, CIP 104750, HAMBI 1924, IFO 15346, LMG 4051, NBRC 15346, NCIMB 9279, UWO 288, VKM B-1422",1,1,"Deinococcus radiodurans",Deinococcus,radiodurans,-
6598,M6A9,"DSM 15638, JCM 10491, NCIMB 13914, ATCC BAA-482, CCM 7143, CCUG 44587, CCUG 45366, CGMCC 1.3701, CIP 106688, LMG 19872",1,1,"Dellaglioa algida",Dellaglioa,algida,-
3921,2002-46,"CCUG 39179, CCM 4700, CIP 105501, JCM 11480, DSM 11295, IFO 16164, NBRC 16164, HKI 0089, NCIMB 13517",1,1,"Demetria terragena",Demetria,terragena,+
,,,,,,,,-
3918,"S69, S-69","DSM 7083, ATCC 49369, NCFB 2769, CCUG 32998, JCM 7448, CCM 4122, CECT 4165, CIP 105144, IFM 10528, IMSNU 21318, NBRC 106157, NCIMB 13131",1,1,"Dermabacter hominis",Dermabacter,hominis,+
,,,,,,,,-
3922,"59, 8094","DSM 20448, ATCC 29093, CCM 2140, CCUG 33028, JCM 11613, CECT 544, CIP 81.71, IAM 13592, IFO 15356, IMSNU 21319, LMG 14222, NBRC 15356, NCDO 2358, NCIMB 702358, NCTC 11039, VKM Ac-2160, VKM B-1818",1,1,"Dermacoccus nishinomiyaensis",Dermacoccus,nishinomiyaensis,-
3940,"A-4, V.1328/1","DSM 44180, ATCC 14637, CCUG 47448, JCM 8106, NRRL B-2350, NCTC 13039, NBRC 105199",1,1,"Dermatophilus congolensis",Dermatophilus,congolensis,-
135098,,"CIP 108397, CECT 5650, LMG 21357",1,1,"Devosia neptuniae",Devosia,neptuniae,-
132926,,"DSM 105346, NCPPB 4580",1,1,"Dickeya aquatica",Dickeya,aquatica,+
4346,EC17,"CCUG 38766, LMG 2804, DSM 4610, ATCC 11663, CIP 82.99, DAR 35625, NCPPB 402, PDDCC 5703",1,1,"Dickeya chrysanthemi",Dickeya,chrysanthemi,-
4350,B374,"DSM 18020, LMG 25991, NCPPB 898, CFBP 1269, CIP 109008, ICMP 1544, Hayward B374",1,1,"Dickeya dadantii",Dickeya,dadantii,+
4351,,"DSM 18054, CFBP 1200, ICMP 6427, LMG 2485, NCPPB 453, CN 26",1,1,"Dickeya dianthicola",Dickeya,dianthicola,+
4352,Sr58,"DSM 18068, CFBP 2052, ICMP 5704, NCPPB 2538",1,1,"Dickeya zeae",Dickeya,zeae,+
4239,H-6-12,"DSM 3960, ATCC 35947",1,1,"Dictyoglomus thermophilum",Dictyoglomus,thermophilum,+
22994,,"DSM 45868, CCUG 35676, JCM 17645",1,1,"Dietzia aurantiaca",Dietzia,aurantiaca,-
134157,PMA-26,"NBRC 100814, CIP 108743",1,1,"Dokdonia eikasta",Dokdonia,eikasta,-
229,2991-95,"DSM 15742, ATCC BAA-56, CCM 4936, CIP 106314, CCUG 39307",1,1,"Dolosicoccus paucivorans",Dolosicoccus,paucivorans,-
135725,"R-91/1468, R91/1468","CIP 104051, ATCC 51524, IFO 15550, NCFB 2975, LMG 19521, KCTC 15002, CCUG 33392, LMG 15126, NBRC 15550, NCIMB 702975",1,1,"Dolosigranulum pigrum",Dolosigranulum,pigrum,-
140688,,"KCTC 33830, MTCC 12575, DSM 100929, SAB 38, JCM 32632",1,1,"Domibacillus epiphyticus",Domibacillus,epiphyticus,-
140687,,"KCTC 33820, MTCC 12571, DSM 100930, SAOS 44, JCM 32631",1,1,"Domibacillus mangrovi",Domibacillus,mangrovi,-
166326,FT93W,"GDMCC 1.1683, KACC 21475",1,1,"Duganella fentianensis",Duganella,fentianensis,-
166327,CY13W,"GDMCC 1.1669, KACC 21461",1,1,"Duganella qianjiadongensis",Duganella,qianjiadongensis,-
166354,FT55W,"GDMCC 1.1675, KACC 21467",1,1,"Duganella rivi",Duganella,rivi,-
3777,"CP 183-8, CP183-8","DSM 16708, ATCC BAA-1036, KCTC 23639, CIP 109009, VTT E-072669",1,1,"Dyadobacter crusticola",Dyadobacter,crusticola,-
3776,"NS 114, NS114","DSM 18053, ATCC 700827, CIP 107007, KCTC 52180",1,1,"Dyadobacter fermentans",Dyadobacter,fermentans,-
168496,NS28,"MCCC 1K03764, NBRC 113854",1,1,"Dyadobacter flavalbus",Dyadobacter,flavalbus,-
140754,DKC-1,"KEMB 9005-571, KACC 19176, JCM 31925",1,1,"Dyella agri",Dyella,agri,-
159761,DHOG02,"NBRC 111474, CGMCC 1.15435",1,1,"Dyella halodurans",Dyella,halodurans,-
17719,,"DSM 19836, KCTC 12368, KMM 6172, LMG 23350",1,1,"Echinicola pacifica",Echinicola,pacifica,-
140501,JL3085,"NBRC 111782, CGMCC 1.15407",1,1,"Echinicola rosea",Echinicola,rosea,+
1210,NAF001,"DSM 15141, CIP 107128, JCM 11201, KCTC 3796",1,1,"Ectobacillus funiculus",Ectobacillus,funiculus,+
,,,,,,,,-
166115,HME-24,"KCTC 62977, CGMCC 1.13935",1,1,"Edaphocola flava",Edaphocola,flava,-
159199,SYP-B2100,"DSM 105170, CGMCC 1.5857, KCTC 62024",1,1,"Edaphovirga cremea",Edaphovirga,cremea,-
131380,ET080813,"DSM 27202, CCTCC AB 2013118, CCUG 64215, MCCC 1K00238",1,1,"Edwardsiella anguillarum",Edwardsiella,anguillarum,-
